song_id,PC1_difference,PC2_difference,PC3_difference,PC4_difference,PC5_difference,PC6_difference
Fallin_AliciaKeys,-4.402583734040602,1.3704290733354552,-0.8752797295814421,-1.5131091692141554,-0.6881827522309157,0.6672692796020407
FlashdanceWhatAFeeling_IreneCara,2.7748871644984634,0.35088789691241584,-0.3726989428332159,-0.05462053627132507,-0.37685374463196547,-0.7233424271623863
GetUrFreakOn_MissyElliot,0.58405242121669,2.1051497309998117,-0.796292676514777,-2.062400016699836,-1.6794974358895738,-0.36198719876849617
GimmeShelter_RollingStones,0.015150533005425126,-0.6462265064266529,0.7290601057198153,2.13093910795003,-1.138474138062633,-1.049983796246599
GodOnlyKnows_TheBeachBoys,1.3749794524060466,-3.506757058624199,0.7127102156855896,-0.31411527302604936,-0.09725503881160846,0.9798165343083706
GoodGollyMissMolly_LittleRichard,1.1521983080412905,1.7538837505283835,0.005394544218135677,0.5772374832196587,-2.966747146615715,-1.6999967335251438
Happy_PharellWilliams,3.0536773458033815,1.9359010900489424,-1.0965677779320253,0.7990478680527677,0.6051261296589892,0.05308781936202539
HeatWaves_GlassAnimals,-1.1630641659569074,-1.1681038226390168,1.2897266457272076,-1.8606397381635023,0.7174864162818216,-0.7442470395865264
HeyYa_Outkast,-3.1175332319318514,-4.382862405538843,3.627918224356355,2.2471141540358426,-1.1046534315811227,-0.005004364451144827
HowDoILive_LeAnnRimes,2.925076672241471,-2.0842662193875037,0.7949795282781552,-0.40116868116463333,1.6321400562538662,-1.5369090508493262
IllMakeLoveToYou_BoyzIIMen,3.4507134167138633,-0.8593071707523345,-0.611844733156371,-0.34098454376694864,0.9329857964439838,0.06208267848004034
Irreplaceable_Beyonce,5.714853928414136,-0.8463417205681757,-0.45977635896483615,3.4216889876751004,-1.3799482595352792,-0.6283858747924669
ItsAllInTheGame_TommyEdwards,1.2668435491613514,-3.7674979685836876,2.944069729205507,1.7502423138259424,-2.0564819535396914,-0.41959950159363535
IWalkTheLine_JohnnyCash,0.3594085396854725,0.42251091356415993,0.9977858611845454,1.1205535714910118,-0.46625458011119303,-0.010555825084977682
IWannaDanceWithSomebody_WhitneyHouston,7.268492161890314,-3.2193622429766173,-0.43969759717200874,-0.6894638535426497,0.9499669203610979,1.502271389293958
