song_id,mean_sim,sd_sim,rms_difference,spectral_bandwidth_difference,spectral_centroid_difference,spectral_contrast_difference,spectral_flatness_difference,spectral_rolloff_difference,zero_crossing_rate_difference,mfccs_offset_difference,mfcc1_difference,mfcc2_difference,mfcc3_difference,mfcc4_difference,mfcc5_difference,mfcc6_difference,mfcc7_difference,mfcc8_difference,mfcc9_difference,mfcc10_difference,mfcc11_difference,mfcc12_difference,mfccs_dist,tempo_difference,key_difference,treble_difference,tbb_difference,voice_type_difference,mean_valence_difference,mean_arousal_difference
GimmeShelter_RollingStones,3.9838675811818183,1.466412292395981,0.022049999999999993,-318.19000000000005,-148.32000000000016,-1.1599999999999966,-2.9e-4,-213.26999999999953,0.0018700000000000036,81.61664000000002,28.764729999999986,-22.399620000000002,15.72023,-13.498915799999999,-8.525230999999998,-9.036216300000001,0.21083299999999916,1.9132065000000003,-4.571240200000001,5.2050082,0.5329965999999999,6.282898899999999,44.76922890475514,-2,0,0,0,0,0.004690366520408162,0.08755203330612245
GodOnlyKnows_TheBeachBoys,3.828206575136363,1.1661158297983312,0.008800000000000002,37.26999999999998,540.9100000000001,-0.9199999999999982,8.999999999999999e-5,1453.3799999999997,0.015299999999999994,49.143219999999985,-21.756009999999975,-37.873394,20.645573,23.8207264,1.8998249999999999,17.146237999999997,3.5929199000000005,6.5448001,22.083129,7.42111276,8.1356823,1.0087452,62.1665128799557,-17,-4,1,-1,2,0.018155957568452376,0.0757183868767007
GoodGollyMissMolly_LittleRichard,3.7475151378409097,1.57413068782079,0.02115,52.80000000000018,-22.699999999999818,-0.08999999999999986,-7.000000000000001e-4,-257.85000000000036,-0.005099999999999993,125.15285999999998,28.934050000000013,-25.0886,-11.661074999999997,-17.577317299999997,-0.5112360000000002,-13.974948999999999,-1.0126104999999992,-13.6344032,11.5142536,-9.0163932,-2.04703436,-3.80395635,50.2650630290466,-25,0,1,-1,2,0.0695823305837585,0.1360515957287415
Happy_PharellWilliams,5.545691599444445,1.0921191292759993,0.041299999999999976,626.4000000000001,1445.6999999999998,0.21000000000000085,-0.0035200000000000006,2718.9500000000007,0.04614000000000001,55.72111000000001,-21.313164999999998,12.275877,-0.1366429999999994,-18.1005465,6.383416000000004,-1.4568689999999975,-12.548796,-2.343477,5.303743000000001,-9.49683,-9.322623199999999,-9.3000439,37.817361564311724,0,3,1,-1,2,0.028399253877551045,0.05150779197959185
HeatWaves_GlassAnimals,4.521991956288889,1.4583319628199058,0.011249999999999996,201.55000000000018,-597.3600000000001,0.21999999999999886,-7.4e-4,-821.5999999999995,-0.03949,-26.44144,15.771739999999994,39.374228,2.514325999999997,1.0544949999999993,5.1621169999999985,5.631597999999999,5.4557009999999995,8.8999857,7.5124591,4.3232368,3.7508125000000003,1.5630692000000002,45.44763330330827,-16,0,0,0,0,-0.045759631744047624,-0.12924081242984692
HeyYa_Outkast,2.8390572640222222,1.5093158786451764,0.04907,-1053.6399999999999,-1031.0399999999997,-0.13999999999999702,-0.00109,-2666.75,-0.02121,81.26808,49.48894999999999,-37.9389526,-9.303066000000001,-8.035461,9.602563,28.3572485,2.378862,21.016327,9.6732621,20.861795,2.3471506,16.078292,78.58836294560273,-35,-4,1,0,1,0.14718018997959184,0.34816397951020406
HowDoILive_LeAnnRimes,5.711333966511111,1.0271671554863235,-0.0026300000000000004,707.5,527.6000000000004,0.4700000000000024,-8.500000000000001e-4,1593.83,9.499999999999995e-4,2.62478999999999,-13.283029999999997,1.0840040000000002,27.338249000000005,-7.7111374999999995,27.373574399999995,-8.283145999999999,13.885483699999998,5.3133041,5.5410237,4.147597824,7.591395534,2.6649278,46.21745373125802,-1,0,0,0,0,-0.09117792265306122,-0.07111922422448978
IWalkTheLine_JohnnyCash,3.0080200881904764,1.6330435622954629,0.02486,445.47,190.71000000000004,2.2699999999999996,9.999999999999999e-6,477.44000000000005,-0.0023899999999999998,8.102329999999995,19.091610000000003,-14.611585999999999,-16.968177999999995,-15.679771500000001,2.678835000000001,-8.1602013,-3.2051370000000006,2.419544,-1.6863569999999999,0.5870785999999999,4.753648,9.8100033,36.38236180620749,-16,-1,1,0,1,0.056634178224489795,0.0011192885918367423
IWannaDanceWithSomebody_WhitneyHouston,2.4202203431333333,1.3439284116360155,-0.00596,1494.9,2880.9300000000003,-0.6999999999999993,7.300000000000001e-4,6400.5999999999995,0.08786,85.46038000000001,-32.134690000000006,-14.044192,21.939190000000004,11.664147999999999,19.4509176,-8.8514203,20.3676257,7.777238999999998,11.09723577,6.6162222,23.4968218,-3.166368500000001,59.23106498107323,-28,-4,0,0,0,0.1773457843877551,0.3558421910816326
IWantToHoldYourHand_TheBeatles,2.9349148148,1.3203420420971548,0.009939999999999997,-126.46000000000004,671.1399999999999,-2.8200000000000003,1.9999999999999998e-5,1256.77,0.029519999999999998,36.60559000000001,-24.234949999999998,-32.863306,1.4606819999999985,10.224580999999999,9.474936,-15.590841099999999,20.0529143,3.530525,0.6613698000000001,6.2186148,6.2187155999999995,1.0650411499999999,50.99366004513839,-49,5,1,-1,2,0.15834896899999998,0.2969526643877551
