song_id,rms,spectral_bandwidth,spectral_centroid,spectral_contrast,spectral_flatness,spectral_rolloff,zero_crossing_rate,mfccs_offset,mfcc1,mfcc2,mfcc3,mfcc4,mfcc5,mfcc6,mfcc7,mfcc8,mfcc9,mfcc10,mfcc11,mfcc12,tempo,key,treble,tbb,genre,mean_valence,sd_valence,mean_arousal,sd_arousal
GimmeShelter_RollingStones_Original5S,0.07085,2618.73,2145.43,19.17,8e-5,4317.93,0.04621,-216.57858,187.03339,-50.745747,49.318855,-14.454336,19.365013,-10.658929,8.663794,2.8434145,4.7849298,1.8930017,1.9572874,6.1369877,120,c#,0,1,9,0.027293390459183674,0.1869071994586431,0.09026649079591836,0.13191424772573193
GodOnlyKnows_TheBeachBoys_Cover5S,0.05845,2900.65,1970.72,20.93,6e-5,3645.28,0.03475,-278.3712,178.53891,-12.388356,34.774742,-19.785284,26.750675,-27.349285,0.5135826,-2.3575757,-13.904625,-6.514365,-7.8836875,1.7343793,101,F,1,0,7,-0.07120773685416666,0.14792901285550475,-0.17719612695833334,0.10621345522251631
GodOnlyKnows_TheBeachBoys_Original5S,0.06725,2937.92,2511.63,20.01,1.5e-4,5098.66,0.05005,-229.22798,156.7829,-50.26175,55.420315,4.0354424,28.6505,-10.203047,4.1065025,4.1872244,8.178504,0.90674776,0.2519948,2.7431245,118,A,0,1,9,-0.053051779285714286,0.15624443123521695,-0.10147774008163264,0.12812825618266638
GoodGollyMissMolly_LittleRichard_Cover5S,0.02106,2861.29,2659.41,18.87,9.7e-4,5338.92,0.06634,-369.7007,143.19455,-35.526154,49.053535,-6.8354707,21.073244,-2.186228,13.507268,8.6304035,-4.5489993,8.47778,2.4148326,4.255459,144,G,1,0,9,0.05667062539583333,0.13285237816910347,0.05025326329166666,0.13960975113712623
GoodGollyMissMolly_LittleRichard_Original5S,0.04221,2914.09,2636.71,18.78,2.7e-4,5081.07,0.06124,-244.54784,172.1286,-60.614754,37.39246,-24.412788,20.562008,-16.161177,12.4946575,-5.0039997,6.9652543,-0.5386132,0.36779824,0.45150265,169,G,0,1,9,0.12625295597959182,0.1639737305436693,0.18630485902040816,0.12957007478940094
Happy_PharellWilliams_Cover5S,0.20716,4063.72,3168.96,20.32,0.01425,7721.57,0.05236,-143.80502,126.494125,3.091488,55.15812,-5.8074255,36.341164,-25.29575,28.693996,-10.776969,11.503231,-3.539987,7.7749634,-1.5114871,161,Ab,1,0,1,0.2264571080612245,0.11409779948851985,0.18819793014285713,0.13317882498218983
Happy_PharellWilliams_Original5S,0.24846,4690.12,4614.66,20.53,0.01073,10440.52,0.0985,-88.08391,105.18096,15.367365,55.021477,-23.907972,42.72458,-26.752619,16.1452,-13.120446,16.806974,-13.036817,-1.5476598,-10.811531,161,F,0,1,1,0.25485636193877553,0.09969510196214215,0.23970572212244898,0.11006893125929909
HeatWaves_GlassAnimals_Cover5S,0.05334,3360,3337.92,19.41,9.6e-4,7039.94,0.07965,-241.2088,124.65419,-34.564594,56.10486,-15.871703,31.093943,-10.295546,8.948415,-6.604428,-1.7785661,-5.031548,-1.2864997,3.8326578,148,B,0,1,8,0.12255010528571429,0.1189817536103528,0.09476732436734693,0.130209908889155
HeatWaves_GlassAnimals_Original5S,0.06459,3561.55,2740.56,19.63,2.2e-4,6218.34,0.04016,-267.65024,140.42593,4.809634,58.619186,-14.817208,36.25606,-4.663948,14.404116,2.2955577,5.733893,-0.7083112,2.4643128,5.395727,164,B,0,1,1,0.07679047354166667,0.18587785491747624,-0.0344734880625,0.1806760378216798
HeyYa_Outkast_Cover5S,0.04353,3755.79,2997.24,19.56,0.00114,6828.69,0.05507,-286.74167,129.61948,1.0410606,51.99142,-8.468199,16.393412,-27.063265,9.635726,-11.866749,-1.0019361,-11.505829,-0.5666292,-10.937265,125,G,1,1,12,0.0236170066122449,0.15280566539754048,-0.14323569910204081,0.09997944067150825
HeyYa_Outkast_Original5S,0.0926,2702.15,1966.2,19.42,5e-5,4161.94,0.03386,-205.47359,179.10843,-36.897892,42.688354,-16.50366,25.995975,1.2939835,12.014588,9.149578,8.671326,9.355966,1.7805214,5.141027,160,G,0,1,1,0.17079719659183673,0.14983844268798935,0.20492828040816327,0.09326386936685833
HowDoILive_LeAnnRimes_Cover5S,0.05654,2961.15,2517.41,19.97,0.00132,5226.38,0.05842,-245.0125,152.01115,-29.072495,30.234097,2.3583415,7.3829756,-6.821155,5.2973533,-5.6425037,-1.5177493,-4.0324726,0.054691166,-3.8970785,129,D,1,0,11,-0.013895549816326529,0.18851679945360086,-0.09744156916326531,0.13777215505742513
