welcome.started,welcome.stopped,space_to_continue.keys,space_to_continue.rt,space_to_continue.duration,participant,session,date,expName,psychopyVersion,OS,frameRate,STUDY_ID,SESSION_ID,consent.consent,consent.consent_recontact,consent_check.started,consent_check.stopped,calibration_ready.started,calibration_ready.stopped,cal_ready.keys,cal_ready.rt,cal_ready.duration,calibration.started,calibration.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,move_on.keys,move_on.rt,move_on.duration,instructions.started,instructions.stopped,next.keys,next.rt,next.duration,practice_trial.started,practice_trial.stopped,practice_slider.response,practice_slider.rt,ready.started,ready.stopped,key_resp.keys,key_resp.rt,key_resp.duration,play_sound.started,play_sound.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,orig_or_cover,rating.started,rating.stopped,slider.response,slider.rt,songs.thisRepN,songs.thisTrialN,songs.thisN,songs.thisIndex,songs.ran,song_id,short_break.started,short_break.stopped,space_to_move_on.keys,space_to_move_on.rt,space_to_move_on.duration,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,block,survey.age,survey.musician,survey.music_making,survey.listen_time,survey.medium,survey.music_seeking,survey.music_choice,survey.activities,survey.question1.Hip hop,survey.question1.Country,survey.question1.Latin,survey.question1.Alternative rock,survey.question1.Folk/indie,survey.question1.Classical,survey.question1.A cappella,survey.question1.Ambient,survey.question1.Disco,survey.question1.R&B,survey.question1.Classic rock,survey.question1.Reggae,survey.question1.Metal,survey.question1.Jazz,survey.question1.Electronic (EDM),survey.other_genres,survey.genres_ranked.text1,survey.genres_ranked.text2,survey.genres_ranked.text3,survey.habit_change,survey.habits,experiment.thisRepN,experiment.thisTrialN,experiment.thisN,experiment.thisIndex,experiment.ran,goodbye.started,goodbye.stopped
,,,,,842067,1,2024-06-17_10h34.07.864,experiment,2024.1.5,Win32,59.88023952,667045947eb812cbdacbf325,667056b7a28e2ba14957656f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,176.9925,177.8405,6.856666667,0.8097,0.0,5.0,5.0,18.0,1.0,song_indices/FlashdanceWhatAFeeling_IreneCara.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,842067,1,2024-06-17_10h34.07.864,experiment,2024.1.5,Win32,59.88023952,667045947eb812cbdacbf325,667056b7a28e2ba14957656f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,177.8421,184.0106,0.0,0.0,0.0,0.0,1.0,SoundStimuli/TheSign_AceOfBase_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,842067,1,2024-06-17_10h34.07.864,experiment,2024.1.5,Win32,59.88023952,667045947eb812cbdacbf325,667056b7a28e2ba14957656f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,184.0299,190.0375,0.0,1.0,1.0,1.0,1.0,SoundStimuli/TheSign_AceOfBase_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,842067,1,2024-06-17_10h34.07.864,experiment,2024.1.5,Win32,59.88023952,667045947eb812cbdacbf325,667056b7a28e2ba14957656f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,190.0383,195.8659,4.966666667,5.7995,0.0,6.0,6.0,5.0,1.0,song_indices/TheSign_AceOfBase.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,842067,1,2024-06-17_10h34.07.864,experiment,2024.1.5,Win32,59.88023952,667045947eb812cbdacbf325,667056b7a28e2ba14957656f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,195.8674,202.9724,0.0,0.0,0.0,1.0,1.0,SoundStimuli/BlurredLines_RobinThicke_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,842067,1,2024-06-17_10h34.07.864,experiment,2024.1.5,Win32,59.88023952,667045947eb812cbdacbf325,667056b7a28e2ba14957656f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,203.0136,209.7923,0.0,1.0,1.0,0.0,1.0,SoundStimuli/BlurredLines_RobinThicke_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,842067,1,2024-06-17_10h34.07.864,experiment,2024.1.5,Win32,59.88023952,667045947eb812cbdacbf325,667056b7a28e2ba14957656f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,209.7934,212.0102,6.1,2.1778,0.0,7.0,7.0,9.0,1.0,song_indices/BlurredLines_RobinThicke.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,842067,1,2024-06-17_10h34.07.864,experiment,2024.1.5,Win32,59.88023952,667045947eb812cbdacbf325,667056b7a28e2ba14957656f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,212.012,218.1311,0.0,0.0,0.0,1.0,1.0,SoundStimuli/TossinAndTurnin_BobbyLewis_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,842067,1,2024-06-17_10h34.07.864,experiment,2024.1.5,Win32,59.88023952,667045947eb812cbdacbf325,667056b7a28e2ba14957656f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,218.1685,224.2476,0.0,1.0,1.0,0.0,1.0,SoundStimuli/TossinAndTurnin_BobbyLewis_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,842067,1,2024-06-17_10h34.07.864,experiment,2024.1.5,Win32,59.88023952,667045947eb812cbdacbf325,667056b7a28e2ba14957656f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,224.2481,225.116,1.913333333,0.8162,0.0,8.0,8.0,13.0,1.0,song_indices/TossinAndTurnin_BobbyLewis.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
