welcome.started,welcome.stopped,space_to_continue.keys,space_to_continue.rt,space_to_continue.duration,participant,session,date,expName,psychopyVersion,OS,frameRate,STUDY_ID,SESSION_ID,consent.consent,consent.consent_recontact,consent_check.started,consent_check.stopped,calibration_ready.started,calibration_ready.stopped,cal_ready.keys,cal_ready.rt,cal_ready.duration,calibration.started,calibration.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,move_on.keys,move_on.rt,move_on.duration,instructions.started,instructions.stopped,next.keys,next.rt,next.duration,practice_trial.started,practice_trial.stopped,practice_slider.response,practice_slider.rt,ready.started,ready.stopped,key_resp.keys,key_resp.rt,key_resp.duration,play_sound.started,play_sound.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,orig_or_cover,rating.started,rating.stopped,slider.response,slider.rt,songs.thisRepN,songs.thisTrialN,songs.thisN,songs.thisIndex,songs.ran,song_id,short_break.started,short_break.stopped,space_to_move_on.keys,space_to_move_on.rt,space_to_move_on.duration,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,block,survey.age,survey.musician,survey.music_making,survey.listen_time,survey.medium,survey.music_seeking,survey.music_choice,survey.activities,survey.question1.R&B,survey.question1.Country,survey.question1.Hip hop,survey.question1.Classic rock,survey.question1.Reggae,survey.question1.Jazz,survey.question1.Ambient,survey.question1.Classical,survey.question1.A cappella,survey.question1.Pop,survey.question1.Metal,survey.question1.Alternative rock,survey.question1.Electronic (EDM),survey.question1.Folk/indie,survey.question1.Latin,survey.question1.Disco,survey.other_genres,survey.genres_ranked.text1,survey.genres_ranked.text2,survey.genres_ranked.text3,survey.habit_change,survey.habits,experiment.thisRepN,experiment.thisTrialN,experiment.thisN,experiment.thisIndex,experiment.ran,goodbye.started,goodbye.stopped
,,,,,416998,1,2024-06-17_10h52.45.874,experiment,2024.1.5,Win32,60.09615385,667045947eb812cbdacbf325,66704acf6c1f215d8d485521,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,265.124,271.539,0.0,1.0,1.0,0.0,1.0,SoundStimuli/TikTok_Kesha_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,416998,1,2024-06-17_10h52.45.874,experiment,2024.1.5,Win32,60.09615385,667045947eb812cbdacbf325,66704acf6c1f215d8d485521,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,271.54,278.68,1.007,7.12,0.0,8.0,8.0,3.0,1.0,song_indices/TikTok_Kesha.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,416998,1,2024-06-17_10h52.45.874,experiment,2024.1.5,Win32,60.09615385,667045947eb812cbdacbf325,66704acf6c1f215d8d485521,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,278.691,284.985,0.0,0.0,0.0,0.0,1.0,SoundStimuli/LeFreak_Chic_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,416998,1,2024-06-17_10h52.45.874,experiment,2024.1.5,Win32,60.09615385,667045947eb812cbdacbf325,66704acf6c1f215d8d485521,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,284.986,290.745,0.0,1.0,1.0,1.0,1.0,SoundStimuli/LeFreak_Chic_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,416998,1,2024-06-17_10h52.45.874,experiment,2024.1.5,Win32,60.09615385,667045947eb812cbdacbf325,66704acf6c1f215d8d485521,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,290.749,294.105,1.013,3.329,0.0,9.0,9.0,11.0,1.0,song_indices/LeFreak_Chic.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,416998,1,2024-06-17_10h52.45.874,experiment,2024.1.5,Win32,60.09615385,667045947eb812cbdacbf325,66704acf6c1f215d8d485521,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,294.121,301.097,0.0,0.0,0.0,0.0,1.0,SoundStimuli/BlurredLines_RobinThicke_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,416998,1,2024-06-17_10h52.45.874,experiment,2024.1.5,Win32,60.09615385,667045947eb812cbdacbf325,66704acf6c1f215d8d485521,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,301.1,308.452,0.0,1.0,1.0,1.0,1.0,SoundStimuli/BlurredLines_RobinThicke_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,416998,1,2024-06-17_10h52.45.874,experiment,2024.1.5,Win32,60.09615385,667045947eb812cbdacbf325,66704acf6c1f215d8d485521,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,308.453,310.617,5.987,2.15,0.0,10.0,10.0,9.0,1.0,song_indices/BlurredLines_RobinThicke.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,416998,1,2024-06-17_10h52.45.874,experiment,2024.1.5,Win32,60.09615385,667045947eb812cbdacbf325,66704acf6c1f215d8d485521,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,310.628,317.747,0.0,0.0,0.0,1.0,1.0,SoundStimuli/Dilemma_NellyKellyRowland_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,416998,1,2024-06-17_10h52.45.874,experiment,2024.1.5,Win32,60.09615385,667045947eb812cbdacbf325,66704acf6c1f215d8d485521,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,317.75,324.11,0.0,1.0,1.0,0.0,1.0,SoundStimuli/Dilemma_NellyKellyRowland_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
