welcome.started,welcome.stopped,space_to_continue.keys,space_to_continue.rt,space_to_continue.duration,participant,session,date,expName,psychopyVersion,OS,frameRate,STUDY_ID,SESSION_ID,consent.consent,consent.consent_recontact,consent_check.started,consent_check.stopped,calibration_ready.started,calibration_ready.stopped,cal_ready.keys,cal_ready.rt,cal_ready.duration,calibration.started,calibration.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,move_on.keys,move_on.rt,move_on.duration,instructions.started,instructions.stopped,next.keys,next.rt,next.duration,practice_trial.started,practice_trial.stopped,practice_slider.response,practice_slider.rt,ready.started,ready.stopped,key_resp.keys,key_resp.rt,key_resp.duration,play_sound.started,play_sound.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,orig_or_cover,rating.started,rating.stopped,slider.response,slider.rt,songs.thisRepN,songs.thisTrialN,songs.thisN,songs.thisIndex,songs.ran,song_id,short_break.started,short_break.stopped,space_to_move_on.keys,space_to_move_on.rt,space_to_move_on.duration,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,block,survey.age,survey.musician,survey.music_making,survey.listen_time,survey.medium,survey.music_seeking,survey.music_choice,survey.activities,survey.question1.A cappella,survey.question1.Disco,survey.question1.Pop,survey.question1.Classic rock,survey.question1.R&B,survey.question1.Latin,survey.question1.Metal,survey.question1.Folk/indie,survey.question1.Country,survey.question1.Reggae,survey.question1.Ambient,survey.question1.Electronic (EDM),survey.question1.Jazz,survey.question1.Hip hop,survey.question1.Alternative rock,survey.question1.Classical,survey.other_genres,survey.genres_ranked.text1,survey.genres_ranked.text2,survey.genres_ranked.text3,survey.habit_change,experiment.thisRepN,experiment.thisTrialN,experiment.thisN,experiment.thisIndex,experiment.ran,goodbye.started,goodbye.stopped
,,,,,524677,1,2024-06-17_09h55.51.946,experiment,2024.1.5,Win32,60.60606061,667045947eb812cbdacbf325,66704e48ab4a651f789adc69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,250.5319,252.3098,5.772222307,1.7526,0.0,5.0,5.0,17.0,1.0,song_indices/HowDoILive_LeAnnRimes.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,524677,1,2024-06-17_09h55.51.946,experiment,2024.1.5,Win32,60.60606061,667045947eb812cbdacbf325,66704e48ab4a651f789adc69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,252.3125,258.3932,0.0,0.0,0.0,0.0,1.0,SoundStimuli/YouLightUpMyLife_DebbyBoone_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,524677,1,2024-06-17_09h55.51.946,experiment,2024.1.5,Win32,60.60606061,667045947eb812cbdacbf325,66704e48ab4a651f789adc69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,258.4116,264.8592,0.0,1.0,1.0,1.0,1.0,SoundStimuli/YouLightUpMyLife_DebbyBoone_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,524677,1,2024-06-17_09h55.51.946,experiment,2024.1.5,Win32,60.60606061,667045947eb812cbdacbf325,66704e48ab4a651f789adc69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,264.8594,266.6541,6.816666497,1.7666,0.0,6.0,6.0,4.0,1.0,song_indices/YouLightUpMyLife_DebbyBoone.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,524677,1,2024-06-17_09h55.51.946,experiment,2024.1.5,Win32,60.60606061,667045947eb812cbdacbf325,66704e48ab4a651f789adc69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,266.6573,273.419,0.0,0.0,0.0,0.0,1.0,SoundStimuli/BlurredLines_RobinThicke_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,524677,1,2024-06-17_09h55.51.946,experiment,2024.1.5,Win32,60.60606061,667045947eb812cbdacbf325,66704e48ab4a651f789adc69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,273.4376,280.5329,0.0,1.0,1.0,1.0,1.0,SoundStimuli/BlurredLines_RobinThicke_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,524677,1,2024-06-17_09h55.51.946,experiment,2024.1.5,Win32,60.60606061,667045947eb812cbdacbf325,66704e48ab4a651f789adc69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,280.5332,282.4449,6.077778286,1.8829,0.0,7.0,7.0,9.0,1.0,song_indices/BlurredLines_RobinThicke.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,524677,1,2024-06-17_09h55.51.946,experiment,2024.1.5,Win32,60.60606061,667045947eb812cbdacbf325,66704e48ab4a651f789adc69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,282.4472,288.4778,0.0,0.0,0.0,0.0,1.0,SoundStimuli/LeFreak_Chic_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,524677,1,2024-06-17_09h55.51.946,experiment,2024.1.5,Win32,60.60606061,667045947eb812cbdacbf325,66704e48ab4a651f789adc69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,288.4966,294.013,0.0,1.0,1.0,1.0,1.0,SoundStimuli/LeFreak_Chic_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,524677,1,2024-06-17_09h55.51.946,experiment,2024.1.5,Win32,60.60606061,667045947eb812cbdacbf325,66704e48ab4a651f789adc69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,294.0134,298.3347,3.638888889,4.2964,0.0,8.0,8.0,11.0,1.0,song_indices/LeFreak_Chic.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
