welcome.started,welcome.stopped,space_to_continue.keys,space_to_continue.rt,space_to_continue.duration,participant,session,date,expName,psychopyVersion,OS,frameRate,STUDY_ID,SESSION_ID,consent.consent,consent.consent_recontact,consent_check.started,consent_check.stopped,calibration_ready.started,calibration_ready.stopped,cal_ready.keys,cal_ready.rt,cal_ready.duration,calibration.started,calibration.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,move_on.keys,move_on.rt,move_on.duration,instructions.started,instructions.stopped,next.keys,next.rt,next.duration,practice_trial.started,practice_trial.stopped,practice_slider.response,practice_slider.rt,ready.started,ready.stopped,key_resp.keys,key_resp.rt,key_resp.duration,play_sound.started,play_sound.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,orig_or_cover,rating.started,rating.stopped,slider.response,slider.rt,songs.thisRepN,songs.thisTrialN,songs.thisN,songs.thisIndex,songs.ran,song_id,short_break.started,short_break.stopped,space_to_move_on.keys,space_to_move_on.rt,space_to_move_on.duration,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,block,survey.age,survey.musician,survey.music_making,survey.listen_time,survey.medium,survey.music_seeking,survey.music_choice,survey.activities,survey.question1.Pop,survey.question1.Jazz,survey.question1.Classical,survey.question1.Ambient,survey.question1.Disco,survey.question1.Latin,survey.question1.R&B,survey.question1.Alternative rock,survey.question1.Metal,survey.question1.Reggae,survey.question1.Country,survey.question1.Classic rock,survey.question1.A cappella,survey.question1.Folk/indie,survey.question1.Hip hop,survey.question1.Electronic (EDM),survey.other_genres,survey.genres_ranked.text1,survey.genres_ranked.text2,survey.genres_ranked.text3,survey.habit_change,survey.habits,experiment.thisRepN,experiment.thisTrialN,experiment.thisN,experiment.thisIndex,experiment.ran,goodbye.started,goodbye.stopped
,,,,,620160,1,2024-06-14_09h31.56.915,experiment,2024.1.5,MacIntel,59.88023952,666b5f73dbba3f0cd916b177,666c70447365c4a932ef8fae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,162.4179,164.2508,5.006160482,1.8198,0.0,5.0,5.0,8.0,1.0,song_indices/GodOnlyKnows_TheBeachBoys.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,620160,1,2024-06-14_09h31.56.915,experiment,2024.1.5,MacIntel,59.88023952,666b5f73dbba3f0cd916b177,666c70447365c4a932ef8fae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,164.2522,170.8347,0.0,0.0,0.0,1.0,1.0,SoundStimuli/Despacito_LuisFonsiDaddyYankee_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,620160,1,2024-06-14_09h31.56.915,experiment,2024.1.5,MacIntel,59.88023952,666b5f73dbba3f0cd916b177,666c70447365c4a932ef8fae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,170.8456,177.4002,0.0,1.0,1.0,0.0,1.0,SoundStimuli/Despacito_LuisFonsiDaddyYankee_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,620160,1,2024-06-14_09h31.56.915,experiment,2024.1.5,MacIntel,59.88023952,666b5f73dbba3f0cd916b177,666c70447365c4a932ef8fae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,177.4003,178.2841,5.96887207,0.8704,0.0,6.0,6.0,11.0,1.0,song_indices/Despacito_LuisFonsiDaddyYankee.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,620160,1,2024-06-14_09h31.56.915,experiment,2024.1.5,MacIntel,59.88023952,666b5f73dbba3f0cd916b177,666c70447365c4a932ef8fae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,178.2853,184.417,0.0,0.0,0.0,1.0,1.0,SoundStimuli/Smooth_SantanaRobThomas_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,620160,1,2024-06-14_09h31.56.915,experiment,2024.1.5,MacIntel,59.88023952,666b5f73dbba3f0cd916b177,666c70447365c4a932ef8fae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,184.4276,190.6336,0.0,1.0,1.0,0.0,1.0,SoundStimuli/Smooth_SantanaRobThomas_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,620160,1,2024-06-14_09h31.56.915,experiment,2024.1.5,MacIntel,59.88023952,666b5f73dbba3f0cd916b177,666c70447365c4a932ef8fae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,190.6337,196.2832,6.951040039,5.6359,0.0,7.0,7.0,4.0,1.0,song_indices/Smooth_SantanaRobThomas.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,620160,1,2024-06-14_09h31.56.915,experiment,2024.1.5,MacIntel,59.88023952,666b5f73dbba3f0cd916b177,666c70447365c4a932ef8fae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,196.2856,202.2336,0.0,0.0,0.0,1.0,1.0,SoundStimuli/IllMakeLoveToYou_BoyzIIMen_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,620160,1,2024-06-14_09h31.56.915,experiment,2024.1.5,MacIntel,59.88023952,666b5f73dbba3f0cd916b177,666c70447365c4a932ef8fae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,202.244,208.316,0.0,1.0,1.0,0.0,1.0,SoundStimuli/IllMakeLoveToYou_BoyzIIMen_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,620160,1,2024-06-14_09h31.56.915,experiment,2024.1.5,MacIntel,59.88023952,666b5f73dbba3f0cd916b177,666c70447365c4a932ef8fae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,208.3166,209.8179,6.982213542,1.4857,0.0,8.0,8.0,6.0,1.0,song_indices/IllMakeLoveToYou_BoyzIIMen.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,620160,1,2024-06-14_09h31.56.915,experiment,2024.1.5,MacIntel,59.88023952,666b5f73dbba3f0cd916b177,666c70447365c4a932ef8fae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,209.819,215.6159,0.0,0.0,0.0,0.0,1.0,SoundStimuli/IWantToHoldYourHand_TheBeatles_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,620160,1,2024-06-14_09h31.56.915,experiment,2024.1.5,MacIntel,59.88023952,666b5f73dbba3f0cd916b177,666c70447365c4a932ef8fae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,215.6259,221.6498,0.0,1.0,1.0,1.0,1.0,SoundStimuli/IWantToHoldYourHand_TheBeatles_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,620160,1,2024-06-14_09h31.56.915,experiment,2024.1.5,MacIntel,59.88023952,666b5f73dbba3f0cd916b177,666c70447365c4a932ef8fae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,221.6499,223.2493,1.994388224,1.5857,0.0,9.0,9.0,19.0,1.0,song_indices/IWantToHoldYourHand_TheBeatles.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,620160,1,2024-06-14_09h31.56.915,experiment,2024.1.5,MacIntel,59.88023952,666b5f73dbba3f0cd916b177,666c70447365c4a932ef8fae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,223.2502,230.7494,0.0,0.0,0.0,1.0,1.0,SoundStimuli/BadDay_DanielPowter_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,620160,1,2024-06-14_09h31.56.915,experiment,2024.1.5,MacIntel,59.88023952,666b5f73dbba3f0cd916b177,666c70447365c4a932ef8fae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,230.7588,237.1991,0.0,1.0,1.0,0.0,1.0,SoundStimuli/BadDay_DanielPowter_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,620160,1,2024-06-14_09h31.56.915,experiment,2024.1.5,MacIntel,59.88023952,666b5f73dbba3f0cd916b177,666c70447365c4a932ef8fae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,237.1997,239.5324,5.006518148,2.3193,0.0,10.0,10.0,22.0,1.0,song_indices/BadDay_DanielPowter.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,620160,1,2024-06-14_09h31.56.915,experiment,2024.1.5,MacIntel,59.88023952,666b5f73dbba3f0cd916b177,666c70447365c4a932ef8fae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,239.5333,247.7993,0.0,0.0,0.0,1.0,1.0,SoundStimuli/Perfect_EdSheeran_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
