welcome.started,welcome.stopped,space_to_continue.keys,space_to_continue.rt,space_to_continue.duration,participant,session,date,expName,psychopyVersion,OS,frameRate,STUDY_ID,SESSION_ID,consent.consent,consent.consent_recontact,consent_check.started,consent_check.stopped,calibration_ready.started,calibration_ready.stopped,cal_ready.keys,cal_ready.rt,cal_ready.duration,calibration.started,calibration.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,move_on.keys,move_on.rt,move_on.duration,instructions.started,instructions.stopped,next.keys,next.rt,next.duration,practice_trial.started,practice_trial.stopped,practice_slider.response,practice_slider.rt,ready.started,ready.stopped,key_resp.keys,key_resp.rt,key_resp.duration,play_sound.started,play_sound.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,orig_or_cover,rating.started,rating.stopped,slider.response,slider.rt,songs.thisRepN,songs.thisTrialN,songs.thisN,songs.thisIndex,songs.ran,song_id,short_break.started,short_break.stopped,space_to_move_on.keys,space_to_move_on.rt,space_to_move_on.duration,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,block,survey.age,survey.musician,survey.music_making,survey.listen_time,survey.medium,survey.music_seeking,survey.music_choice,survey.activities,survey.question1.Hip hop,survey.question1.Disco,survey.question1.Jazz,survey.question1.Classical,survey.question1.Alternative rock,survey.question1.Metal,survey.question1.Latin,survey.question1.Reggae,survey.question1.Pop,survey.question1.Folk/indie,survey.question1.R&B,survey.question1.Electronic (EDM),survey.question1.Classic rock,survey.question1.Country,survey.question1.Ambient,survey.question1.A cappella,survey.other_genres,survey.genres_ranked.text1,survey.genres_ranked.text2,survey.genres_ranked.text3,survey.habit_change,survey.habits,experiment.thisRepN,experiment.thisTrialN,experiment.thisN,experiment.thisIndex,experiment.ran,goodbye.started,goodbye.stopped
,,,,,361318,1,2024-06-17_09h43.48.883,experiment,2024.1.5,Win32,59.88023952,667045947eb812cbdacbf325,66704b7f7d8090ae79602e4a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150.8557,152.0069,3.144444444,1.146,0.0,5.0,5.0,19.0,1.0,song_indices/IWantToHoldYourHand_TheBeatles.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,361318,1,2024-06-17_09h43.48.883,experiment,2024.1.5,Win32,59.88023952,667045947eb812cbdacbf325,66704b7f7d8090ae79602e4a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,152.0074,158.2222,0.0,0.0,0.0,1.0,1.0,SoundStimuli/LikeAPrayer_Madonna_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,361318,1,2024-06-17_09h43.48.883,experiment,2024.1.5,Win32,59.88023952,667045947eb812cbdacbf325,66704b7f7d8090ae79602e4a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,158.2272,164.4222,0.0,1.0,1.0,0.0,1.0,SoundStimuli/LikeAPrayer_Madonna_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,361318,1,2024-06-17_09h43.48.883,experiment,2024.1.5,Win32,59.88023952,667045947eb812cbdacbf325,66704b7f7d8090ae79602e4a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,164.4223,165.9557,5.727777778,1.5239,0.0,6.0,6.0,7.0,1.0,song_indices/LikeAPrayer_Madonna.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,361318,1,2024-06-17_09h43.48.883,experiment,2024.1.5,Win32,59.88023952,667045947eb812cbdacbf325,66704b7f7d8090ae79602e4a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,165.9563,172.2731,0.0,0.0,0.0,0.0,1.0,SoundStimuli/BridgeOverTroubledWater_SimonAndGarfunkel_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,361318,1,2024-06-17_09h43.48.883,experiment,2024.1.5,Win32,59.88023952,667045947eb812cbdacbf325,66704b7f7d8090ae79602e4a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,172.278,178.9727,0.0,1.0,1.0,1.0,1.0,SoundStimuli/BridgeOverTroubledWater_SimonAndGarfunkel_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,361318,1,2024-06-17_09h43.48.883,experiment,2024.1.5,Win32,59.88023952,667045947eb812cbdacbf325,66704b7f7d8090ae79602e4a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,178.9728,180.5723,2.988888889,1.5864,0.0,7.0,7.0,1.0,1.0,song_indices/BridgeOverTroubledWater_SimonAndGarfunkel.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,361318,1,2024-06-17_09h43.48.883,experiment,2024.1.5,Win32,59.88023952,667045947eb812cbdacbf325,66704b7f7d8090ae79602e4a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,180.5729,186.6055,0.0,0.0,0.0,0.0,1.0,SoundStimuli/AnotherOneBitesTheDust_Queen_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,361318,1,2024-06-17_09h43.48.883,experiment,2024.1.5,Win32,59.88023952,667045947eb812cbdacbf325,66704b7f7d8090ae79602e4a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,186.6105,194.7388,0.0,1.0,1.0,1.0,1.0,SoundStimuli/AnotherOneBitesTheDust_Queen_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,361318,1,2024-06-17_09h43.48.883,experiment,2024.1.5,Win32,59.88023952,667045947eb812cbdacbf325,66704b7f7d8090ae79602e4a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,194.7389,196.189,2.55,1.4349,0.0,8.0,8.0,9.0,1.0,song_indices/AnotherOneBitesTheDust_Queen.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
