welcome.started,welcome.stopped,space_to_continue.keys,space_to_continue.rt,space_to_continue.duration,participant,session,date,expName,psychopyVersion,OS,frameRate,STUDY_ID,SESSION_ID,consent.consent,consent.consent_recontact,consent_check.started,consent_check.stopped,calibration_ready.started,calibration_ready.stopped,cal_ready.keys,cal_ready.rt,cal_ready.duration,calibration.started,calibration.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,move_on.keys,move_on.rt,move_on.duration,instructions.started,instructions.stopped,next.keys,next.rt,next.duration,practice_trial.started,practice_trial.stopped,practice_slider.response,practice_slider.rt,ready.started,ready.stopped,key_resp.keys,key_resp.rt,key_resp.duration,play_sound.started,play_sound.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,orig_or_cover,rating.started,rating.stopped,slider.response,slider.rt,songs.thisRepN,songs.thisTrialN,songs.thisN,songs.thisIndex,songs.ran,song_id,short_break.started,short_break.stopped,space_to_move_on.keys,space_to_move_on.rt,space_to_move_on.duration,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,block,survey.age,survey.musician,survey.music_making,survey.listen_time,survey.medium,survey.music_seeking,survey.music_choice,survey.activities,survey.question1.Folk/indie,survey.question1.Jazz,survey.question1.Classical,survey.question1.Electronic (EDM),survey.question1.A cappella,survey.question1.Classic rock,survey.question1.Alternative rock,survey.question1.Latin,survey.question1.Metal,survey.question1.Hip hop,survey.question1.Pop,survey.question1.Reggae,survey.question1.Country,survey.question1.Ambient,survey.question1.Disco,survey.question1.R&B,survey.other_genres,survey.genres_ranked.text1,survey.genres_ranked.text2,survey.genres_ranked.text3,survey.habit_change,survey.habits,experiment.thisRepN,experiment.thisTrialN,experiment.thisN,experiment.thisIndex,experiment.ran,goodbye.started,goodbye.stopped
,,,,,781731,1,2024-06-17_10h37.14.200,experiment,2024.1.5,MacIntel,59.52380952,667045947eb812cbdacbf325,667049e74bd4a99a00f3b85f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,173.6708,176.5868,4.065071615,2.8964,0.0,7.0,7.0,18.0,1.0,song_indices/FlashdanceWhatAFeeling_IreneCara.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,781731,1,2024-06-17_10h37.14.200,experiment,2024.1.5,MacIntel,59.52380952,667045947eb812cbdacbf325,667049e74bd4a99a00f3b85f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,176.588,183.6542,0.0,0.0,0.0,1.0,1.0,SoundStimuli/ComeAndGetYourLove_Redbone_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,781731,1,2024-06-17_10h37.14.200,experiment,2024.1.5,MacIntel,59.52380952,667045947eb812cbdacbf325,667049e74bd4a99a00f3b85f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,183.6701,189.7875,0.0,1.0,1.0,0.0,1.0,SoundStimuli/ComeAndGetYourLove_Redbone_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,781731,1,2024-06-17_10h37.14.200,experiment,2024.1.5,MacIntel,59.52380952,667045947eb812cbdacbf325,667049e74bd4a99a00f3b85f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,189.7877,192.0196,4.855959473,2.2082,0.0,8.0,8.0,22.0,1.0,song_indices/ComeAndGetYourLove_Redbone.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,781731,1,2024-06-17_10h37.14.200,experiment,2024.1.5,MacIntel,59.52380952,667045947eb812cbdacbf325,667049e74bd4a99a00f3b85f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,192.0208,198.1874,0.0,0.0,0.0,0.0,1.0,SoundStimuli/TheSign_AceOfBase_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,781731,1,2024-06-17_10h37.14.200,experiment,2024.1.5,MacIntel,59.52380952,667045947eb812cbdacbf325,667049e74bd4a99a00f3b85f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,198.203,204.2039,0.0,1.0,1.0,1.0,1.0,SoundStimuli/TheSign_AceOfBase_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,781731,1,2024-06-17_10h37.14.200,experiment,2024.1.5,MacIntel,59.52380952,667045947eb812cbdacbf325,667049e74bd4a99a00f3b85f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,204.2041,210.6208,4.948506673,6.4004,0.0,9.0,9.0,5.0,1.0,song_indices/TheSign_AceOfBase.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,781731,1,2024-06-17_10h37.14.200,experiment,2024.1.5,MacIntel,59.52380952,667045947eb812cbdacbf325,667049e74bd4a99a00f3b85f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,210.6219,217.0705,0.0,0.0,0.0,1.0,1.0,SoundStimuli/YouLightUpMyLife_DebbyBoone_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,781731,1,2024-06-17_10h37.14.200,experiment,2024.1.5,MacIntel,59.52380952,667045947eb812cbdacbf325,667049e74bd4a99a00f3b85f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,217.0865,223.17,0.0,1.0,1.0,0.0,1.0,SoundStimuli/YouLightUpMyLife_DebbyBoone_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,781731,1,2024-06-17_10h37.14.200,experiment,2024.1.5,MacIntel,59.52380952,667045947eb812cbdacbf325,667049e74bd4a99a00f3b85f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,223.1704,224.8039,5.011866455,1.6075,0.0,10.0,10.0,4.0,1.0,song_indices/YouLightUpMyLife_DebbyBoone.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
