welcome.started,welcome.stopped,space_to_continue.keys,space_to_continue.rt,space_to_continue.duration,participant,session,date,expName,psychopyVersion,OS,frameRate,STUDY_ID,SESSION_ID,consent.consent,consent.consent_recontact,consent_check.started,consent_check.stopped,calibration_ready.started,calibration_ready.stopped,cal_ready.keys,cal_ready.rt,cal_ready.duration,calibration.started,calibration.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,move_on.keys,move_on.rt,move_on.duration,instructions.started,instructions.stopped,next.keys,next.rt,next.duration,practice_trial.started,practice_trial.stopped,practice_slider.response,practice_slider.rt,ready.started,ready.stopped,key_resp.keys,key_resp.rt,key_resp.duration,play_sound.started,play_sound.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,orig_or_cover,rating.started,rating.stopped,slider.response,slider.rt,songs.thisRepN,songs.thisTrialN,songs.thisN,songs.thisIndex,songs.ran,song_id,short_break.started,short_break.stopped,space_to_move_on.keys,space_to_move_on.rt,space_to_move_on.duration,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,block,survey.age,survey.musician,survey.music_making,survey.listen_time,survey.medium,survey.music_seeking,survey.music_choice,survey.activities,survey.question1.Country,survey.question1.A cappella,survey.question1.Jazz,survey.question1.Folk/indie,survey.question1.Latin,survey.question1.Disco,survey.question1.Ambient,survey.question1.Reggae,survey.question1.Hip hop,survey.question1.Metal,survey.question1.Classic rock,survey.question1.Pop,survey.question1.Classical,survey.question1.Electronic (EDM),survey.question1.R&B,survey.question1.Alternative rock,survey.genres_ranked.text1,survey.genres_ranked.text2,survey.genres_ranked.text3,survey.habit_change,experiment.thisRepN,experiment.thisTrialN,experiment.thisN,experiment.thisIndex,experiment.ran,goodbye.started,goodbye.stopped
,,,,,355342,1,2024-06-17_10h49.40.236,experiment,2024.1.5,Win32,142.8571429,667045947eb812cbdacbf325,66704d68388d10a9927acc48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,352.3259,353.943,2.004197272,1.6091,0.0,5.0,5.0,0.0,1.0,song_indices/Respect_ArethaFranklin.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,355342,1,2024-06-17_10h49.40.236,experiment,2024.1.5,Win32,142.8571429,667045947eb812cbdacbf325,66704d68388d10a9927acc48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,353.9437,359.9985,0.0,0.0,0.0,0.0,1.0,SoundStimuli/Weak_SWV_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,355342,1,2024-06-17_10h49.40.236,experiment,2024.1.5,Win32,142.8571429,667045947eb812cbdacbf325,66704d68388d10a9927acc48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,360.0047,366.4571,0.0,1.0,1.0,1.0,1.0,SoundStimuli/Weak_SWV_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,355342,1,2024-06-17_10h49.40.236,experiment,2024.1.5,Win32,142.8571429,667045947eb812cbdacbf325,66704d68388d10a9927acc48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,366.4573,369.7833,4.006295908,3.3111,0.0,6.0,6.0,6.0,1.0,song_indices/Weak_SWV.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,355342,1,2024-06-17_10h49.40.236,experiment,2024.1.5,Win32,142.8571429,667045947eb812cbdacbf325,66704d68388d10a9927acc48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,369.784,375.2419,0.0,0.0,0.0,1.0,1.0,SoundStimuli/HowDoILive_LeAnnRimes_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,355342,1,2024-06-17_10h49.40.236,experiment,2024.1.5,Win32,142.8571429,667045947eb812cbdacbf325,66704d68388d10a9927acc48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,375.2522,381.2636,0.0,1.0,1.0,0.0,1.0,SoundStimuli/HowDoILive_LeAnnRimes_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,355342,1,2024-06-17_10h49.40.236,experiment,2024.1.5,Win32,142.8571429,667045947eb812cbdacbf325,66704d68388d10a9927acc48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,381.2636,382.5057,5.378803778,1.2309,0.0,7.0,7.0,17.0,1.0,song_indices/HowDoILive_LeAnnRimes.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,355342,1,2024-06-17_10h49.40.236,experiment,2024.1.5,Win32,142.8571429,667045947eb812cbdacbf325,66704d68388d10a9927acc48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,382.5064,388.9857,0.0,0.0,0.0,0.0,1.0,SoundStimuli/Dreams_FleetwoodMac_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,355342,1,2024-06-17_10h49.40.236,experiment,2024.1.5,Win32,142.8571429,667045947eb812cbdacbf325,66704d68388d10a9927acc48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,388.992,396.8113,0.0,1.0,1.0,1.0,1.0,SoundStimuli/Dreams_FleetwoodMac_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,355342,1,2024-06-17_10h49.40.236,experiment,2024.1.5,Win32,142.8571429,667045947eb812cbdacbf325,66704d68388d10a9927acc48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,396.8114,400.0058,2.149003148,3.1874,0.0,8.0,8.0,1.0,1.0,song_indices/Dreams_FleetwoodMac.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
