welcome.started,welcome.stopped,space_to_continue.keys,space_to_continue.rt,space_to_continue.duration,participant,session,date,expName,psychopyVersion,OS,frameRate,STUDY_ID,SESSION_ID,consent.consent,consent.consent_recontact,consent_check.started,consent_check.stopped,calibration_ready.started,calibration_ready.stopped,cal_ready.keys,cal_ready.rt,cal_ready.duration,calibration.started,calibration.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,move_on.keys,move_on.rt,move_on.duration,instructions.started,instructions.stopped,next.keys,next.rt,next.duration,practice_trial.started,practice_trial.stopped,practice_slider.response,practice_slider.rt,ready.started,ready.stopped,key_resp.keys,key_resp.rt,key_resp.duration,play_sound.started,play_sound.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,orig_or_cover,rating.started,rating.stopped,slider.response,slider.rt,songs.thisRepN,songs.thisTrialN,songs.thisN,songs.thisIndex,songs.ran,song_id,short_break.started,short_break.stopped,space_to_move_on.keys,space_to_move_on.rt,space_to_move_on.duration,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,block,survey.age,survey.musician,survey.music_making,survey.listen_time,survey.medium,survey.music_seeking,survey.music_choice,survey.activities,survey.question1.Country,survey.question1.Electronic (EDM),survey.question1.Alternative rock,survey.question1.Classic rock,survey.question1.Ambient,survey.question1.Classical,survey.question1.Disco,survey.question1.Metal,survey.question1.Jazz,survey.question1.Folk/indie,survey.question1.Pop,survey.question1.A cappella,survey.question1.Reggae,survey.question1.Hip hop,survey.question1.R&B,survey.question1.Latin,survey.other_genres,survey.genres_ranked.text1,survey.genres_ranked.text2,survey.genres_ranked.text3,survey.habit_change,survey.habits,experiment.thisRepN,experiment.thisTrialN,experiment.thisN,experiment.thisIndex,experiment.ran,goodbye.started,goodbye.stopped
,,,,,157042,1,2024-06-17_10h39.29.024,experiment,2024.1.5,MacIntel,59.88023952,667045947eb812cbdacbf325,66704a59970c84e77698f0cc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,258.1047,260.0828,6.070878906,1.9567,0.0,7.0,7.0,5.0,1.0,song_indices/BetteDavisEyes_KimCarnes.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,157042,1,2024-06-17_10h39.29.024,experiment,2024.1.5,MacIntel,59.88023952,667045947eb812cbdacbf325,66704a59970c84e77698f0cc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,260.0837,266.1683,0.0,0.0,0.0,0.0,1.0,SoundStimuli/GetUrFreakOn_MissyElliot_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,157042,1,2024-06-17_10h39.29.024,experiment,2024.1.5,MacIntel,59.88023952,667045947eb812cbdacbf325,66704a59970c84e77698f0cc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,266.1791,272.7524,0.0,1.0,1.0,1.0,1.0,SoundStimuli/GetUrFreakOn_MissyElliot_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,157042,1,2024-06-17_10h39.29.024,experiment,2024.1.5,MacIntel,59.88023952,667045947eb812cbdacbf325,66704a59970c84e77698f0cc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,272.7526,274.3151,3.985849609,1.5421,0.0,8.0,8.0,18.0,1.0,song_indices/GetUrFreakOn_MissyElliot.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,157042,1,2024-06-17_10h39.29.024,experiment,2024.1.5,MacIntel,59.88023952,667045947eb812cbdacbf325,66704a59970c84e77698f0cc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,274.3166,280.6678,0.0,0.0,0.0,1.0,1.0,SoundStimuli/GoodGollyMissMolly_LittleRichard_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,157042,1,2024-06-17_10h39.29.024,experiment,2024.1.5,MacIntel,59.88023952,667045947eb812cbdacbf325,66704a59970c84e77698f0cc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,280.6791,286.7366,0.0,1.0,1.0,0.0,1.0,SoundStimuli/GoodGollyMissMolly_LittleRichard_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,157042,1,2024-06-17_10h39.29.024,experiment,2024.1.5,MacIntel,59.88023952,667045947eb812cbdacbf325,66704a59970c84e77698f0cc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,286.7367,289.3304,3.951396484,2.5735,0.0,9.0,9.0,0.0,1.0,song_indices/GoodGollyMissMolly_LittleRichard.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,157042,1,2024-06-17_10h39.29.024,experiment,2024.1.5,MacIntel,59.88023952,667045947eb812cbdacbf325,66704a59970c84e77698f0cc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,289.3313,295.2337,0.0,0.0,0.0,0.0,1.0,SoundStimuli/EyeOfTheTiger_Survivor_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,157042,1,2024-06-17_10h39.29.024,experiment,2024.1.5,MacIntel,59.88023952,667045947eb812cbdacbf325,66704a59970c84e77698f0cc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,295.2447,301.3529,0.0,1.0,1.0,1.0,1.0,SoundStimuli/EyeOfTheTiger_Survivor_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,157042,1,2024-06-17_10h39.29.024,experiment,2024.1.5,MacIntel,59.88023952,667045947eb812cbdacbf325,66704a59970c84e77698f0cc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,301.353,302.6487,4.919570313,1.2839,0.0,10.0,10.0,11.0,1.0,song_indices/EyeOfTheTiger_Survivor.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
