welcome.started,welcome.stopped,space_to_continue.keys,space_to_continue.rt,space_to_continue.duration,participant,session,date,expName,psychopyVersion,OS,frameRate,STUDY_ID,SESSION_ID,consent.consent,consent.consent_recontact,consent_check.started,consent_check.stopped,calibration_ready.started,calibration_ready.stopped,cal_ready.keys,cal_ready.rt,cal_ready.duration,calibration.started,calibration.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,move_on.keys,move_on.rt,move_on.duration,instructions.started,instructions.stopped,next.keys,next.rt,next.duration,practice_trial.started,practice_trial.stopped,practice_slider.response,practice_slider.rt,ready.started,ready.stopped,key_resp.keys,key_resp.rt,key_resp.duration,play_sound.started,play_sound.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,orig_or_cover,rating.started,rating.stopped,slider.response,slider.rt,songs.thisRepN,songs.thisTrialN,songs.thisN,songs.thisIndex,songs.ran,song_id,short_break.started,short_break.stopped,space_to_move_on.keys,space_to_move_on.rt,space_to_move_on.duration,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,block,survey.age,survey.musician,survey.music_making,survey.listen_time,survey.medium,survey.music_seeking,survey.music_choice,survey.activities,survey.question1.Jazz,survey.question1.Disco,survey.question1.Country,survey.question1.Reggae,survey.question1.Classic rock,survey.question1.Folk/indie,survey.question1.Electronic (EDM),survey.question1.Pop,survey.question1.A cappella,survey.question1.Classical,survey.question1.Latin,survey.question1.Hip hop,survey.question1.Ambient,survey.question1.R&B,survey.question1.Metal,survey.question1.Alternative rock,survey.genres_ranked.text1,survey.genres_ranked.text2,survey.genres_ranked.text3,survey.habit_change,experiment.thisRepN,experiment.thisTrialN,experiment.thisN,experiment.thisIndex,experiment.ran,goodbye.started,goodbye.stopped
,,,,,8106,1,2024-06-14_12h44.06.168,experiment,2024.1.5,Win32,60.24096386,666b5f73dbba3f0cd916b177,666c6e9109980915527cfe5b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,228.7324,230.0786,5.6875,1.308,0.0,5.0,5.0,2.0,1.0,song_indices/PartyRockAnthem_LMFAO.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,8106,1,2024-06-14_12h44.06.168,experiment,2024.1.5,Win32,60.24096386,666b5f73dbba3f0cd916b177,666c6e9109980915527cfe5b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,230.0818,236.4352,0.0,0.0,0.0,1.0,1.0,SoundStimuli/GoodGollyMissMolly_LittleRichard_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,8106,1,2024-06-14_12h44.06.168,experiment,2024.1.5,Win32,60.24096386,666b5f73dbba3f0cd916b177,666c6e9109980915527cfe5b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,236.4648,242.5102,0.0,1.0,1.0,0.0,1.0,SoundStimuli/GoodGollyMissMolly_LittleRichard_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,8106,1,2024-06-14_12h44.06.168,experiment,2024.1.5,Win32,60.24096386,666b5f73dbba3f0cd916b177,666c6e9109980915527cfe5b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,242.5106,243.9584,5.8359375,1.4021,0.0,6.0,6.0,0.0,1.0,song_indices/GoodGollyMissMolly_LittleRichard.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,8106,1,2024-06-14_12h44.06.168,experiment,2024.1.5,Win32,60.24096386,666b5f73dbba3f0cd916b177,666c6e9109980915527cfe5b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,243.9612,254.2078,0.0,0.0,0.0,1.0,1.0,SoundStimuli/CrazyInLove_BeyonceFtJayZ_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,8106,1,2024-06-14_12h44.06.168,experiment,2024.1.5,Win32,60.24096386,666b5f73dbba3f0cd916b177,666c6e9109980915527cfe5b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,254.2352,260.7652,0.0,1.0,1.0,0.0,1.0,SoundStimuli/CrazyInLove_BeyonceFtJayZ_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,8106,1,2024-06-14_12h44.06.168,experiment,2024.1.5,Win32,60.24096386,666b5f73dbba3f0cd916b177,666c6e9109980915527cfe5b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,260.7657,262.761,6.0234375,1.9656,0.0,7.0,7.0,3.0,1.0,song_indices/CrazyInLove_BeyonceFtJayZ.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,8106,1,2024-06-14_12h44.06.168,experiment,2024.1.5,Win32,60.24096386,666b5f73dbba3f0cd916b177,666c6e9109980915527cfe5b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,262.7629,268.9863,0.0,0.0,0.0,0.0,1.0,SoundStimuli/TheBoyIsMine_BrandyMonica_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,8106,1,2024-06-14_12h44.06.168,experiment,2024.1.5,Win32,60.24096386,666b5f73dbba3f0cd916b177,666c6e9109980915527cfe5b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,269.0176,274.9605,0.0,1.0,1.0,1.0,1.0,SoundStimuli/TheBoyIsMine_BrandyMonica_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,8106,1,2024-06-14_12h44.06.168,experiment,2024.1.5,Win32,60.24096386,666b5f73dbba3f0cd916b177,666c6e9109980915527cfe5b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,274.9611,276.3243,6.9453125,1.3138,0.0,8.0,8.0,6.0,1.0,song_indices/TheBoyIsMine_BrandyMonica.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
