welcome.started,welcome.stopped,space_to_continue.keys,space_to_continue.rt,space_to_continue.duration,participant,session,date,expName,psychopyVersion,OS,frameRate,STUDY_ID,SESSION_ID,consent.consent,consent.consent_recontact,consent_check.started,consent_check.stopped,calibration_ready.started,calibration_ready.stopped,cal_ready.keys,cal_ready.rt,cal_ready.duration,calibration.started,calibration.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,move_on.keys,move_on.rt,move_on.duration,instructions.started,instructions.stopped,next.keys,next.rt,next.duration,practice_trial.started,practice_trial.stopped,practice_slider.response,practice_slider.rt,ready.started,ready.stopped,key_resp.keys,key_resp.rt,key_resp.duration,play_sound.started,play_sound.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,orig_or_cover,rating.started,rating.stopped,slider.response,slider.rt,songs.thisRepN,songs.thisTrialN,songs.thisN,songs.thisIndex,songs.ran,song_id,short_break.started,short_break.stopped,space_to_move_on.keys,space_to_move_on.rt,space_to_move_on.duration,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,block,survey.age,survey.musician,survey.music_making,survey.listen_time,survey.medium,survey.music_seeking,survey.music_choice,survey.activities,survey.question1.Electronic (EDM),survey.question1.Classical,survey.question1.Jazz,survey.question1.Disco,survey.question1.A cappella,survey.question1.Ambient,survey.question1.Hip hop,survey.question1.Pop,survey.question1.Reggae,survey.question1.Folk/indie,survey.question1.Classic rock,survey.question1.Metal,survey.question1.Alternative rock,survey.question1.Country,survey.question1.R&B,survey.question1.Latin,survey.other_genres,survey.genres_ranked.text1,survey.genres_ranked.text2,survey.genres_ranked.text3,survey.habit_change,survey.habits,experiment.thisRepN,experiment.thisTrialN,experiment.thisN,experiment.thisIndex,experiment.ran,goodbye.started,goodbye.stopped
,,,,,158648,1,2024-06-17_10h56.24.215,experiment,2024.1.5,Win32,144.092219,667045947eb812cbdacbf325,66704d231dcf2ec2197b43db,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,158.964,161.5,6.329166667,2.53,0.0,5.0,5.0,11.0,1.0,song_indices/EyeOfTheTiger_Survivor.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,158648,1,2024-06-17_10h56.24.215,experiment,2024.1.5,Win32,144.092219,667045947eb812cbdacbf325,66704d231dcf2ec2197b43db,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,161.501,167.746,0.0,0.0,0.0,0.0,1.0,SoundStimuli/ItsAllInTheGame_TommyEdwards_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,158648,1,2024-06-17_10h56.24.215,experiment,2024.1.5,Win32,144.092219,667045947eb812cbdacbf325,66704d231dcf2ec2197b43db,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,167.747,173.959,0.0,1.0,1.0,1.0,1.0,SoundStimuli/ItsAllInTheGame_TommyEdwards_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,158648,1,2024-06-17_10h56.24.215,experiment,2024.1.5,Win32,144.092219,667045947eb812cbdacbf325,66704d231dcf2ec2197b43db,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,173.959,176.189,5.141666667,2.228,0.0,6.0,6.0,13.0,1.0,song_indices/ItsAllInTheGame_TommyEdwards.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,158648,1,2024-06-17_10h56.24.215,experiment,2024.1.5,Win32,144.092219,667045947eb812cbdacbf325,66704d231dcf2ec2197b43db,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,176.19,182.916,0.0,0.0,0.0,0.0,1.0,SoundStimuli/PartyRockAnthem_LMFAO_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,158648,1,2024-06-17_10h56.24.215,experiment,2024.1.5,Win32,144.092219,667045947eb812cbdacbf325,66704d231dcf2ec2197b43db,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,182.916,189.676,0.0,1.0,1.0,1.0,1.0,SoundStimuli/PartyRockAnthem_LMFAO_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,158648,1,2024-06-17_10h56.24.215,experiment,2024.1.5,Win32,144.092219,667045947eb812cbdacbf325,66704d231dcf2ec2197b43db,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,189.677,190.816,5.704166667,1.136,0.0,7.0,7.0,2.0,1.0,song_indices/PartyRockAnthem_LMFAO.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,158648,1,2024-06-17_10h56.24.215,experiment,2024.1.5,Win32,144.092219,667045947eb812cbdacbf325,66704d231dcf2ec2197b43db,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,190.818,197.0,0.0,0.0,0.0,0.0,1.0,SoundStimuli/SmellsLikeTeenSpirit_Nirvana_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,158648,1,2024-06-17_10h56.24.215,experiment,2024.1.5,Win32,144.092219,667045947eb812cbdacbf325,66704d231dcf2ec2197b43db,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,197.001,202.747,0.0,1.0,1.0,1.0,1.0,SoundStimuli/SmellsLikeTeenSpirit_Nirvana_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,158648,1,2024-06-17_10h56.24.215,experiment,2024.1.5,Win32,144.092219,667045947eb812cbdacbf325,66704d231dcf2ec2197b43db,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,202.748,203.637,6.283333333,0.886,0.0,8.0,8.0,8.0,1.0,song_indices/SmellsLikeTeenSpirit_Nirvana.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,158648,1,2024-06-17_10h56.24.215,experiment,2024.1.5,Win32,144.092219,667045947eb812cbdacbf325,66704d231dcf2ec2197b43db,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,203.638,209.71,0.0,0.0,0.0,0.0,1.0,SoundStimuli/GimmeShelter_RollingStones_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,158648,1,2024-06-17_10h56.24.215,experiment,2024.1.5,Win32,144.092219,667045947eb812cbdacbf325,66704d231dcf2ec2197b43db,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,209.71,215.901,0.0,1.0,1.0,1.0,1.0,SoundStimuli/GimmeShelter_RollingStones_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,158648,1,2024-06-17_10h56.24.215,experiment,2024.1.5,Win32,144.092219,667045947eb812cbdacbf325,66704d231dcf2ec2197b43db,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,215.901,216.742,5.216666667,0.841,0.0,9.0,9.0,20.0,1.0,song_indices/GimmeShelter_RollingStones.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,158648,1,2024-06-17_10h56.24.215,experiment,2024.1.5,Win32,144.092219,667045947eb812cbdacbf325,66704d231dcf2ec2197b43db,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,216.743,223.308,0.0,0.0,0.0,1.0,1.0,SoundStimuli/GetUrFreakOn_MissyElliot_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,158648,1,2024-06-17_10h56.24.215,experiment,2024.1.5,Win32,144.092219,667045947eb812cbdacbf325,66704d231dcf2ec2197b43db,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,223.309,229.361,0.0,1.0,1.0,0.0,1.0,SoundStimuli/GetUrFreakOn_MissyElliot_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,158648,1,2024-06-17_10h56.24.215,experiment,2024.1.5,Win32,144.092219,667045947eb812cbdacbf325,66704d231dcf2ec2197b43db,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,229.361,234.065,3.466666667,4.702,0.0,10.0,10.0,18.0,1.0,song_indices/GetUrFreakOn_MissyElliot.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,158648,1,2024-06-17_10h56.24.215,experiment,2024.1.5,Win32,144.092219,667045947eb812cbdacbf325,66704d231dcf2ec2197b43db,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,234.067,240.43,0.0,0.0,0.0,0.0,1.0,SoundStimuli/IWillAlwaysLoveYou_WhitneyHouston_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,158648,1,2024-06-17_10h56.24.215,experiment,2024.1.5,Win32,144.092219,667045947eb812cbdacbf325,66704d231dcf2ec2197b43db,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,240.43,246.252,0.0,1.0,1.0,1.0,1.0,SoundStimuli/IWillAlwaysLoveYou_WhitneyHouston_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,158648,1,2024-06-17_10h56.24.215,experiment,2024.1.5,Win32,144.092219,667045947eb812cbdacbf325,66704d231dcf2ec2197b43db,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,246.253,251.916,6.454166667,5.66,0.0,11.0,11.0,10.0,1.0,song_indices/IWillAlwaysLoveYou_WhitneyHouston.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
