welcome.started,welcome.stopped,space_to_continue.keys,space_to_continue.rt,space_to_continue.duration,participant,session,date,expName,psychopyVersion,OS,frameRate,STUDY_ID,SESSION_ID,consent.consent,consent.consent_recontact,consent_check.started,consent_check.stopped,calibration_ready.started,calibration_ready.stopped,cal_ready.keys,cal_ready.rt,cal_ready.duration,calibration.started,calibration.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,move_on.keys,move_on.rt,move_on.duration,instructions.started,instructions.stopped,next.keys,next.rt,next.duration,practice_trial.started,practice_trial.stopped,practice_slider.response,practice_slider.rt,ready.started,ready.stopped,key_resp.keys,key_resp.rt,key_resp.duration,play_sound.started,play_sound.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,orig_or_cover,rating.started,rating.stopped,slider.response,slider.rt,songs.thisRepN,songs.thisTrialN,songs.thisN,songs.thisIndex,songs.ran,song_id,short_break.started,short_break.stopped,space_to_move_on.keys,space_to_move_on.rt,space_to_move_on.duration,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,block,survey.age,survey.musician,survey.music_making,survey.listen_time,survey.medium,survey.music_seeking,survey.music_choice,survey.activities,survey.question1.Metal,survey.question1.A cappella,survey.question1.Electronic (EDM),survey.question1.Classical,survey.question1.Reggae,survey.question1.Hip hop,survey.question1.Folk/indie,survey.question1.Pop,survey.question1.Country,survey.question1.Disco,survey.question1.Jazz,survey.question1.Alternative rock,survey.question1.Latin,survey.question1.R&B,survey.question1.Classic rock,survey.question1.Ambient,survey.other_genres,survey.genres_ranked.text1,survey.genres_ranked.text2,survey.genres_ranked.text3,survey.habit_change,survey.habits,experiment.thisRepN,experiment.thisTrialN,experiment.thisN,experiment.thisIndex,experiment.ran,goodbye.started,goodbye.stopped
,,,,,991830,1,2024-06-17_07h39.21.921,experiment,2024.1.5,MacIntel,60.24096386,667045947eb812cbdacbf325,66704a68f5ca71c26122881e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,339.1954,345.2786,0.0,0.0,0.0,0.0,1.0,SoundStimuli/Weak_SWV_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,991830,1,2024-06-17_07h39.21.921,experiment,2024.1.5,MacIntel,60.24096386,667045947eb812cbdacbf325,66704a68f5ca71c26122881e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,345.2903,351.762,0.0,1.0,1.0,1.0,1.0,SoundStimuli/Weak_SWV_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,991830,1,2024-06-17_07h39.21.921,experiment,2024.1.5,MacIntel,60.24096386,667045947eb812cbdacbf325,66704a68f5ca71c26122881e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,351.7622,354.4115,2.538776042,2.6315,0.0,6.0,6.0,6.0,1.0,song_indices/Weak_SWV.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,991830,1,2024-06-17_07h39.21.921,experiment,2024.1.5,MacIntel,60.24096386,667045947eb812cbdacbf325,66704a68f5ca71c26122881e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,354.4122,360.2946,0.0,0.0,0.0,0.0,1.0,SoundStimuli/Irreplaceable_Beyonce_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,991830,1,2024-06-17_07h39.21.921,experiment,2024.1.5,MacIntel,60.24096386,667045947eb812cbdacbf325,66704a68f5ca71c26122881e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,360.3058,366.2112,0.0,1.0,1.0,1.0,1.0,SoundStimuli/Irreplaceable_Beyonce_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,991830,1,2024-06-17_07h39.21.921,experiment,2024.1.5,MacIntel,60.24096386,667045947eb812cbdacbf325,66704a68f5ca71c26122881e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,366.2117,369.4118,4.009453125,3.1871,0.0,7.0,7.0,19.0,1.0,song_indices/Irreplaceable_Beyonce.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,991830,1,2024-06-17_07h39.21.921,experiment,2024.1.5,MacIntel,60.24096386,667045947eb812cbdacbf325,66704a68f5ca71c26122881e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,369.4127,375.8623,0.0,0.0,0.0,1.0,1.0,SoundStimuli/YouLightUpMyLife_DebbyBoone_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,991830,1,2024-06-17_07h39.21.921,experiment,2024.1.5,MacIntel,60.24096386,667045947eb812cbdacbf325,66704a68f5ca71c26122881e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,375.874,381.9451,0.0,1.0,1.0,0.0,1.0,SoundStimuli/YouLightUpMyLife_DebbyBoone_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,991830,1,2024-06-17_07h39.21.921,experiment,2024.1.5,MacIntel,60.24096386,667045947eb812cbdacbf325,66704a68f5ca71c26122881e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,381.9454,387.3122,6.034817708,5.3509,0.0,8.0,8.0,4.0,1.0,song_indices/YouLightUpMyLife_DebbyBoone.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,991830,1,2024-06-17_07h39.21.921,experiment,2024.1.5,MacIntel,60.24096386,667045947eb812cbdacbf325,66704a68f5ca71c26122881e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,387.3128,393.2127,0.0,0.0,0.0,1.0,1.0,SoundStimuli/SaveYourTears_TheWeekndArianaGrande_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,991830,1,2024-06-17_07h39.21.921,experiment,2024.1.5,MacIntel,60.24096386,667045947eb812cbdacbf325,66704a68f5ca71c26122881e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,393.2248,399.4118,0.0,1.0,1.0,0.0,1.0,SoundStimuli/SaveYourTears_TheWeekndArianaGrande_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,991830,1,2024-06-17_07h39.21.921,experiment,2024.1.5,MacIntel,60.24096386,667045947eb812cbdacbf325,66704a68f5ca71c26122881e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,399.4122,404.4948,4.997890625,5.0661,0.0,9.0,9.0,12.0,1.0,song_indices/SaveYourTears_TheWeekndArianaGrande.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,991830,1,2024-06-17_07h39.21.921,experiment,2024.1.5,MacIntel,60.24096386,667045947eb812cbdacbf325,66704a68f5ca71c26122881e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,404.4955,411.2455,0.0,0.0,0.0,0.0,1.0,SoundStimuli/BlurredLines_RobinThicke_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,991830,1,2024-06-17_07h39.21.921,experiment,2024.1.5,MacIntel,60.24096386,667045947eb812cbdacbf325,66704a68f5ca71c26122881e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,411.2573,418.3465,0.0,1.0,1.0,1.0,1.0,SoundStimuli/BlurredLines_RobinThicke_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,991830,1,2024-06-17_07h39.21.921,experiment,2024.1.5,MacIntel,60.24096386,667045947eb812cbdacbf325,66704a68f5ca71c26122881e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,418.347,420.8297,5.997421875,2.4583,0.0,10.0,10.0,9.0,1.0,song_indices/BlurredLines_RobinThicke.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,991830,1,2024-06-17_07h39.21.921,experiment,2024.1.5,MacIntel,60.24096386,667045947eb812cbdacbf325,66704a68f5ca71c26122881e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,420.8305,428.2634,0.0,0.0,0.0,0.0,1.0,SoundStimuli/Kiss_Prince_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,991830,1,2024-06-17_07h39.21.921,experiment,2024.1.5,MacIntel,60.24096386,667045947eb812cbdacbf325,66704a68f5ca71c26122881e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,428.2753,434.5458,0.0,1.0,1.0,1.0,1.0,SoundStimuli/Kiss_Prince_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,991830,1,2024-06-17_07h39.21.921,experiment,2024.1.5,MacIntel,60.24096386,667045947eb812cbdacbf325,66704a68f5ca71c26122881e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,434.5462,440.1654,3.997942708,5.5988,0.0,11.0,11.0,14.0,1.0,song_indices/Kiss_Prince.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,991830,1,2024-06-17_07h39.21.921,experiment,2024.1.5,MacIntel,60.24096386,667045947eb812cbdacbf325,66704a68f5ca71c26122881e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,440.1661,446.9638,0.0,0.0,0.0,1.0,1.0,SoundStimuli/SomebodyThatIUsedtoKnow_Gotye_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,991830,1,2024-06-17_07h39.21.921,experiment,2024.1.5,MacIntel,60.24096386,667045947eb812cbdacbf325,66704a68f5ca71c26122881e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,446.9737,454.1971,0.0,1.0,1.0,0.0,1.0,SoundStimuli/SomebodyThatIUsedtoKnow_Gotye_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,991830,1,2024-06-17_07h39.21.921,experiment,2024.1.5,MacIntel,60.24096386,667045947eb812cbdacbf325,66704a68f5ca71c26122881e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,454.1973,456.9136,5.633880208,2.7039,0.0,12.0,12.0,7.0,1.0,song_indices/SomebodyThatIUsedtoKnow_Gotye.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,991830,1,2024-06-17_07h39.21.921,experiment,2024.1.5,MacIntel,60.24096386,667045947eb812cbdacbf325,66704a68f5ca71c26122881e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,456.9143,463.214,0.0,0.0,0.0,0.0,1.0,SoundStimuli/LetsGetItOn_MarvinGaye_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,991830,1,2024-06-17_07h39.21.921,experiment,2024.1.5,MacIntel,60.24096386,667045947eb812cbdacbf325,66704a68f5ca71c26122881e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,463.2252,469.8643,0.0,1.0,1.0,1.0,1.0,SoundStimuli/LetsGetItOn_MarvinGaye_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,991830,1,2024-06-17_07h39.21.921,experiment,2024.1.5,MacIntel,60.24096386,667045947eb812cbdacbf325,66704a68f5ca71c26122881e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,469.8645,476.0039,5.447395833,6.1212,0.0,13.0,13.0,20.0,1.0,song_indices/LetsGetItOn_MarvinGaye.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,991830,1,2024-06-17_07h39.21.921,experiment,2024.1.5,MacIntel,60.24096386,667045947eb812cbdacbf325,66704a68f5ca71c26122881e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,476.0045,482.1644,0.0,0.0,0.0,0.0,1.0,SoundStimuli/TheSign_AceOfBase_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,991830,1,2024-06-17_07h39.21.921,experiment,2024.1.5,MacIntel,60.24096386,667045947eb812cbdacbf325,66704a68f5ca71c26122881e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,482.1779,488.181,0.0,1.0,1.0,1.0,1.0,SoundStimuli/TheSign_AceOfBase_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,991830,1,2024-06-17_07h39.21.921,experiment,2024.1.5,MacIntel,60.24096386,667045947eb812cbdacbf325,66704a68f5ca71c26122881e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,488.1813,492.7637,4.987864583,4.5708,0.0,14.0,14.0,5.0,1.0,song_indices/TheSign_AceOfBase.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
