welcome.started,welcome.stopped,space_to_continue.keys,space_to_continue.rt,space_to_continue.duration,participant,session,date,expName,psychopyVersion,OS,frameRate,PROLIFIC_PID,STUDY_ID,SESSION_ID,consent.consent,consent.consent_recontact,consent_check.started,consent_check.stopped,calibration_ready.started,calibration_ready.stopped,cal_ready.keys,cal_ready.rt,cal_ready.duration,calibration.started,calibration.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,move_on.keys,move_on.rt,move_on.duration,instructions.started,instructions.stopped,next.keys,next.rt,next.duration,practice_trial.started,practice_trial.stopped,practice_slider.response,practice_slider.rt,ready.started,ready.stopped,key_resp.keys,key_resp.rt,key_resp.duration,play_sound.started,play_sound.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,orig_or_cover,rating.started,rating.stopped,slider.response,slider.rt,songs.thisRepN,songs.thisTrialN,songs.thisN,songs.thisIndex,songs.ran,song_id,short_break.started,short_break.stopped,space_to_move_on.keys,space_to_move_on.rt,space_to_move_on.duration,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,block,survey.age,survey.musician,survey.music_making,survey.listen_time,survey.medium,survey.music_seeking,survey.music_choice,survey.activities,survey.question1.Metal,survey.question1.Classical,survey.question1.Jazz,survey.question1.A cappella,survey.question1.Hip hop,survey.question1.Disco,survey.question1.Folk/indie,survey.question1.Reggae,survey.question1.Latin,survey.question1.Alternative rock,survey.question1.R&B,survey.question1.Ambient,survey.question1.Classic rock,survey.question1.Electronic (EDM),survey.question1.Country,survey.question1.Pop,survey.other_genres,survey.genres_ranked.text1,survey.genres_ranked.text2,survey.genres_ranked.text3,survey.habit_change,survey.habits,experiment.thisRepN,experiment.thisTrialN,experiment.thisN,experiment.thisIndex,experiment.ran,goodbye.started,goodbye.stopped
,,,,,767355,001,2024-06-17_10h39.07.060,experiment,2024.1.5,MacIntel,59.88023952,5680253fc5767f00121cc5e2,667045947eb812cbdacbf325,6670498016d44c7364b51ebb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,355.8249,372.1578,3.673913043,16.3113,0,5,5,6,1,song_indices/Weak_SWV.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,767355,001,2024-06-17_10h39.07.060,experiment,2024.1.5,MacIntel,59.88023952,5680253fc5767f00121cc5e2,667045947eb812cbdacbf325,6670498016d44c7364b51ebb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,372.1594,379.1578,0,0,0,1,1,SoundStimuli/Dilemma_NellyKellyRowland_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,767355,001,2024-06-17_10h39.07.060,experiment,2024.1.5,MacIntel,59.88023952,5680253fc5767f00121cc5e2,667045947eb812cbdacbf325,6670498016d44c7364b51ebb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,379.1685,385.3572,0,1,1,0,1,SoundStimuli/Dilemma_NellyKellyRowland_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,767355,001,2024-06-17_10h39.07.060,experiment,2024.1.5,MacIntel,59.88023952,5680253fc5767f00121cc5e2,667045947eb812cbdacbf325,6670498016d44c7364b51ebb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,385.3576,389.1074,5.985640285,3.7361,0,6,6,2,1,song_indices/Dilemma_NellyKellyRowland.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,767355,001,2024-06-17_10h39.07.060,experiment,2024.1.5,MacIntel,59.88023952,5680253fc5767f00121cc5e2,667045947eb812cbdacbf325,6670498016d44c7364b51ebb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,389.1089,395.2741,0,0,0,0,1,SoundStimuli/TheSign_AceOfBase_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,767355,001,2024-06-17_10h39.07.060,experiment,2024.1.5,MacIntel,59.88023952,5680253fc5767f00121cc5e2,667045947eb812cbdacbf325,6670498016d44c7364b51ebb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,395.2841,401.2908,0,1,1,1,1,SoundStimuli/TheSign_AceOfBase_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,767355,001,2024-06-17_10h39.07.060,experiment,2024.1.5,MacIntel,59.88023952,5680253fc5767f00121cc5e2,667045947eb812cbdacbf325,6670498016d44c7364b51ebb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,401.2911,402.0574,4.988170856,0.7457,0,7,7,5,1,song_indices/TheSign_AceOfBase.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,767355,001,2024-06-17_10h39.07.060,experiment,2024.1.5,MacIntel,59.88023952,5680253fc5767f00121cc5e2,667045947eb812cbdacbf325,6670498016d44c7364b51ebb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,402.059,409.5905,0,0,0,1,1,SoundStimuli/TikTok_Kesha_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,767355,001,2024-06-17_10h39.07.060,experiment,2024.1.5,MacIntel,59.88023952,5680253fc5767f00121cc5e2,667045947eb812cbdacbf325,6670498016d44c7364b51ebb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,409.6011,415.8071,0,1,1,0,1,SoundStimuli/TikTok_Kesha_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,767355,001,2024-06-17_10h39.07.060,experiment,2024.1.5,MacIntel,59.88023952,5680253fc5767f00121cc5e2,667045947eb812cbdacbf325,6670498016d44c7364b51ebb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,415.8073,417.3728,4.976757813,1.5451,0,8,8,3,1,song_indices/TikTok_Kesha.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
