welcome.started,welcome.stopped,space_to_continue.keys,space_to_continue.rt,space_to_continue.duration,participant,session,date,expName,psychopyVersion,OS,frameRate,PROLIFIC_PID,STUDY_ID,SESSION_ID,consent.consent,consent.consent_recontact,consent_check.started,consent_check.stopped,calibration_ready.started,calibration_ready.stopped,cal_ready.keys,cal_ready.rt,cal_ready.duration,calibration.started,calibration.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,move_on.keys,move_on.rt,move_on.duration,instructions.started,instructions.stopped,next.keys,next.rt,next.duration,practice_trial.started,practice_trial.stopped,practice_slider.response,practice_slider.rt,ready.started,ready.stopped,key_resp.keys,key_resp.rt,key_resp.duration,play_sound.started,play_sound.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,orig_or_cover,rating.started,rating.stopped,slider.response,slider.rt,songs.thisRepN,songs.thisTrialN,songs.thisN,songs.thisIndex,songs.ran,song_id,short_break.started,short_break.stopped,space_to_move_on.keys,space_to_move_on.rt,space_to_move_on.duration,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,block,survey.age,survey.musician,survey.music_making,survey.listen_time,survey.medium,survey.music_seeking,survey.music_choice,survey.activities,survey.habit_change,survey.habits,experiment.thisRepN,experiment.thisTrialN,experiment.thisN,experiment.thisIndex,experiment.ran,goodbye.started,goodbye.stopped
,,,,,489937,001,2024-06-17_07h58.21.015,experiment,2024.1.5,Linux x86_64,60.0132029,5c90094e71f3100016181ea9,667045947eb812cbdacbf325,66704e9ee025da8cead1b81f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,623.1988,626.0154,2.078168154,2.7742,0,6,6,17,1,song_indices/AChangeIsGonnaCome_SamCooke.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,489937,001,2024-06-17_07h58.21.015,experiment,2024.1.5,Linux x86_64,60.0132029,5c90094e71f3100016181ea9,667045947eb812cbdacbf325,66704e9ee025da8cead1b81f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,626.0199,634.8801,0,0,0,0,1,SoundStimuli/Perfect_EdSheeran_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,489937,001,2024-06-17_07h58.21.015,experiment,2024.1.5,Linux x86_64,60.0132029,5c90094e71f3100016181ea9,667045947eb812cbdacbf325,66704e9ee025da8cead1b81f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,634.9018,643.1618,0,1,1,1,1,SoundStimuli/Perfect_EdSheeran_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,489937,001,2024-06-17_07h58.21.015,experiment,2024.1.5,Linux x86_64,60.0132029,5c90094e71f3100016181ea9,667045947eb812cbdacbf325,66704e9ee025da8cead1b81f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,643.1622,645.6963,6.003162384,2.4893,0,7,7,0,1,song_indices/Perfect_EdSheeran.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,489937,001,2024-06-17_07h58.21.015,experiment,2024.1.5,Linux x86_64,60.0132029,5c90094e71f3100016181ea9,667045947eb812cbdacbf325,66704e9ee025da8cead1b81f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,645.6992,653.2092,0,0,0,1,1,SoundStimuli/EndlessLove_DianaRossLionelRichie_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,489937,001,2024-06-17_07h58.21.015,experiment,2024.1.5,Linux x86_64,60.0132029,5c90094e71f3100016181ea9,667045947eb812cbdacbf325,66704e9ee025da8cead1b81f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,653.2302,659.5746,0,1,1,0,1,SoundStimuli/EndlessLove_DianaRossLionelRichie_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,489937,001,2024-06-17_07h58.21.015,experiment,2024.1.5,Linux x86_64,60.0132029,5c90094e71f3100016181ea9,667045947eb812cbdacbf325,66704e9ee025da8cead1b81f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,659.575,662.4241,4.968495846,2.8256,0,8,8,3,1,song_indices/EndlessLove_DianaRossLionelRichie.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,489937,001,2024-06-17_07h58.21.015,experiment,2024.1.5,Linux x86_64,60.0132029,5c90094e71f3100016181ea9,667045947eb812cbdacbf325,66704e9ee025da8cead1b81f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,662.4279,668.2731,0,0,0,1,1,SoundStimuli/StayinAlive_BeeGees_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,489937,001,2024-06-17_07h58.21.015,experiment,2024.1.5,Linux x86_64,60.0132029,5c90094e71f3100016181ea9,667045947eb812cbdacbf325,66704e9ee025da8cead1b81f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,668.2947,674.3218,0,1,1,0,1,SoundStimuli/StayinAlive_BeeGees_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,489937,001,2024-06-17_07h58.21.015,experiment,2024.1.5,Linux x86_64,60.0132029,5c90094e71f3100016181ea9,667045947eb812cbdacbf325,66704e9ee025da8cead1b81f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,674.3222,675.8077,5.034654617,1.462,0,9,9,2,1,song_indices/StayinAlive_BeeGees.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,489937,001,2024-06-17_07h58.21.015,experiment,2024.1.5,Linux x86_64,60.0132029,5c90094e71f3100016181ea9,667045947eb812cbdacbf325,66704e9ee025da8cead1b81f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,675.8123,681.9203,0,0,0,0,1,SoundStimuli/HeatWaves_GlassAnimals_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
