welcome.started,welcome.stopped,space_to_continue.keys,space_to_continue.rt,space_to_continue.duration,participant,session,date,expName,psychopyVersion,OS,frameRate,PROLIFIC_PID,STUDY_ID,SESSION_ID,consent.consent,consent.consent_recontact,consent_check.started,consent_check.stopped,calibration_ready.started,calibration_ready.stopped,cal_ready.keys,cal_ready.rt,cal_ready.duration,calibration.started,calibration.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,move_on.keys,move_on.rt,move_on.duration,instructions.started,instructions.stopped,next.keys,next.rt,next.duration,practice_trial.started,practice_trial.stopped,practice_slider.response,practice_slider.rt,ready.started,ready.stopped,key_resp.keys,key_resp.rt,key_resp.duration,play_sound.started,play_sound.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,orig_or_cover,rating.started,rating.stopped,slider.response,slider.rt,songs.thisRepN,songs.thisTrialN,songs.thisN,songs.thisIndex,songs.ran,song_id,short_break.started,short_break.stopped,space_to_move_on.keys,space_to_move_on.rt,space_to_move_on.duration,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,block,survey.age,survey.musician,survey.music_making,survey.listen_time,survey.medium,survey.music_seeking,survey.music_choice,survey.activities,survey.question1.Electronic (EDM),survey.question1.Classical,survey.question1.Ambient,survey.question1.Alternative rock,survey.question1.Country,survey.question1.Reggae,survey.question1.A cappella,survey.question1.Latin,survey.question1.Hip hop,survey.question1.Disco,survey.question1.Classic rock,survey.question1.Folk/indie,survey.question1.Jazz,survey.question1.Pop,survey.question1.R&B,survey.question1.Metal,survey.other_genres,survey.genres_ranked.text1,survey.genres_ranked.text2,survey.genres_ranked.text3,survey.habit_change,survey.habits,experiment.thisRepN,experiment.thisTrialN,experiment.thisN,experiment.thisIndex,experiment.ran,goodbye.started,goodbye.stopped
,,,,,391788,001,2024-06-17_10h54.55.895,experiment,2024.1.5,MacIntel,57.14285714,65f89b593eed885831f28113,667045947eb812cbdacbf325,66704d7d4f0346860a6b0248,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,161.2979,163.6481,2.877176565,2.3387,0,5,5,20,1,song_indices/LetsGetItOn_MarvinGaye.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,391788,001,2024-06-17_10h54.55.895,experiment,2024.1.5,MacIntel,57.14285714,65f89b593eed885831f28113,667045947eb812cbdacbf325,66704d7d4f0346860a6b0248,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,163.6491,170.1489,0,0,0,0,1,SoundStimuli/Dreams_FleetwoodMac_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,391788,001,2024-06-17_10h54.55.895,experiment,2024.1.5,MacIntel,57.14285714,65f89b593eed885831f28113,667045947eb812cbdacbf325,66704d7d4f0346860a6b0248,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,170.1587,177.9808,0,1,1,1,1,SoundStimuli/Dreams_FleetwoodMac_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,391788,001,2024-06-17_10h54.55.895,experiment,2024.1.5,MacIntel,57.14285714,65f89b593eed885831f28113,667045947eb812cbdacbf325,66704d7d4f0346860a6b0248,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,177.9811,180.649,1.967845727,2.6529,0,6,6,1,1,song_indices/Dreams_FleetwoodMac.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,391788,001,2024-06-17_10h54.55.895,experiment,2024.1.5,MacIntel,57.14285714,65f89b593eed885831f28113,667045947eb812cbdacbf325,66704d7d4f0346860a6b0248,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,180.6498,186.1651,0,0,0,1,1,SoundStimuli/LeFreak_Chic_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,391788,001,2024-06-17_10h54.55.895,experiment,2024.1.5,MacIntel,57.14285714,65f89b593eed885831f28113,667045947eb812cbdacbf325,66704d7d4f0346860a6b0248,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,186.1743,192.1981,0,1,1,0,1,SoundStimuli/LeFreak_Chic_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,391788,001,2024-06-17_10h54.55.895,experiment,2024.1.5,MacIntel,57.14285714,65f89b593eed885831f28113,667045947eb812cbdacbf325,66704d7d4f0346860a6b0248,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,192.1982,193.6488,5.037779694,1.4293,0,7,7,11,1,song_indices/LeFreak_Chic.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,391788,001,2024-06-17_10h54.55.895,experiment,2024.1.5,MacIntel,57.14285714,65f89b593eed885831f28113,667045947eb812cbdacbf325,66704d7d4f0346860a6b0248,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,193.6503,200.0987,0,0,0,1,1,SoundStimuli/YouLightUpMyLife_DebbyBoone_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,391788,001,2024-06-17_10h54.55.895,experiment,2024.1.5,MacIntel,57.14285714,65f89b593eed885831f28113,667045947eb812cbdacbf325,66704d7d4f0346860a6b0248,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200.1075,206.1805,0,1,1,0,1,SoundStimuli/YouLightUpMyLife_DebbyBoone_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,391788,001,2024-06-17_10h54.55.895,experiment,2024.1.5,MacIntel,57.14285714,65f89b593eed885831f28113,667045947eb812cbdacbf325,66704d7d4f0346860a6b0248,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,206.1808,207.5977,6.979748486,1.4065,0,8,8,4,1,song_indices/YouLightUpMyLife_DebbyBoone.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
