welcome.started,welcome.stopped,space_to_continue.keys,space_to_continue.rt,space_to_continue.duration,participant,session,date,expName,psychopyVersion,OS,frameRate,PROLIFIC_PID,STUDY_ID,SESSION_ID,consent.consent,consent.consent_recontact,consent_check.started,consent_check.stopped,calibration_ready.started,calibration_ready.stopped,cal_ready.keys,cal_ready.rt,cal_ready.duration,calibration.started,calibration.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,move_on.keys,move_on.rt,move_on.duration,instructions.started,instructions.stopped,next.keys,next.rt,next.duration,practice_trial.started,practice_trial.stopped,practice_slider.response,practice_slider.rt,ready.started,ready.stopped,key_resp.keys,key_resp.rt,key_resp.duration,play_sound.started,play_sound.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,orig_or_cover,rating.started,rating.stopped,slider.response,slider.rt,songs.thisRepN,songs.thisTrialN,songs.thisN,songs.thisIndex,songs.ran,song_id,short_break.started,short_break.stopped,space_to_move_on.keys,space_to_move_on.rt,space_to_move_on.duration,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,block,survey.age,survey.musician,survey.music_making,survey.listen_time,survey.medium,survey.music_seeking,survey.music_choice,survey.activities,survey.question1.Classical,survey.question1.A cappella,survey.question1.Hip hop,survey.question1.Ambient,survey.question1.Folk/indie,survey.question1.Latin,survey.question1.Jazz,survey.question1.Alternative rock,survey.question1.R&B,survey.question1.Pop,survey.question1.Metal,survey.question1.Reggae,survey.question1.Country,survey.question1.Classic rock,survey.question1.Electronic (EDM),survey.question1.Disco,survey.other_genres,survey.genres_ranked.text1,survey.genres_ranked.text2,survey.genres_ranked.text3,survey.habit_change,survey.habits,experiment.thisRepN,experiment.thisTrialN,experiment.thisN,experiment.thisIndex,experiment.ran,goodbye.started,goodbye.stopped
,,,,,080524,001,2024-06-17_10h56.21.035,experiment,2024.1.5,Win32,60.60606061,60ace56a83e45642b22d9954,667045947eb812cbdacbf325,66704e6c469d3e80ce7985d0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,153.5079,238.6138,4.981325111,85.0761,0,5,5,2,1,song_indices/PartyRockAnthem_LMFAO.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,080524,001,2024-06-17_10h56.21.035,experiment,2024.1.5,Win32,60.60606061,60ace56a83e45642b22d9954,667045947eb812cbdacbf325,66704e6c469d3e80ce7985d0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,238.6154,245.1516,0,0,0,0,1,SoundStimuli/CrazyInLove_BeyonceFtJayZ_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,080524,001,2024-06-17_10h56.21.035,experiment,2024.1.5,Win32,60.60606061,60ace56a83e45642b22d9954,667045947eb812cbdacbf325,66704e6c469d3e80ce7985d0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,245.1609,255.4083,0,1,1,1,1,SoundStimuli/CrazyInLove_BeyonceFtJayZ_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,080524,001,2024-06-17_10h56.21.035,experiment,2024.1.5,Win32,60.60606061,60ace56a83e45642b22d9954,667045947eb812cbdacbf325,66704e6c469d3e80ce7985d0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,255.4083,256.7763,4.994703698,1.3485,0,6,6,3,1,song_indices/CrazyInLove_BeyonceFtJayZ.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,080524,001,2024-06-17_10h56.21.035,experiment,2024.1.5,Win32,60.60606061,60ace56a83e45642b22d9954,667045947eb812cbdacbf325,66704e6c469d3e80ce7985d0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,256.7779,263.1144,0,0,0,1,1,SoundStimuli/Stronger_KanyeWest_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,080524,001,2024-06-17_10h56.21.035,experiment,2024.1.5,Win32,60.60606061,60ace56a83e45642b22d9954,667045947eb812cbdacbf325,66704e6c469d3e80ce7985d0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,263.1336,269.2011,0,1,1,0,1,SoundStimuli/Stronger_KanyeWest_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,080524,001,2024-06-17_10h56.21.035,experiment,2024.1.5,Win32,60.60606061,60ace56a83e45642b22d9954,667045947eb812cbdacbf325,66704e6c469d3e80ce7985d0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,269.2012,272.9703,4.024759329,3.7513,0,7,7,9,1,song_indices/Stronger_KanyeWest.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,080524,001,2024-06-17_10h56.21.035,experiment,2024.1.5,Win32,60.60606061,60ace56a83e45642b22d9954,667045947eb812cbdacbf325,66704e6c469d3e80ce7985d0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,272.972,279.0751,0,0,0,0,1,SoundStimuli/GimmeShelter_RollingStones_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,080524,001,2024-06-17_10h56.21.035,experiment,2024.1.5,Win32,60.60606061,60ace56a83e45642b22d9954,667045947eb812cbdacbf325,66704e6c469d3e80ce7985d0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,279.0983,285.3119,0,1,1,1,1,SoundStimuli/GimmeShelter_RollingStones_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,080524,001,2024-06-17_10h56.21.035,experiment,2024.1.5,Win32,60.60606061,60ace56a83e45642b22d9954,667045947eb812cbdacbf325,66704e6c469d3e80ce7985d0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,285.312,286.6795,3.014679203,1.3554,0,8,8,20,1,song_indices/GimmeShelter_RollingStones.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,080524,001,2024-06-17_10h56.21.035,experiment,2024.1.5,Win32,60.60606061,60ace56a83e45642b22d9954,667045947eb812cbdacbf325,66704e6c469d3e80ce7985d0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,286.6811,292.7673,0,0,0,0,1,SoundStimuli/GetUrFreakOn_MissyElliot_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,080524,001,2024-06-17_10h56.21.035,experiment,2024.1.5,Win32,60.60606061,60ace56a83e45642b22d9954,667045947eb812cbdacbf325,66704e6c469d3e80ce7985d0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,292.7763,299.3549,0,1,1,1,1,SoundStimuli/GetUrFreakOn_MissyElliot_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,080524,001,2024-06-17_10h56.21.035,experiment,2024.1.5,Win32,60.60606061,60ace56a83e45642b22d9954,667045947eb812cbdacbf325,66704e6c469d3e80ce7985d0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,299.3553,301.6392,4.814093337,2.2589,0,9,9,18,1,song_indices/GetUrFreakOn_MissyElliot.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
