welcome.started,welcome.stopped,space_to_continue.keys,space_to_continue.rt,space_to_continue.duration,participant,session,date,expName,psychopyVersion,OS,frameRate,PROLIFIC_PID,STUDY_ID,SESSION_ID,consent.consent,consent.consent_recontact,consent_check.started,consent_check.stopped,calibration_ready.started,calibration_ready.stopped,cal_ready.keys,cal_ready.rt,cal_ready.duration,calibration.started,calibration.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,move_on.keys,move_on.rt,move_on.duration,instructions.started,instructions.stopped,next.keys,next.rt,next.duration,practice_trial.started,practice_trial.stopped,practice_slider.response,practice_slider.rt,ready.started,ready.stopped,key_resp.keys,key_resp.rt,key_resp.duration,play_sound.started,play_sound.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,orig_or_cover,rating.started,rating.stopped,slider.response,slider.rt,songs.thisRepN,songs.thisTrialN,songs.thisN,songs.thisIndex,songs.ran,song_id,short_break.started,short_break.stopped,space_to_move_on.keys,space_to_move_on.rt,space_to_move_on.duration,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,block,survey.age,survey.musician,survey.music_making,survey.listen_time,survey.medium,survey.music_seeking,survey.music_choice,survey.activities,survey.question1.A cappella,survey.question1.Hip hop,survey.question1.Folk/indie,survey.question1.Disco,survey.question1.Jazz,survey.question1.Classical,survey.question1.Latin,survey.question1.Metal,survey.question1.Classic rock,survey.question1.Electronic (EDM),survey.question1.R&B,survey.question1.Pop,survey.question1.Alternative rock,survey.question1.Ambient,survey.question1.Country,survey.question1.Reggae,survey.other_genres,survey.genres_ranked.text1,survey.genres_ranked.text2,survey.genres_ranked.text3,survey.habit_change,survey.habits,experiment.thisRepN,experiment.thisTrialN,experiment.thisN,experiment.thisIndex,experiment.ran,goodbye.started,goodbye.stopped
,,,,,152039,001,2024-06-17_11h28.19.974,experiment,2024.1.5,Win32,59.52380952,59ea48b7be399f0001e4a178,667045947eb812cbdacbf325,667053e032e73530f7ef4001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,197.391,198.8412,6.005555556,1.4425,0,5,5,6,1,song_indices/IllMakeLoveToYou_BoyzIIMen.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,152039,001,2024-06-17_11h28.19.974,experiment,2024.1.5,Win32,59.52380952,59ea48b7be399f0001e4a178,667045947eb812cbdacbf325,667053e032e73530f7ef4001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,198.8419,204.8743,0,0,0,0,1,SoundStimuli/StayinAlive_BeeGees_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,152039,001,2024-06-17_11h28.19.974,experiment,2024.1.5,Win32,59.52380952,59ea48b7be399f0001e4a178,667045947eb812cbdacbf325,667053e032e73530f7ef4001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,204.8804,210.7242,0,1,1,1,1,SoundStimuli/StayinAlive_BeeGees_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,152039,001,2024-06-17_11h28.19.974,experiment,2024.1.5,Win32,59.52380952,59ea48b7be399f0001e4a178,667045947eb812cbdacbf325,667053e032e73530f7ef4001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,210.7244,212.1411,6.522222222,1.4034,0,6,6,2,1,song_indices/StayinAlive_BeeGees.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,152039,001,2024-06-17_11h28.19.974,experiment,2024.1.5,Win32,59.52380952,59ea48b7be399f0001e4a178,667045947eb812cbdacbf325,667053e032e73530f7ef4001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,212.1429,216.8744,0,0,0,1,1,SoundStimuli/AChangeIsGonnaCome_SamCooke_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,152039,001,2024-06-17_11h28.19.974,experiment,2024.1.5,Win32,59.52380952,59ea48b7be399f0001e4a178,667045947eb812cbdacbf325,667053e032e73530f7ef4001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,216.8808,222.9074,0,1,1,0,1,SoundStimuli/AChangeIsGonnaCome_SamCooke_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,152039,001,2024-06-17_11h28.19.974,experiment,2024.1.5,Win32,59.52380952,59ea48b7be399f0001e4a178,667045947eb812cbdacbf325,667053e032e73530f7ef4001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,222.9075,223.7572,5.033333333,0.8294,0,7,7,17,1,song_indices/AChangeIsGonnaCome_SamCooke.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,152039,001,2024-06-17_11h28.19.974,experiment,2024.1.5,Win32,59.52380952,59ea48b7be399f0001e4a178,667045947eb812cbdacbf325,667053e032e73530f7ef4001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,223.7581,230.6241,0,0,0,1,1,SoundStimuli/GodOnlyKnows_TheBeachBoys_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,152039,001,2024-06-17_11h28.19.974,experiment,2024.1.5,Win32,59.52380952,59ea48b7be399f0001e4a178,667045947eb812cbdacbf325,667053e032e73530f7ef4001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,230.6302,236.8739,0,1,1,0,1,SoundStimuli/GodOnlyKnows_TheBeachBoys_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,152039,001,2024-06-17_11h28.19.974,experiment,2024.1.5,Win32,59.52380952,59ea48b7be399f0001e4a178,667045947eb812cbdacbf325,667053e032e73530f7ef4001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,236.874,238.5574,4.461111111,1.6721,0,8,8,8,1,song_indices/GodOnlyKnows_TheBeachBoys.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
