welcome.started,welcome.stopped,space_to_continue.keys,space_to_continue.rt,space_to_continue.duration,participant,session,date,expName,psychopyVersion,OS,frameRate,PROLIFIC_PID,STUDY_ID,SESSION_ID,consent.consent,consent.consent_recontact,consent_check.started,consent_check.stopped,calibration_ready.started,calibration_ready.stopped,cal_ready.keys,cal_ready.rt,cal_ready.duration,calibration.started,calibration.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,move_on.keys,move_on.rt,move_on.duration,instructions.started,instructions.stopped,next.keys,next.rt,next.duration,practice_trial.started,practice_trial.stopped,practice_slider.response,practice_slider.rt,ready.started,ready.stopped,key_resp.keys,key_resp.rt,key_resp.duration,play_sound.started,play_sound.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,orig_or_cover,rating.started,rating.stopped,slider.response,slider.rt,songs.thisRepN,songs.thisTrialN,songs.thisN,songs.thisIndex,songs.ran,song_id,short_break.started,short_break.stopped,space_to_move_on.keys,space_to_move_on.rt,space_to_move_on.duration,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,block,survey.age,survey.musician,survey.music_making,survey.listen_time,survey.medium,survey.music_seeking,survey.music_choice,survey.activities,survey.question1.Reggae,survey.question1.A cappella,survey.question1.Pop,survey.question1.Folk/indie,survey.question1.Country,survey.question1.Hip hop,survey.question1.Classic rock,survey.question1.Electronic (EDM),survey.question1.Disco,survey.question1.Ambient,survey.question1.Metal,survey.question1.Classical,survey.question1.Latin,survey.question1.R&B,survey.question1.Jazz,survey.question1.Alternative rock,survey.other_genres,survey.genres_ranked.text1,survey.genres_ranked.text2,survey.genres_ranked.text3,survey.habit_change,survey.habits,experiment.thisRepN,experiment.thisTrialN,experiment.thisN,experiment.thisIndex,experiment.ran,goodbye.started,goodbye.stopped
,,,,,616299,001,2024-06-17_09h40.27.772,experiment,2024.1.5,Win32,60.24096386,62e15dfab54f025985de6b5c,667045947eb812cbdacbf325,66704a7dad60bee6413ece91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363.5186,365.9014,2.938888974,2.3786,0,5,5,1,1,song_indices/BridgeOverTroubledWater_SimonAndGarfunkel.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,616299,001,2024-06-17_09h40.27.772,experiment,2024.1.5,Win32,60.24096386,62e15dfab54f025985de6b5c,667045947eb812cbdacbf325,66704a7dad60bee6413ece91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,365.9024,372.0345,0,0,0,1,1,SoundStimuli/Smooth_SantanaRobThomas_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,616299,001,2024-06-17_09h40.27.772,experiment,2024.1.5,Win32,60.24096386,62e15dfab54f025985de6b5c,667045947eb812cbdacbf325,66704a7dad60bee6413ece91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,372.0349,378.2517,0,1,1,0,1,SoundStimuli/Smooth_SantanaRobThomas_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,616299,001,2024-06-17_09h40.27.772,experiment,2024.1.5,Win32,60.24096386,62e15dfab54f025985de6b5c,667045947eb812cbdacbf325,66704a7dad60bee6413ece91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,378.2518,379.7877,6.038888719,1.5351,0,6,6,4,1,song_indices/Smooth_SantanaRobThomas.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,616299,001,2024-06-17_09h40.27.772,experiment,2024.1.5,Win32,60.24096386,62e15dfab54f025985de6b5c,667045947eb812cbdacbf325,66704a7dad60bee6413ece91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,379.7885,386.1866,0,0,0,0,1,SoundStimuli/MyGirl_TheTemptations_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,616299,001,2024-06-17_09h40.27.772,experiment,2024.1.5,Win32,60.24096386,62e15dfab54f025985de6b5c,667045947eb812cbdacbf325,66704a7dad60bee6413ece91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,386.1869,393.8513,0,1,1,1,1,SoundStimuli/MyGirl_TheTemptations_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,616299,001,2024-06-17_09h40.27.772,experiment,2024.1.5,Win32,60.24096386,62e15dfab54f025985de6b5c,667045947eb812cbdacbf325,66704a7dad60bee6413ece91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,393.8514,397.7013,4.038889143,3.8466,0,7,7,15,1,song_indices/MyGirl_TheTemptations.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,616299,001,2024-06-17_09h40.27.772,experiment,2024.1.5,Win32,60.24096386,62e15dfab54f025985de6b5c,667045947eb812cbdacbf325,66704a7dad60bee6413ece91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,397.7028,404.0012,0,0,0,0,1,SoundStimuli/Mood_24kGoldnianndior_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,616299,001,2024-06-17_09h40.27.772,experiment,2024.1.5,Win32,60.24096386,62e15dfab54f025985de6b5c,667045947eb812cbdacbf325,66704a7dad60bee6413ece91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,404.0016,412.3013,0,1,1,1,1,SoundStimuli/Mood_24kGoldnianndior_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,616299,001,2024-06-17_09h40.27.772,experiment,2024.1.5,Win32,60.24096386,62e15dfab54f025985de6b5c,667045947eb812cbdacbf325,66704a7dad60bee6413ece91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,412.3013,415.1012,2.983333588,2.7977,0,8,8,5,1,song_indices/Mood_24kGoldnianndior.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
