welcome.started,welcome.stopped,space_to_continue.keys,space_to_continue.rt,space_to_continue.duration,participant,session,date,expName,psychopyVersion,OS,frameRate,PROLIFIC_PID,STUDY_ID,SESSION_ID,consent.consent,consent.consent_recontact,consent_check.started,consent_check.stopped,calibration_ready.started,calibration_ready.stopped,cal_ready.keys,cal_ready.rt,cal_ready.duration,calibration.started,calibration.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,move_on.keys,move_on.rt,move_on.duration,instructions.started,instructions.stopped,next.keys,next.rt,next.duration,practice_trial.started,practice_trial.stopped,practice_slider.response,practice_slider.rt,ready.started,ready.stopped,key_resp.keys,key_resp.rt,key_resp.duration,play_sound.started,play_sound.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,orig_or_cover,rating.started,rating.stopped,slider.response,slider.rt,songs.thisRepN,songs.thisTrialN,songs.thisN,songs.thisIndex,songs.ran,song_id,short_break.started,short_break.stopped,space_to_move_on.keys,space_to_move_on.rt,space_to_move_on.duration,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,block,survey.age,survey.musician,survey.listen_time,survey.medium,survey.music_seeking,survey.music_choice,survey.activities,survey.music_making,survey.question1.Country,survey.question1.Classical,survey.question1.Latin,survey.question1.Metal,survey.question1.Ambient,survey.question1.Jazz,survey.question1.Alternative rock,survey.question1.Classic rock,survey.question1.Pop,survey.question1.A cappella,survey.question1.R&B,survey.question1.Folk/indie,survey.question1.Hip hop,survey.question1.Electronic (EDM),survey.question1.Reggae,survey.question1.Disco,survey.other_genres,survey.genres_ranked.text1,survey.genres_ranked.text2,survey.genres_ranked.text3,survey.habit_change,survey.habits,experiment.thisRepN,experiment.thisTrialN,experiment.thisN,experiment.thisIndex,experiment.ran,goodbye.started,goodbye.stopped
,,,,,495172,001,2024-06-14_11h36.29.015,experiment,2024.1.5,MacIntel,60.24096386,663a5c3ef84d9c74ea3c07a1,666b5f73dbba3f0cd916b177,666c71619debcbbdc1816e49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,357.74,360.7403,4.081007866,2.9818,0,8,8,2,1,song_indices/StayinAlive_BeeGees.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,495172,001,2024-06-14_11h36.29.015,experiment,2024.1.5,MacIntel,60.24096386,663a5c3ef84d9c74ea3c07a1,666b5f73dbba3f0cd916b177,666c71619debcbbdc1816e49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,360.7413,369.0238,0,0,0,1,1,SoundStimuli/Mood_24kGoldnianndior_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,495172,001,2024-06-14_11h36.29.015,experiment,2024.1.5,MacIntel,60.24096386,663a5c3ef84d9c74ea3c07a1,666b5f73dbba3f0cd916b177,666c71619debcbbdc1816e49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,369.0384,375.3251,0,1,1,0,1,SoundStimuli/Mood_24kGoldnianndior_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,495172,001,2024-06-14_11h36.29.015,experiment,2024.1.5,MacIntel,60.24096386,663a5c3ef84d9c74ea3c07a1,666b5f73dbba3f0cd916b177,666c71619debcbbdc1816e49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,375.3252,376.5244,4.071364311,1.181,0,9,9,5,1,song_indices/Mood_24kGoldnianndior.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,495172,001,2024-06-14_11h36.29.015,experiment,2024.1.5,MacIntel,60.24096386,663a5c3ef84d9c74ea3c07a1,666b5f73dbba3f0cd916b177,666c71619debcbbdc1816e49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,376.5252,382.6261,0,0,0,0,1,SoundStimuli/HeatWaves_GlassAnimals_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,495172,001,2024-06-14_11h36.29.015,experiment,2024.1.5,MacIntel,60.24096386,663a5c3ef84d9c74ea3c07a1,666b5f73dbba3f0cd916b177,666c71619debcbbdc1816e49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,382.6376,391.2262,0,1,1,1,1,SoundStimuli/HeatWaves_GlassAnimals_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,495172,001,2024-06-14_11h36.29.015,experiment,2024.1.5,MacIntel,60.24096386,663a5c3ef84d9c74ea3c07a1,666b5f73dbba3f0cd916b177,666c71619debcbbdc1816e49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,391.2267,392.9922,5.569648638,1.7427,0,10,10,10,1,song_indices/HeatWaves_GlassAnimals.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,495172,001,2024-06-14_11h36.29.015,experiment,2024.1.5,MacIntel,60.24096386,663a5c3ef84d9c74ea3c07a1,666b5f73dbba3f0cd916b177,666c71619debcbbdc1816e49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,392.9935,399.5757,0,0,0,1,1,SoundStimuli/Despacito_LuisFonsiDaddyYankee_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,495172,001,2024-06-14_11h36.29.015,experiment,2024.1.5,MacIntel,60.24096386,663a5c3ef84d9c74ea3c07a1,666b5f73dbba3f0cd916b177,666c71619debcbbdc1816e49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,399.5872,406.1437,0,1,1,0,1,SoundStimuli/Despacito_LuisFonsiDaddyYankee_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,495172,001,2024-06-14_11h36.29.015,experiment,2024.1.5,MacIntel,60.24096386,663a5c3ef84d9c74ea3c07a1,666b5f73dbba3f0cd916b177,666c71619debcbbdc1816e49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,406.1439,420.5273,4.155097021,14.3659,0,11,11,11,1,song_indices/Despacito_LuisFonsiDaddyYankee.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
