welcome.started,welcome.stopped,space_to_continue.keys,space_to_continue.rt,space_to_continue.duration,participant,session,date,expName,psychopyVersion,OS,frameRate,PROLIFIC_PID,STUDY_ID,SESSION_ID,consent.consent,consent.consent_recontact,consent_check.started,consent_check.stopped,calibration_ready.started,calibration_ready.stopped,cal_ready.keys,cal_ready.rt,cal_ready.duration,calibration.started,calibration.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,move_on.keys,move_on.rt,move_on.duration,instructions.started,instructions.stopped,next.keys,next.rt,next.duration,practice_trial.started,practice_trial.stopped,practice_slider.response,practice_slider.rt,ready.started,ready.stopped,key_resp.keys,key_resp.rt,key_resp.duration,play_sound.started,play_sound.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,orig_or_cover,rating.started,rating.stopped,slider.response,slider.rt,songs.thisRepN,songs.thisTrialN,songs.thisN,songs.thisIndex,songs.ran,song_id,short_break.started,short_break.stopped,space_to_move_on.keys,space_to_move_on.rt,space_to_move_on.duration,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,block,survey.age,survey.musician,survey.music_making,survey.listen_time,survey.medium,survey.music_seeking,survey.music_choice,survey.activities,survey.question1.Jazz,survey.question1.Folk/indie,survey.question1.Hip hop,survey.question1.A cappella,survey.question1.Alternative rock,survey.question1.Ambient,survey.question1.Electronic (EDM),survey.question1.Metal,survey.question1.Pop,survey.question1.Country,survey.question1.Reggae,survey.question1.Classic rock,survey.question1.Classical,survey.question1.R&B,survey.question1.Disco,survey.question1.Latin,survey.other_genres,survey.genres_ranked.text1,survey.genres_ranked.text2,survey.genres_ranked.text3,survey.habit_change,experiment.thisRepN,experiment.thisTrialN,experiment.thisN,experiment.thisIndex,experiment.ran,goodbye.started,goodbye.stopped
,,,,,604662,001,2024-06-14_09h37.36.810,experiment,2024.1.5,Win32,60.97560976,62dc65fdd3bbfeff289f1500,666b5f73dbba3f0cd916b177,666c71674bdd03cbd0f7a5dc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,229.9197,230.4531,1.048754063,0.5199,0,7,7,19,1,song_indices/IWantToHoldYourHand_TheBeatles.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,604662,001,2024-06-14_09h37.36.810,experiment,2024.1.5,Win32,60.97560976,62dc65fdd3bbfeff289f1500,666b5f73dbba3f0cd916b177,666c71674bdd03cbd0f7a5dc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,230.4581,237.1583,0,0,0,1,1,SoundStimuli/BridgeOverTroubledWater_SimonAndGarfunkel_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,604662,001,2024-06-14_09h37.36.810,experiment,2024.1.5,Win32,60.97560976,62dc65fdd3bbfeff289f1500,666b5f73dbba3f0cd916b177,666c71674bdd03cbd0f7a5dc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,237.1688,243.4794,0,1,1,0,1,SoundStimuli/BridgeOverTroubledWater_SimonAndGarfunkel_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,604662,001,2024-06-14_09h37.36.810,experiment,2024.1.5,Win32,60.97560976,62dc65fdd3bbfeff289f1500,666b5f73dbba3f0cd916b177,666c71674bdd03cbd0f7a5dc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,243.4799,244.5304,5.93716143,1.0335,0,8,8,1,1,song_indices/BridgeOverTroubledWater_SimonAndGarfunkel.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,604662,001,2024-06-14_09h37.36.810,experiment,2024.1.5,Win32,60.97560976,62dc65fdd3bbfeff289f1500,666b5f73dbba3f0cd916b177,666c71674bdd03cbd0f7a5dc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,244.5345,250.8017,0,0,0,1,1,SoundStimuli/MackTheKnife_BobbyDarin_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,604662,001,2024-06-14_09h37.36.810,experiment,2024.1.5,Win32,60.97560976,62dc65fdd3bbfeff289f1500,666b5f73dbba3f0cd916b177,666c71674bdd03cbd0f7a5dc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,250.8109,256.9417,0,1,1,0,1,SoundStimuli/MackTheKnife_BobbyDarin_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,604662,001,2024-06-14_09h37.36.810,experiment,2024.1.5,Win32,60.97560976,62dc65fdd3bbfeff289f1500,666b5f73dbba3f0cd916b177,666c71674bdd03cbd0f7a5dc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,256.943,257.7237,3.980498375,0.7651,0,9,9,21,1,song_indices/MackTheKnife_BobbyDarin.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,604662,001,2024-06-14_09h37.36.810,experiment,2024.1.5,Win32,60.97560976,62dc65fdd3bbfeff289f1500,666b5f73dbba3f0cd916b177,666c71674bdd03cbd0f7a5dc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,257.7272,265.2292,0,0,0,1,1,SoundStimuli/BadDay_DanielPowter_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,604662,001,2024-06-14_09h37.36.810,experiment,2024.1.5,Win32,60.97560976,62dc65fdd3bbfeff289f1500,666b5f73dbba3f0cd916b177,666c71674bdd03cbd0f7a5dc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,265.2409,271.6841,0,1,1,0,1,SoundStimuli/BadDay_DanielPowter_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,604662,001,2024-06-14_09h37.36.810,experiment,2024.1.5,Win32,60.97560976,62dc65fdd3bbfeff289f1500,666b5f73dbba3f0cd916b177,666c71674bdd03cbd0f7a5dc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,271.6844,272.7691,6.008667389,1.0651,0,10,10,22,1,song_indices/BadDay_DanielPowter.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
