welcome.started,welcome.stopped,space_to_continue.keys,space_to_continue.rt,space_to_continue.duration,participant,session,date,expName,psychopyVersion,OS,frameRate,PROLIFIC_PID,STUDY_ID,SESSION_ID,consent.consent,consent_check.started,consent_check.stopped,calibration_ready.started,calibration_ready.stopped,cal_ready.keys,cal_ready.rt,cal_ready.duration,calibration.started,calibration.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,move_on.keys,move_on.rt,move_on.duration,instructions.started,instructions.stopped,next.keys,next.rt,next.duration,practice_trial.started,practice_trial.stopped,practice_slider.response,practice_slider.rt,ready.started,ready.stopped,key_resp.keys,key_resp.rt,key_resp.duration,play_sound.started,play_sound.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,orig_or_cover,rating.started,rating.stopped,slider.response,slider.rt,songs.thisRepN,songs.thisTrialN,songs.thisN,songs.thisIndex,songs.ran,song_id,short_break.started,short_break.stopped,space_to_move_on.keys,space_to_move_on.rt,space_to_move_on.duration,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,block,survey.age,survey.musician,survey.music_making,survey.listen_time,survey.medium,survey.music_seeking,survey.music_choice,survey.activities,survey.question1.Classical,survey.question1.Reggae,survey.question1.Alternative rock,survey.question1.Disco,survey.question1.Metal,survey.question1.Latin,survey.question1.Pop,survey.question1.A cappella,survey.question1.Jazz,survey.question1.Folk/indie,survey.question1.Hip hop,survey.question1.Country,survey.question1.Electronic (EDM),survey.question1.Classic rock,survey.question1.R&B,survey.question1.Ambient,survey.genres_ranked.text1,survey.genres_ranked.text2,survey.genres_ranked.text3,survey.habit_change,survey.habits,experiment.thisRepN,experiment.thisTrialN,experiment.thisN,experiment.thisIndex,experiment.ran,goodbye.started,goodbye.stopped
,,,,,969945,001,2024-06-17_09h54.27.305,experiment,2024.1.5,Win32,59.88023952,65abf2d64c8491a1bb904917,667045947eb812cbdacbf325,66704d31324eb1dc5ca970aa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,190.07,196.025,0,1,1,0,1,SoundStimuli/BohemianRhapsody_Queen_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,969945,001,2024-06-17_09h54.27.305,experiment,2024.1.5,Win32,59.88023952,65abf2d64c8491a1bb904917,667045947eb812cbdacbf325,66704d31324eb1dc5ca970aa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,196.0254,197.1043,1.619999949,0.9798,0,7,7,18,1,song_indices/BohemianRhapsody_Queen.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,969945,001,2024-06-17_09h54.27.305,experiment,2024.1.5,Win32,59.88023952,65abf2d64c8491a1bb904917,667045947eb812cbdacbf325,66704d31324eb1dc5ca970aa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,197.1074,205.2337,0,0,0,1,1,SoundStimuli/AnotherOneBitesTheDust_Queen_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,969945,001,2024-06-17_09h54.27.305,experiment,2024.1.5,Win32,59.88023952,65abf2d64c8491a1bb904917,667045947eb812cbdacbf325,66704d31324eb1dc5ca970aa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,205.3122,211.3703,0,1,1,0,1,SoundStimuli/AnotherOneBitesTheDust_Queen_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,969945,001,2024-06-17_09h54.27.305,experiment,2024.1.5,Win32,59.88023952,65abf2d64c8491a1bb904917,667045947eb812cbdacbf325,66704d31324eb1dc5ca970aa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,211.3721,212.322,3.260000102,0.8734,0,8,8,9,1,song_indices/AnotherOneBitesTheDust_Queen.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,969945,001,2024-06-17_09h54.27.305,experiment,2024.1.5,Win32,59.88023952,65abf2d64c8491a1bb904917,667045947eb812cbdacbf325,66704d31324eb1dc5ca970aa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,212.3244,218.7722,0,0,0,0,1,SoundStimuli/BadDay_DanielPowter_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,969945,001,2024-06-17_09h54.27.305,experiment,2024.1.5,Win32,59.88023952,65abf2d64c8491a1bb904917,667045947eb812cbdacbf325,66704d31324eb1dc5ca970aa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,218.8469,226.3557,0,1,1,1,1,SoundStimuli/BadDay_DanielPowter_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,969945,001,2024-06-17_09h54.27.305,experiment,2024.1.5,Win32,59.88023952,65abf2d64c8491a1bb904917,667045947eb812cbdacbf325,66704d31324eb1dc5ca970aa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,226.3568,228.3571,4.353333537,1.9148,0,9,9,22,1,song_indices/BadDay_DanielPowter.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,969945,001,2024-06-17_09h54.27.305,experiment,2024.1.5,Win32,59.88023952,65abf2d64c8491a1bb904917,667045947eb812cbdacbf325,66704d31324eb1dc5ca970aa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,228.3601,234.3879,0,0,0,0,1,SoundStimuli/StayinAlive_BeeGees_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,969945,001,2024-06-17_09h54.27.305,experiment,2024.1.5,Win32,59.88023952,65abf2d64c8491a1bb904917,667045947eb812cbdacbf325,66704d31324eb1dc5ca970aa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,234.4663,240.2956,0,1,1,1,1,SoundStimuli/StayinAlive_BeeGees_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
