welcome.started,welcome.stopped,space_to_continue.keys,space_to_continue.rt,space_to_continue.duration,participant,session,date,expName,psychopyVersion,OS,frameRate,PROLIFIC_PID,STUDY_ID,SESSION_ID,consent.consent,consent.consent_recontact,consent_check.started,consent_check.stopped,calibration_ready.started,calibration_ready.stopped,cal_ready.keys,cal_ready.rt,cal_ready.duration,calibration.started,calibration.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,move_on.keys,move_on.rt,move_on.duration,instructions.started,instructions.stopped,next.keys,next.rt,next.duration,practice_trial.started,practice_trial.stopped,practice_slider.response,practice_slider.rt,ready.started,ready.stopped,key_resp.keys,key_resp.rt,key_resp.duration,play_sound.started,play_sound.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,orig_or_cover,rating.started,rating.stopped,slider.response,slider.rt,songs.thisRepN,songs.thisTrialN,songs.thisN,songs.thisIndex,songs.ran,song_id,short_break.started,short_break.stopped,space_to_move_on.keys,space_to_move_on.rt,space_to_move_on.duration,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,block,survey.age,survey.musician,survey.music_making,survey.listen_time,survey.medium,survey.music_seeking,survey.music_choice,survey.activities,survey.question1.Pop,survey.question1.Hip hop,survey.question1.Reggae,survey.question1.Ambient,survey.question1.R&B,survey.question1.Latin,survey.question1.Classic rock,survey.question1.Alternative rock,survey.question1.Electronic (EDM),survey.question1.A cappella,survey.question1.Country,survey.question1.Folk/indie,survey.question1.Classical,survey.question1.Metal,survey.question1.Jazz,survey.question1.Disco,survey.other_genres,survey.genres_ranked.text1,survey.genres_ranked.text2,survey.genres_ranked.text3,survey.habit_change,survey.habits,experiment.thisRepN,experiment.thisTrialN,experiment.thisN,experiment.thisIndex,experiment.ran,goodbye.started,goodbye.stopped
,,,,,519423,001,2024-06-17_07h53.54.790,experiment,2024.1.5,Win32,30.03003003,63e2953c6c707d75ae5fcdd2,667045947eb812cbdacbf325,66704cc31c95339dba152e80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,251.1306,257.1407,0,0,0,1,1,SoundStimuli/TheSign_AceOfBase_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,519423,001,2024-06-17_07h53.54.790,experiment,2024.1.5,Win32,30.03003003,63e2953c6c707d75ae5fcdd2,667045947eb812cbdacbf325,66704cc31c95339dba152e80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,257.1508,263.3337,0,1,1,0,1,SoundStimuli/TheSign_AceOfBase_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,519423,001,2024-06-17_07h53.54.790,experiment,2024.1.5,Win32,30.03003003,63e2953c6c707d75ae5fcdd2,667045947eb812cbdacbf325,66704cc31c95339dba152e80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,263.3338,265.1161,4.105555556,1.7713,0,7,7,5,1,song_indices/TheSign_AceOfBase.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,519423,001,2024-06-17_07h53.54.790,experiment,2024.1.5,Win32,30.03003003,63e2953c6c707d75ae5fcdd2,667045947eb812cbdacbf325,66704cc31c95339dba152e80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,265.1178,271.0798,0,0,0,0,1,SoundStimuli/Respect_ArethaFranklin_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,519423,001,2024-06-17_07h53.54.790,experiment,2024.1.5,Win32,30.03003003,63e2953c6c707d75ae5fcdd2,667045947eb812cbdacbf325,66704cc31c95339dba152e80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,271.0901,277.1574,0,1,1,1,1,SoundStimuli/Respect_ArethaFranklin_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,519423,001,2024-06-17_07h53.54.790,experiment,2024.1.5,Win32,30.03003003,63e2953c6c707d75ae5fcdd2,667045947eb812cbdacbf325,66704cc31c95339dba152e80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,277.1576,279.3535,3.55,2.1851,0,8,8,0,1,song_indices/Respect_ArethaFranklin.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,519423,001,2024-06-17_07h53.54.790,experiment,2024.1.5,Win32,30.03003003,63e2953c6c707d75ae5fcdd2,667045947eb812cbdacbf325,66704cc31c95339dba152e80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,279.355,285.4044,0,0,0,0,1,SoundStimuli/HowDoILive_LeAnnRimes_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,519423,001,2024-06-17_07h53.54.790,experiment,2024.1.5,Win32,30.03003003,63e2953c6c707d75ae5fcdd2,667045947eb812cbdacbf325,66704cc31c95339dba152e80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,285.4146,290.9212,0,1,1,1,1,SoundStimuli/HowDoILive_LeAnnRimes_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,519423,001,2024-06-17_07h53.54.790,experiment,2024.1.5,Win32,30.03003003,63e2953c6c707d75ae5fcdd2,667045947eb812cbdacbf325,66704cc31c95339dba152e80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,290.9216,292.9258,5.55,1.9927,0,9,9,17,1,song_indices/HowDoILive_LeAnnRimes.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,519423,001,2024-06-17_07h53.54.790,experiment,2024.1.5,Win32,30.03003003,63e2953c6c707d75ae5fcdd2,667045947eb812cbdacbf325,66704cc31c95339dba152e80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,292.9273,299.1524,0,0,0,0,1,SoundStimuli/SaveYourTears_TheWeekndArianaGrande_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
