welcome.started,welcome.stopped,space_to_continue.keys,space_to_continue.rt,space_to_continue.duration,participant,session,date,expName,psychopyVersion,OS,frameRate,PROLIFIC_PID,STUDY_ID,SESSION_ID,consent.consent,consent.consent_recontact,consent_check.started,consent_check.stopped,calibration_ready.started,calibration_ready.stopped,cal_ready.keys,cal_ready.rt,cal_ready.duration,calibration.started,calibration.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,move_on.keys,move_on.rt,move_on.duration,instructions.started,instructions.stopped,next.keys,next.rt,next.duration,practice_trial.started,practice_trial.stopped,practice_slider.response,practice_slider.rt,ready.started,ready.stopped,key_resp.keys,key_resp.rt,key_resp.duration,play_sound.started,play_sound.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,orig_or_cover,rating.started,rating.stopped,slider.response,slider.rt,songs.thisRepN,songs.thisTrialN,songs.thisN,songs.thisIndex,songs.ran,song_id,short_break.started,short_break.stopped,space_to_move_on.keys,space_to_move_on.rt,space_to_move_on.duration,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,block,survey.age,survey.musician,survey.music_making,survey.listen_time,survey.medium,survey.music_seeking,survey.music_choice,survey.activities,survey.question1.Metal,survey.question1.Reggae,survey.question1.Disco,survey.question1.Country,survey.question1.Hip hop,survey.question1.A cappella,survey.question1.Folk/indie,survey.question1.Pop,survey.question1.Jazz,survey.question1.Ambient,survey.question1.R&B,survey.question1.Classic rock,survey.question1.Electronic (EDM),survey.question1.Alternative rock,survey.question1.Latin,survey.question1.Classical,survey.other_genres,survey.genres_ranked.text1,survey.genres_ranked.text2,survey.genres_ranked.text3,survey.habit_change,survey.habits,experiment.thisRepN,experiment.thisTrialN,experiment.thisN,experiment.thisIndex,experiment.ran,goodbye.started,goodbye.stopped
,,,,,019700,001,2024-06-17_07h55.28.614,experiment,2024.1.5,Win32,59.88023952,661f16434d4a84871e91d6db,667045947eb812cbdacbf325,66704e21e0fa5ca3ce84d2c0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,284.1835,285.6749,4.933333503,1.4764,0,5,5,5,1,song_indices/TheSign_AceOfBase.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,019700,001,2024-06-17_07h55.28.614,experiment,2024.1.5,Win32,59.88023952,661f16434d4a84871e91d6db,667045947eb812cbdacbf325,66704e21e0fa5ca3ce84d2c0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,285.6782,291.8982,0,0,0,0,1,SoundStimuli/TikTok_Kesha_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,019700,001,2024-06-17_07h55.28.614,experiment,2024.1.5,Win32,59.88023952,661f16434d4a84871e91d6db,667045947eb812cbdacbf325,66704e21e0fa5ca3ce84d2c0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,291.9106,299.4388,0,1,1,1,1,SoundStimuli/TikTok_Kesha_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,019700,001,2024-06-17_07h55.28.614,experiment,2024.1.5,Win32,59.88023952,661f16434d4a84871e91d6db,667045947eb812cbdacbf325,66704e21e0fa5ca3ce84d2c0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,299.4394,301.7261,3.050000085,2.277,0,6,6,3,1,song_indices/TikTok_Kesha.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,019700,001,2024-06-17_07h55.28.614,experiment,2024.1.5,Win32,59.88023952,661f16434d4a84871e91d6db,667045947eb812cbdacbf325,66704e21e0fa5ca3ce84d2c0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,301.7268,307.6542,0,0,0,0,1,SoundStimuli/Respect_ArethaFranklin_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,019700,001,2024-06-17_07h55.28.614,experiment,2024.1.5,Win32,59.88023952,661f16434d4a84871e91d6db,667045947eb812cbdacbf325,66704e21e0fa5ca3ce84d2c0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,307.6607,313.7198,0,1,1,1,1,SoundStimuli/Respect_ArethaFranklin_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,019700,001,2024-06-17_07h55.28.614,experiment,2024.1.5,Win32,59.88023952,661f16434d4a84871e91d6db,667045947eb812cbdacbf325,66704e21e0fa5ca3ce84d2c0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,313.7198,316.7774,3.050000085,3.0504,0,7,7,0,1,song_indices/Respect_ArethaFranklin.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,019700,001,2024-06-17_07h55.28.614,experiment,2024.1.5,Win32,59.88023952,661f16434d4a84871e91d6db,667045947eb812cbdacbf325,66704e21e0fa5ca3ce84d2c0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,316.7779,322.6597,0,0,0,1,1,SoundStimuli/SaveYourTears_TheWeekndArianaGrande_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,019700,001,2024-06-17_07h55.28.614,experiment,2024.1.5,Win32,59.88023952,661f16434d4a84871e91d6db,667045947eb812cbdacbf325,66704e21e0fa5ca3ce84d2c0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,322.6651,328.8589,0,1,1,0,1,SoundStimuli/SaveYourTears_TheWeekndArianaGrande_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,019700,001,2024-06-17_07h55.28.614,experiment,2024.1.5,Win32,59.88023952,661f16434d4a84871e91d6db,667045947eb812cbdacbf325,66704e21e0fa5ca3ce84d2c0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,328.8592,333.7751,3.949999915,4.9092,0,8,8,12,1,song_indices/SaveYourTears_TheWeekndArianaGrande.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
