welcome.started,welcome.stopped,space_to_continue.keys,space_to_continue.rt,space_to_continue.duration,participant,session,date,expName,psychopyVersion,OS,frameRate,PROLIFIC_PID,STUDY_ID,SESSION_ID,consent.consent,consent.consent_recontact,consent_check.started,consent_check.stopped,calibration_ready.started,calibration_ready.stopped,cal_ready.keys,cal_ready.rt,cal_ready.duration,calibration.started,calibration.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,move_on.keys,move_on.rt,move_on.duration,instructions.started,instructions.stopped,next.keys,next.rt,next.duration,practice_trial.started,practice_trial.stopped,practice_slider.response,practice_slider.rt,ready.started,ready.stopped,key_resp.keys,key_resp.rt,key_resp.duration,play_sound.started,play_sound.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,orig_or_cover,rating.started,rating.stopped,slider.response,slider.rt,songs.thisRepN,songs.thisTrialN,songs.thisN,songs.thisIndex,songs.ran,song_id,short_break.started,short_break.stopped,space_to_move_on.keys,space_to_move_on.rt,space_to_move_on.duration,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,block,survey.age,survey.musician,survey.music_making,survey.listen_time,survey.medium,survey.music_seeking,survey.music_choice,survey.activities,survey.question1.R&B,survey.question1.Disco,survey.question1.Reggae,survey.question1.Classical,survey.question1.Pop,survey.question1.Alternative rock,survey.question1.Latin,survey.question1.Electronic (EDM),survey.question1.Ambient,survey.question1.Jazz,survey.question1.Metal,survey.question1.Hip hop,survey.question1.Country,survey.question1.A cappella,survey.question1.Folk/indie,survey.question1.Classic rock,survey.other_genres,survey.genres_ranked.text1,survey.genres_ranked.text2,survey.genres_ranked.text3,survey.habit_change,survey.habits,experiment.thisRepN,experiment.thisTrialN,experiment.thisN,experiment.thisIndex,experiment.ran,goodbye.started,goodbye.stopped
,,,,,806156,001,2024-06-17_11h00.51.690,experiment,2024.1.5,Win32,59.17159763,56780a5a89319e0011644cb4,667045947eb812cbdacbf325,66704f10306633c432245734,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,145.9317,147.8316,6.85000017,1.8781,0,5,5,8,1,song_indices/SmellsLikeTeenSpirit_Nirvana.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,806156,001,2024-06-17_11h00.51.690,experiment,2024.1.5,Win32,59.17159763,56780a5a89319e0011644cb4,667045947eb812cbdacbf325,66704f10306633c432245734,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,147.8328,154.2307,0,0,0,0,1,SoundStimuli/IWillAlwaysLoveYou_WhitneyHouston_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,806156,001,2024-06-17_11h00.51.690,experiment,2024.1.5,Win32,59.17159763,56780a5a89319e0011644cb4,667045947eb812cbdacbf325,66704f10306633c432245734,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,154.2379,160.08,0,1,1,1,1,SoundStimuli/IWillAlwaysLoveYou_WhitneyHouston_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,806156,001,2024-06-17_11h00.51.690,experiment,2024.1.5,Win32,59.17159763,56780a5a89319e0011644cb4,667045947eb812cbdacbf325,66704f10306633c432245734,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,160.0802,162.0798,6.955555386,1.9818,0,6,6,10,1,song_indices/IWillAlwaysLoveYou_WhitneyHouston.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,806156,001,2024-06-17_11h00.51.690,experiment,2024.1.5,Win32,59.17159763,56780a5a89319e0011644cb4,667045947eb812cbdacbf325,66704f10306633c432245734,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,162.0807,169.4459,0,0,0,1,1,SoundStimuli/Happy_PharellWilliams_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,806156,001,2024-06-17_11h00.51.690,experiment,2024.1.5,Win32,59.17159763,56780a5a89319e0011644cb4,667045947eb812cbdacbf325,66704f10306633c432245734,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,169.4547,176.8113,0,1,1,0,1,SoundStimuli/Happy_PharellWilliams_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,806156,001,2024-06-17_11h00.51.690,experiment,2024.1.5,Win32,59.17159763,56780a5a89319e0011644cb4,667045947eb812cbdacbf325,66704f10306633c432245734,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,176.8115,178.6942,6.088889228,1.8627,0,7,7,7,1,song_indices/Happy_PharellWilliams.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,806156,001,2024-06-17_11h00.51.690,experiment,2024.1.5,Win32,59.17159763,56780a5a89319e0011644cb4,667045947eb812cbdacbf325,66704f10306633c432245734,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,178.6952,185.4768,0,0,0,1,1,SoundStimuli/PartyRockAnthem_LMFAO_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,806156,001,2024-06-17_11h00.51.690,experiment,2024.1.5,Win32,59.17159763,56780a5a89319e0011644cb4,667045947eb812cbdacbf325,66704f10306633c432245734,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,185.4853,192.2259,0,1,1,0,1,SoundStimuli/PartyRockAnthem_LMFAO_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,806156,001,2024-06-17_11h00.51.690,experiment,2024.1.5,Win32,59.17159763,56780a5a89319e0011644cb4,667045947eb812cbdacbf325,66704f10306633c432245734,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,192.2261,194.1591,6.211111281,1.9198,0,8,8,2,1,song_indices/PartyRockAnthem_LMFAO.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
