welcome.started,welcome.stopped,space_to_continue.keys,space_to_continue.rt,space_to_continue.duration,participant,session,date,expName,psychopyVersion,OS,frameRate,PROLIFIC_PID,STUDY_ID,SESSION_ID,consent.consent,consent.consent_recontact,consent_check.started,consent_check.stopped,calibration_ready.started,calibration_ready.stopped,cal_ready.keys,cal_ready.rt,cal_ready.duration,calibration.started,calibration.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,move_on.keys,move_on.rt,move_on.duration,instructions.started,instructions.stopped,next.keys,next.rt,next.duration,practice_trial.started,practice_trial.stopped,practice_slider.response,practice_slider.rt,ready.started,ready.stopped,key_resp.keys,key_resp.rt,key_resp.duration,play_sound.started,play_sound.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,orig_or_cover,rating.started,rating.stopped,slider.response,slider.rt,songs.thisRepN,songs.thisTrialN,songs.thisN,songs.thisIndex,songs.ran,song_id,short_break.started,short_break.stopped,space_to_move_on.keys,space_to_move_on.rt,space_to_move_on.duration,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,block,survey.age,survey.musician,survey.music_making,survey.listen_time,survey.medium,survey.music_seeking,survey.music_choice,survey.activities,survey.question1.Ambient,survey.question1.R&B,survey.question1.Metal,survey.question1.Jazz,survey.question1.Latin,survey.question1.Hip hop,survey.question1.Disco,survey.question1.A cappella,survey.question1.Country,survey.question1.Alternative rock,survey.question1.Electronic (EDM),survey.question1.Folk/indie,survey.question1.Classical,survey.question1.Reggae,survey.question1.Pop,survey.question1.Classic rock,survey.other_genres,survey.genres_ranked.text1,survey.genres_ranked.text2,survey.genres_ranked.text3,survey.habit_change,survey.habits,experiment.thisRepN,experiment.thisTrialN,experiment.thisN,experiment.thisIndex,experiment.ran,goodbye.started,goodbye.stopped
,,,,,626788,001,2024-06-17_08h58.42.893,experiment,2024.1.5,Win32,60.24096386,66463a60ee450cd8ae9bebc2,667045947eb812cbdacbf325,66704d388479de6f3cc536d8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,219.1355,225.1589,0,1,1,0,1,SoundStimuli/LeFreak_Chic_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,626788,001,2024-06-17_08h58.42.893,experiment,2024.1.5,Win32,60.24096386,66463a60ee450cd8ae9bebc2,667045947eb812cbdacbf325,66704d388479de6f3cc536d8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,225.159,227.309,3.6,2.1416,0,8,8,11,1,song_indices/LeFreak_Chic.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,626788,001,2024-06-17_08h58.42.893,experiment,2024.1.5,Win32,60.24096386,66463a60ee450cd8ae9bebc2,667045947eb812cbdacbf325,66704d388479de6f3cc536d8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,227.3097,233.3422,0,0,0,0,1,SoundStimuli/HowDoILive_LeAnnRimes_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,626788,001,2024-06-17_08h58.42.893,experiment,2024.1.5,Win32,60.24096386,66463a60ee450cd8ae9bebc2,667045947eb812cbdacbf325,66704d388479de6f3cc536d8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,233.3478,238.842,0,1,1,1,1,SoundStimuli/HowDoILive_LeAnnRimes_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,626788,001,2024-06-17_08h58.42.893,experiment,2024.1.5,Win32,60.24096386,66463a60ee450cd8ae9bebc2,667045947eb812cbdacbf325,66704d388479de6f3cc536d8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,238.8422,240.4304,4.638888889,1.5827,0,9,9,17,1,song_indices/HowDoILive_LeAnnRimes.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,626788,001,2024-06-17_08h58.42.893,experiment,2024.1.5,Win32,60.24096386,66463a60ee450cd8ae9bebc2,667045947eb812cbdacbf325,66704d388479de6f3cc536d8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,240.4308,246.9089,0,0,0,1,1,SoundStimuli/Weak_SWV_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,626788,001,2024-06-17_08h58.42.893,experiment,2024.1.5,Win32,60.24096386,66463a60ee450cd8ae9bebc2,667045947eb812cbdacbf325,66704d388479de6f3cc536d8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,246.9139,252.9963,0,1,1,0,1,SoundStimuli/Weak_SWV_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,626788,001,2024-06-17_08h58.42.893,experiment,2024.1.5,Win32,60.24096386,66463a60ee450cd8ae9bebc2,667045947eb812cbdacbf325,66704d388479de6f3cc536d8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,252.9964,256.3974,1.338888889,3.3954,0,10,10,6,1,song_indices/Weak_SWV.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,626788,001,2024-06-17_08h58.42.893,experiment,2024.1.5,Win32,60.24096386,66463a60ee450cd8ae9bebc2,667045947eb812cbdacbf325,66704d388479de6f3cc536d8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,256.3979,261.6921,0,0,0,1,1,SoundStimuli/Superstition_StevieWonder_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,626788,001,2024-06-17_08h58.42.893,experiment,2024.1.5,Win32,60.24096386,66463a60ee450cd8ae9bebc2,667045947eb812cbdacbf325,66704d388479de6f3cc536d8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,261.6976,267.8474,0,1,1,0,1,SoundStimuli/Superstition_StevieWonder_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
