welcome.started,welcome.stopped,space_to_continue.keys,space_to_continue.rt,space_to_continue.duration,participant,session,date,expName,psychopyVersion,OS,frameRate,PROLIFIC_PID,STUDY_ID,SESSION_ID,consent.consent,consent.consent_recontact,consent_check.started,consent_check.stopped,calibration_ready.started,calibration_ready.stopped,cal_ready.keys,cal_ready.rt,cal_ready.duration,calibration.started,calibration.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,move_on.keys,move_on.rt,move_on.duration,instructions.started,instructions.stopped,next.keys,next.rt,next.duration,practice_trial.started,practice_trial.stopped,practice_slider.response,practice_slider.rt,ready.started,ready.stopped,key_resp.keys,key_resp.rt,key_resp.duration,play_sound.started,play_sound.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,orig_or_cover,rating.started,rating.stopped,slider.response,slider.rt,songs.thisRepN,songs.thisTrialN,songs.thisN,songs.thisIndex,songs.ran,song_id,short_break.started,short_break.stopped,space_to_move_on.keys,space_to_move_on.rt,space_to_move_on.duration,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,block,survey.age,survey.musician,survey.music_making,survey.listen_time,survey.medium,survey.music_seeking,survey.music_choice,survey.activities,survey.question1.Classical,survey.question1.Jazz,survey.question1.Folk/indie,survey.question1.A cappella,survey.question1.Disco,survey.question1.Reggae,survey.question1.R&B,survey.question1.Ambient,survey.question1.Metal,survey.question1.Pop,survey.question1.Classic rock,survey.question1.Electronic (EDM),survey.question1.Hip hop,survey.question1.Alternative rock,survey.question1.Country,survey.question1.Latin,survey.other_genres,survey.genres_ranked.text1,survey.genres_ranked.text2,survey.genres_ranked.text3,survey.habit_change,survey.habits,experiment.thisRepN,experiment.thisTrialN,experiment.thisN,experiment.thisIndex,experiment.ran,goodbye.started,goodbye.stopped
,,,,,065515,001,2024-06-17_10h50.09.465,experiment,2024.1.5,Win32,59.88023952,5f2bf7aa253520000bfc83b6,667045947eb812cbdacbf325,66704c9421e6cab958ad926a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,135.2517,137.3013,3.055555556,2.0339,0,5,5,13,1,song_indices/TossinAndTurnin_BobbyLewis.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,065515,001,2024-06-17_10h50.09.465,experiment,2024.1.5,Win32,59.88023952,5f2bf7aa253520000bfc83b6,667045947eb812cbdacbf325,66704c9421e6cab958ad926a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,137.3031,143.3848,0,0,0,0,1,SoundStimuli/YouLightUpMyLife_DebbyBoone_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,065515,001,2024-06-17_10h50.09.465,experiment,2024.1.5,Win32,59.88023952,5f2bf7aa253520000bfc83b6,667045947eb812cbdacbf325,66704c9421e6cab958ad926a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,143.3912,149.8407,0,1,1,1,1,SoundStimuli/YouLightUpMyLife_DebbyBoone_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,065515,001,2024-06-17_10h50.09.465,experiment,2024.1.5,Win32,59.88023952,5f2bf7aa253520000bfc83b6,667045947eb812cbdacbf325,66704c9421e6cab958ad926a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,149.8409,151.1846,6.961111111,1.3329,0,6,6,4,1,song_indices/YouLightUpMyLife_DebbyBoone.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,065515,001,2024-06-17_10h50.09.465,experiment,2024.1.5,Win32,59.88023952,5f2bf7aa253520000bfc83b6,667045947eb812cbdacbf325,66704c9421e6cab958ad926a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,151.1866,157.3912,0,0,0,0,1,SoundStimuli/SaveYourTears_TheWeekndArianaGrande_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,065515,001,2024-06-17_10h50.09.465,experiment,2024.1.5,Win32,59.88023952,5f2bf7aa253520000bfc83b6,667045947eb812cbdacbf325,66704c9421e6cab958ad926a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,157.3962,163.2846,0,1,1,1,1,SoundStimuli/SaveYourTears_TheWeekndArianaGrande_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,065515,001,2024-06-17_10h50.09.465,experiment,2024.1.5,Win32,59.88023952,5f2bf7aa253520000bfc83b6,667045947eb812cbdacbf325,66704c9421e6cab958ad926a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,163.2847,167.8388,1.116666667,4.547,0,7,7,12,1,song_indices/SaveYourTears_TheWeekndArianaGrande.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,065515,001,2024-06-17_10h50.09.465,experiment,2024.1.5,Win32,59.88023952,5f2bf7aa253520000bfc83b6,667045947eb812cbdacbf325,66704c9421e6cab958ad926a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,167.8393,175.2546,0,0,0,0,1,SoundStimuli/Kiss_Prince_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,065515,001,2024-06-17_10h50.09.465,experiment,2024.1.5,Win32,59.88023952,5f2bf7aa253520000bfc83b6,667045947eb812cbdacbf325,66704c9421e6cab958ad926a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,175.2608,181.5346,0,1,1,1,1,SoundStimuli/Kiss_Prince_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,065515,001,2024-06-17_10h50.09.465,experiment,2024.1.5,Win32,59.88023952,5f2bf7aa253520000bfc83b6,667045947eb812cbdacbf325,66704c9421e6cab958ad926a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,181.5352,183.2382,1.011111111,1.6952,0,8,8,14,1,song_indices/Kiss_Prince.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
