welcome.started,welcome.stopped,space_to_continue.keys,space_to_continue.rt,space_to_continue.duration,participant,session,date,expName,psychopyVersion,OS,frameRate,PROLIFIC_PID,STUDY_ID,SESSION_ID,consent.consent,consent.consent_recontact,consent_check.started,consent_check.stopped,calibration_ready.started,calibration_ready.stopped,cal_ready.keys,cal_ready.rt,cal_ready.duration,calibration.started,calibration.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,move_on.keys,move_on.rt,move_on.duration,instructions.started,instructions.stopped,next.keys,next.rt,next.duration,practice_trial.started,practice_trial.stopped,practice_slider.response,practice_slider.rt,ready.started,ready.stopped,key_resp.keys,key_resp.rt,key_resp.duration,play_sound.started,play_sound.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,orig_or_cover,rating.started,rating.stopped,slider.response,slider.rt,songs.thisRepN,songs.thisTrialN,songs.thisN,songs.thisIndex,songs.ran,song_id,short_break.started,short_break.stopped,space_to_move_on.keys,space_to_move_on.rt,space_to_move_on.duration,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,block,survey.age,survey.musician,survey.music_making,survey.listen_time,survey.medium,survey.music_seeking,survey.music_choice,survey.activities,survey.question1.Disco,survey.question1.Reggae,survey.question1.Folk/indie,survey.question1.Alternative rock,survey.question1.Classical,survey.question1.Jazz,survey.question1.Electronic (EDM),survey.question1.Ambient,survey.question1.Latin,survey.question1.Country,survey.question1.Hip hop,survey.question1.Metal,survey.question1.A cappella,survey.question1.Pop,survey.question1.R&B,survey.question1.Classic rock,survey.other_genres,survey.genres_ranked.text1,survey.genres_ranked.text2,survey.genres_ranked.text3,survey.habit_change,survey.habits,experiment.thisRepN,experiment.thisTrialN,experiment.thisN,experiment.thisIndex,experiment.ran,goodbye.started,goodbye.stopped
,,,,,885953,001,2024-06-17_13h41.08.646,experiment,2024.1.5,Win32,59.88023952,559c3b0efdf99b32b6963e81,667045947eb812cbdacbf325,66706b708526cfb6e35ce8fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,354.4619,356.4112,3,1.918,0,5,5,19,1,song_indices/NoOne_AliciaKeys.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,885953,001,2024-06-17_13h41.08.646,experiment,2024.1.5,Win32,59.88023952,559c3b0efdf99b32b6963e81,667045947eb812cbdacbf325,66706b708526cfb6e35ce8fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,356.4143,362.3917,0,0,0,0,1,SoundStimuli/IWalkTheLine_JohnnyCash_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,885953,001,2024-06-17_13h41.08.646,experiment,2024.1.5,Win32,59.88023952,559c3b0efdf99b32b6963e81,667045947eb812cbdacbf325,66706b708526cfb6e35ce8fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,362.4,369.5398,0,1,1,1,1,SoundStimuli/IWalkTheLine_JohnnyCash_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,885953,001,2024-06-17_13h41.08.646,experiment,2024.1.5,Win32,59.88023952,559c3b0efdf99b32b6963e81,667045947eb812cbdacbf325,66706b708526cfb6e35ce8fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,369.5401,370.4397,4.016666667,0.8752,0,6,6,17,1,song_indices/IWalkTheLine_JohnnyCash.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,885953,001,2024-06-17_13h41.08.646,experiment,2024.1.5,Win32,59.88023952,559c3b0efdf99b32b6963e81,667045947eb812cbdacbf325,66706b708526cfb6e35ce8fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,370.4423,377.4706,0,0,0,1,1,SoundStimuli/UptownFunk_MarkRonson_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,885953,001,2024-06-17_13h41.08.646,experiment,2024.1.5,Win32,59.88023952,559c3b0efdf99b32b6963e81,667045947eb812cbdacbf325,66706b708526cfb6e35ce8fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,377.4891,384.7182,0,1,1,0,1,SoundStimuli/UptownFunk_MarkRonson_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,885953,001,2024-06-17_13h41.08.646,experiment,2024.1.5,Win32,59.88023952,559c3b0efdf99b32b6963e81,667045947eb812cbdacbf325,66706b708526cfb6e35ce8fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,384.7185,387.2841,6.994444444,2.5493,0,7,7,15,1,song_indices/UptownFunk_MarkRonson.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,885953,001,2024-06-17_13h41.08.646,experiment,2024.1.5,Win32,59.88023952,559c3b0efdf99b32b6963e81,667045947eb812cbdacbf325,66706b708526cfb6e35ce8fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,387.2862,393.498,0,0,0,0,1,SoundStimuli/SmellsLikeTeenSpirit_Nirvana_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,885953,001,2024-06-17_13h41.08.646,experiment,2024.1.5,Win32,59.88023952,559c3b0efdf99b32b6963e81,667045947eb812cbdacbf325,66706b708526cfb6e35ce8fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,393.5068,399.2804,0,1,1,1,1,SoundStimuli/SmellsLikeTeenSpirit_Nirvana_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,885953,001,2024-06-17_13h41.08.646,experiment,2024.1.5,Win32,59.88023952,559c3b0efdf99b32b6963e81,667045947eb812cbdacbf325,66706b708526cfb6e35ce8fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,399.2807,400.8792,6.883333333,1.5715,0,8,8,8,1,song_indices/SmellsLikeTeenSpirit_Nirvana.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
