welcome.started,welcome.stopped,space_to_continue.keys,space_to_continue.rt,space_to_continue.duration,participant,session,date,expName,psychopyVersion,OS,frameRate,PROLIFIC_PID,STUDY_ID,SESSION_ID,consent.consent,consent.consent_recontact,consent_check.started,consent_check.stopped,calibration_ready.started,calibration_ready.stopped,cal_ready.keys,cal_ready.rt,cal_ready.duration,calibration.started,calibration.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,move_on.keys,move_on.rt,move_on.duration,instructions.started,instructions.stopped,next.keys,next.rt,next.duration,practice_trial.started,practice_trial.stopped,practice_slider.response,practice_slider.rt,ready.started,ready.stopped,key_resp.keys,key_resp.rt,key_resp.duration,play_sound.started,play_sound.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,orig_or_cover,rating.started,rating.stopped,slider.response,slider.rt,songs.thisRepN,songs.thisTrialN,songs.thisN,songs.thisIndex,songs.ran,song_id,short_break.started,short_break.stopped,space_to_move_on.keys,space_to_move_on.rt,space_to_move_on.duration,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,block,survey.age,survey.musician,survey.music_making,survey.listen_time,survey.medium,survey.music_seeking,survey.music_choice,survey.activities,survey.question1.Reggae,survey.question1.Electronic (EDM),survey.question1.Classic rock,survey.question1.Ambient,survey.question1.Jazz,survey.question1.Country,survey.question1.Disco,survey.question1.Alternative rock,survey.question1.Latin,survey.question1.Hip hop,survey.question1.Pop,survey.question1.Classical,survey.question1.Folk/indie,survey.question1.R&B,survey.question1.A cappella,survey.question1.Metal,survey.other_genres,survey.genres_ranked.text1,survey.genres_ranked.text2,survey.genres_ranked.text3,survey.habit_change,survey.habits,experiment.thisRepN,experiment.thisTrialN,experiment.thisN,experiment.thisIndex,experiment.ran,goodbye.started,goodbye.stopped
,,,,,589716,001,2024-06-17_11h50.36.459,experiment,2024.1.5,Win32,59.17159763,65a57b1b4ce0a142f5b59bf8,667045947eb812cbdacbf325,66705db8c99f10f913bff8d2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,257.5233,263.8234,0,0,0,0,1,SoundStimuli/Mood_24kGoldnianndior_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,589716,001,2024-06-17_11h50.36.459,experiment,2024.1.5,Win32,59.17159763,65a57b1b4ce0a142f5b59bf8,667045947eb812cbdacbf325,66705db8c99f10f913bff8d2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,263.8311,272.1237,0,1,1,1,1,SoundStimuli/Mood_24kGoldnianndior_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,589716,001,2024-06-17_11h50.36.459,experiment,2024.1.5,Win32,59.17159763,65a57b1b4ce0a142f5b59bf8,667045947eb812cbdacbf325,66705db8c99f10f913bff8d2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,272.1238,273.9563,4.006349206,1.812,0,10,10,5,1,song_indices/Mood_24kGoldnianndior.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,589716,001,2024-06-17_11h50.36.459,experiment,2024.1.5,Win32,59.17159763,65a57b1b4ce0a142f5b59bf8,667045947eb812cbdacbf325,66705db8c99f10f913bff8d2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,273.9573,280.1734,0,0,0,0,1,SoundStimuli/Smooth_SantanaRobThomas_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,589716,001,2024-06-17_11h50.36.459,experiment,2024.1.5,Win32,59.17159763,65a57b1b4ce0a142f5b59bf8,667045947eb812cbdacbf325,66705db8c99f10f913bff8d2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,280.1826,286.3065,0,1,1,1,1,SoundStimuli/Smooth_SantanaRobThomas_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,589716,001,2024-06-17_11h50.36.459,experiment,2024.1.5,Win32,59.17159763,65a57b1b4ce0a142f5b59bf8,667045947eb812cbdacbf325,66705db8c99f10f913bff8d2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,286.3067,287.8062,5.974603175,1.4844,0,11,11,4,1,song_indices/Smooth_SantanaRobThomas.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,589716,001,2024-06-17_11h50.36.459,experiment,2024.1.5,Win32,59.17159763,65a57b1b4ce0a142f5b59bf8,667045947eb812cbdacbf325,66705db8c99f10f913bff8d2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,287.8073,293.8898,0,0,0,0,1,SoundStimuli/IllMakeLoveToYou_BoyzIIMen_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,589716,001,2024-06-17_11h50.36.459,experiment,2024.1.5,Win32,59.17159763,65a57b1b4ce0a142f5b59bf8,667045947eb812cbdacbf325,66705db8c99f10f913bff8d2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,293.8903,299.8402,0,1,1,1,1,SoundStimuli/IllMakeLoveToYou_BoyzIIMen_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,589716,001,2024-06-17_11h50.36.459,experiment,2024.1.5,Win32,59.17159763,65a57b1b4ce0a142f5b59bf8,667045947eb812cbdacbf325,66705db8c99f10f913bff8d2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,299.8404,301.8061,6.031746032,1.953,0,12,12,6,1,song_indices/IllMakeLoveToYou_BoyzIIMen.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,589716,001,2024-06-17_11h50.36.459,experiment,2024.1.5,Win32,59.17159763,65a57b1b4ce0a142f5b59bf8,667045947eb812cbdacbf325,66705db8c99f10f913bff8d2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,301.8068,308.3737,0,0,0,0,1,SoundStimuli/Despacito_LuisFonsiDaddyYankee_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
