welcome.started,welcome.stopped,space_to_continue.keys,space_to_continue.rt,space_to_continue.duration,participant,session,date,expName,psychopyVersion,OS,frameRate,PROLIFIC_PID,STUDY_ID,SESSION_ID,consent.consent,consent.consent_recontact,consent_check.started,consent_check.stopped,calibration_ready.started,calibration_ready.stopped,cal_ready.keys,cal_ready.rt,cal_ready.duration,calibration.started,calibration.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,move_on.keys,move_on.rt,move_on.duration,instructions.started,instructions.stopped,next.keys,next.rt,next.duration,practice_trial.started,practice_trial.stopped,practice_slider.response,practice_slider.rt,ready.started,ready.stopped,key_resp.keys,key_resp.rt,key_resp.duration,play_sound.started,play_sound.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,orig_or_cover,rating.started,rating.stopped,slider.response,slider.rt,songs.thisRepN,songs.thisTrialN,songs.thisN,songs.thisIndex,songs.ran,song_id,short_break.started,short_break.stopped,space_to_move_on.keys,space_to_move_on.rt,space_to_move_on.duration,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,block,survey.age,survey.musician,survey.music_making,survey.listen_time,survey.medium,survey.music_seeking,survey.music_choice,survey.activities,survey.question1.Jazz,survey.question1.Hip hop,survey.question1.Classical,survey.question1.Folk/indie,survey.question1.Classic rock,survey.question1.Electronic (EDM),survey.question1.Country,survey.question1.Pop,survey.question1.Latin,survey.question1.A cappella,survey.question1.Alternative rock,survey.question1.Metal,survey.question1.Disco,survey.question1.R&B,survey.question1.Ambient,survey.question1.Reggae,survey.other_genres,survey.genres_ranked.text1,survey.genres_ranked.text2,survey.genres_ranked.text3,survey.habit_change,survey.habits,experiment.thisRepN,experiment.thisTrialN,experiment.thisN,experiment.thisIndex,experiment.ran,goodbye.started,goodbye.stopped
,,,,,879786,001,2024-06-17_09h33.44.890,experiment,2024.1.5,Win32,60.24096386,5b666901f7798c000182c01c,667045947eb812cbdacbf325,66704908ae1bf672117acb9a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200.8722,208.3934,0,1,1,1,1,SoundStimuli/TikTok_Kesha_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,879786,001,2024-06-17_09h33.44.890,experiment,2024.1.5,Win32,60.24096386,5b666901f7798c000182c01c,667045947eb812cbdacbf325,66704908ae1bf672117acb9a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,208.3937,210.6681,4.977777778,2.2545,0,7,7,3,1,song_indices/TikTok_Kesha.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,879786,001,2024-06-17_09h33.44.890,experiment,2024.1.5,Win32,60.24096386,5b666901f7798c000182c01c,667045947eb812cbdacbf325,66704908ae1bf672117acb9a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,210.6749,216.6797,0,0,0,1,1,SoundStimuli/TheSign_AceOfBase_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,879786,001,2024-06-17_09h33.44.890,experiment,2024.1.5,Win32,60.24096386,5b666901f7798c000182c01c,667045947eb812cbdacbf325,66704908ae1bf672117acb9a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,216.6889,222.8488,0,1,1,0,1,SoundStimuli/TheSign_AceOfBase_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,879786,001,2024-06-17_09h33.44.890,experiment,2024.1.5,Win32,60.24096386,5b666901f7798c000182c01c,667045947eb812cbdacbf325,66704908ae1bf672117acb9a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,222.8489,224.2659,6.972222222,1.4039,0,8,8,5,1,song_indices/TheSign_AceOfBase.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,879786,001,2024-06-17_09h33.44.890,experiment,2024.1.5,Win32,60.24096386,5b666901f7798c000182c01c,667045947eb812cbdacbf325,66704908ae1bf672117acb9a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,224.2673,231.0684,0,0,0,1,1,SoundStimuli/BlindingLights_TheWeeknd_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,879786,001,2024-06-17_09h33.44.890,experiment,2024.1.5,Win32,60.24096386,5b666901f7798c000182c01c,667045947eb812cbdacbf325,66704908ae1bf672117acb9a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,231.0774,237.5544,0,1,1,0,1,SoundStimuli/BlindingLights_TheWeeknd_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,879786,001,2024-06-17_09h33.44.890,experiment,2024.1.5,Win32,60.24096386,5b666901f7798c000182c01c,667045947eb812cbdacbf325,66704908ae1bf672117acb9a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,237.5545,238.1877,5.122222222,0.6209,0,9,9,21,1,song_indices/BlindingLights_TheWeeknd.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,879786,001,2024-06-17_09h33.44.890,experiment,2024.1.5,Win32,60.24096386,5b666901f7798c000182c01c,667045947eb812cbdacbf325,66704908ae1bf672117acb9a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,238.1896,244.9555,0,0,0,0,1,SoundStimuli/BlurredLines_RobinThicke_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,879786,001,2024-06-17_09h33.44.890,experiment,2024.1.5,Win32,60.24096386,5b666901f7798c000182c01c,667045947eb812cbdacbf325,66704908ae1bf672117acb9a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,244.9648,252.0597,0,1,1,1,1,SoundStimuli/BlurredLines_RobinThicke_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
