welcome.started,welcome.stopped,space_to_continue.keys,space_to_continue.rt,space_to_continue.duration,participant,session,date,expName,psychopyVersion,OS,frameRate,PROLIFIC_PID,STUDY_ID,SESSION_ID,consent.consent,consent.consent_recontact,consent_check.started,consent_check.stopped,calibration_ready.started,calibration_ready.stopped,cal_ready.keys,cal_ready.rt,cal_ready.duration,calibration.started,calibration.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,move_on.keys,move_on.rt,move_on.duration,instructions.started,instructions.stopped,next.keys,next.rt,next.duration,practice_trial.started,practice_trial.stopped,practice_slider.response,practice_slider.rt,ready.started,ready.stopped,key_resp.keys,key_resp.rt,key_resp.duration,play_sound.started,play_sound.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,orig_or_cover,rating.started,rating.stopped,slider.response,slider.rt,songs.thisRepN,songs.thisTrialN,songs.thisN,songs.thisIndex,songs.ran,song_id,short_break.started,short_break.stopped,space_to_move_on.keys,space_to_move_on.rt,space_to_move_on.duration,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,block,survey.age,survey.musician,survey.music_making,survey.listen_time,survey.medium,survey.music_seeking,survey.music_choice,survey.activities,survey.question1.Jazz,survey.question1.Classic rock,survey.question1.Ambient,survey.question1.A cappella,survey.question1.Electronic (EDM),survey.question1.Pop,survey.question1.Reggae,survey.question1.Disco,survey.question1.Hip hop,survey.question1.R&B,survey.question1.Country,survey.question1.Folk/indie,survey.question1.Metal,survey.question1.Latin,survey.question1.Alternative rock,survey.question1.Classical,survey.genres_ranked.text1,survey.genres_ranked.text2,survey.genres_ranked.text3,survey.habit_change,survey.habits,experiment.thisRepN,experiment.thisTrialN,experiment.thisN,experiment.thisIndex,experiment.ran,goodbye.started,goodbye.stopped
,,,,,536568,001,2024-06-17_10h43.51.470,experiment,2024.1.5,Win32,40.03202562,66477ac3eb28c24f9eb87e44,667045947eb812cbdacbf325,66704969a19cdef8085ce035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,221.738,227.951,0,0,0,0,1,SoundStimuli/BetteDavisEyes_KimCarnes_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,536568,001,2024-06-17_10h43.51.470,experiment,2024.1.5,Win32,40.03202562,66477ac3eb28c24f9eb87e44,667045947eb812cbdacbf325,66704969a19cdef8085ce035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,227.953,233.654,0,1,1,1,1,SoundStimuli/BetteDavisEyes_KimCarnes_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,536568,001,2024-06-17_10h43.51.470,experiment,2024.1.5,Win32,40.03202562,66477ac3eb28c24f9eb87e44,667045947eb812cbdacbf325,66704969a19cdef8085ce035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,233.654,235.246,5.041666667,1.57,0,10,10,5,1,song_indices/BetteDavisEyes_KimCarnes.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,536568,001,2024-06-17_10h43.51.470,experiment,2024.1.5,Win32,40.03202562,66477ac3eb28c24f9eb87e44,667045947eb812cbdacbf325,66704969a19cdef8085ce035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,235.266,241.157,0,0,0,1,1,SoundStimuli/IWillAlwaysLoveYou_WhitneyHouston_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,536568,001,2024-06-17_10h43.51.470,experiment,2024.1.5,Win32,40.03202562,66477ac3eb28c24f9eb87e44,667045947eb812cbdacbf325,66704969a19cdef8085ce035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,241.159,247.591,0,1,1,0,1,SoundStimuli/IWillAlwaysLoveYou_WhitneyHouston_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,536568,001,2024-06-17_10h43.51.470,experiment,2024.1.5,Win32,40.03202562,66477ac3eb28c24f9eb87e44,667045947eb812cbdacbf325,66704969a19cdef8085ce035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,247.592,248.717,6.991666667,1.118,0,11,11,10,1,song_indices/IWillAlwaysLoveYou_WhitneyHouston.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,536568,001,2024-06-17_10h43.51.470,experiment,2024.1.5,Win32,40.03202562,66477ac3eb28c24f9eb87e44,667045947eb812cbdacbf325,66704969a19cdef8085ce035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,248.728,254.883,0,0,0,1,1,SoundStimuli/EyeOfTheTiger_Survivor_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,536568,001,2024-06-17_10h43.51.470,experiment,2024.1.5,Win32,40.03202562,66477ac3eb28c24f9eb87e44,667045947eb812cbdacbf325,66704969a19cdef8085ce035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,254.891,260.821,0,1,1,0,1,SoundStimuli/EyeOfTheTiger_Survivor_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,536568,001,2024-06-17_10h43.51.470,experiment,2024.1.5,Win32,40.03202562,66477ac3eb28c24f9eb87e44,667045947eb812cbdacbf325,66704969a19cdef8085ce035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,260.822,262.165,5.008333333,1.339,0,12,12,11,1,song_indices/EyeOfTheTiger_Survivor.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,536568,001,2024-06-17_10h43.51.470,experiment,2024.1.5,Win32,40.03202562,66477ac3eb28c24f9eb87e44,667045947eb812cbdacbf325,66704969a19cdef8085ce035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,262.197,268.292,0,0,0,0,1,SoundStimuli/GimmeShelter_RollingStones_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
