song_id,orig_or_cover,mean_valence,sd_valence,mean_arousal,sd_arousal
2014_1,orig,6.448979591836735,1.100401905551556,6.163265306122449,1.2640368331841672
2014_2,cover,4.1020408163265305,1.3267268300719077,3.2448979591836737,1.5482599405582433
2014_2,orig,4.3061224489795915,1.7701704441551789,5.408163265306122,1.442196925800745
2014_3,cover,4.959183673469388,1.7907073052459537,4.183673469387755,1.7520638947128786
2014_3,orig,4.877551020408164,1.8555396010013785,3.224489795918367,1.7231911545449736
2014_4,cover,4.653061224489796,1.4075839289388048,3.204081632653061,1.4574462802669421
2014_4,orig,4.959183673469388,1.8592021549743385,5.183673469387755,1.7281187915832428
2014_5,cover,4.204081632653061,1.5135442928869351,5.061224489795919,1.4917573985251156
2014_5,orig,4.612244897959184,1.4834689993757346,5.142857142857143,1.1180339887498947
2015_1,cover,5.326530612244898,1.5328045524196385,5.448979591836735,1.514667517006564
2015_1,orig,5.489795918367347,1.4594869101216104,4.836734693877551,1.598787806114242
2015_2,cover,5.244897959183673,1.5073515991756585,3.387755102040816,1.6306482163367355
2015_2,orig,5.122448979591836,1.466751698215375,3.4897959183673466,1.4877618674202062
2015_3,cover,3.5510204081632653,1.646476344725759,2.9795918367346936,1.713789610755058
2015_3,orig,3.183673469387755,1.7038372059823657,2.7551020408163263,1.7857142857142858
2015_4,cover,3.836734693877551,1.7718509481084819,5.3061224489795915,1.6733708698394418
2015_4,orig,4.673469387755102,1.6880431854423537,5.448979591836735,1.7207220443004434
2015_5,cover,5.020408163265306,1.5744019488677723,4.653061224489796,1.4513071752757243
2015_5,orig,5.387755102040816,1.5112953402436522,5.163265306122449,1.2306322693286265
2016_1,cover,4.408163265306122,1.801832023096433,2.795918367346939,1.4430810764462538
2016_1,orig,4.224489795918367,1.5846306893938116,3.0816326530612246,1.8008879140333984
2016_2,cover,4,1.620185174601965,4.346938775510204,1.4655917520487993
2016_2,orig,4.081632653061225,1.565736444055927,4.326530612244898,1.477438028903988
2016_3,cover,3.5918367346938775,1.6319513798279808,2.7551020408163263,1.6141382149217423
2016_3,orig,4.816326530612245,1.4673313274410094,4.63265306122449,1.6418216198151725
2016_4,cover,4.244897959183674,1.5347449875698402,3.387755102040816,1.4261884887497083
2016_4,orig,4.959183673469388,1.5806009362669284,5.469387755102041,1.3244816724591824
2016_5,cover,3.2653061224489797,1.6301266592415655,3.9183673469387754,1.7540041654012395
2016_5,orig,4.081632653061225,1.5657364440559267,4.204081632653061,1.4716712698597512
2017_1,cover,4.673469387755102,1.573051110396089,3.36734693877551,1.481748369762058
2017_1,orig,5.142857142857143,1.4433756729740643,4.73469387755102,1.4687793997636498
2017_2,cover,4.204081632653061,1.540827589272708,3.836734693877551,1.559205710924505
2017_2,orig,4.918367346938775,1.3668201340745478,4.938775510204081,1.4348078161857614
2017_3,cover,4.571428571428571,1.670828137980285,3.0816326530612246,1.4696475582867587
2017_3,orig,5.224489795918368,1.4615246907831247,3.938775510204082,1.6254251144611633
2017_4,cover,3.0408163265306123,1.67031912711151,4.836734693877551,1.7120521163152687
2017_4,orig,3.408163265306123,1.7189915569278158,4.877551020408164,1.5361295119718976
2017_5,cover,4.653061224489796,1.8320186999610024,3.5714285714285716,1.6329931618554523
2017_5,orig,4.510204081632653,1.3404360139458331,3.714285714285714,1.732050807568877
2018_1,cover,3.4081632653061225,1.484901334361686,3.9591836734693877,1.442786419766011
2018_1,orig,3.5102040816326534,1.7335230142159428,4.163265306122449,1.5457864607742315
2018_2,cover,4.428571428571429,1.7677669529663689,2.9183673469387754,1.5921256060933857
2018_2,orig,5.081632653061225,1.5388948238627502,2.9795918367346936,1.4928970147329785
2018_3,cover,4.6938775510204085,1.4463183379511848,4.020408163265307,1.4504280390969557
2018_3,orig,5,1.5942605391424158,4.979591836734694,1.5205508310911453
2018_4,cover,3.8979591836734695,1.6862791628215024,5.551020408163265,1.5283600209837656
2018_4,orig,4.571428571428571,1.8596594670351159,4.204081632653061,1.6953317256112281
2018_5,cover,2.9591836734693873,1.903496603550395,2.2653061224489797,1.4687793997636496
2018_5,orig,3.816326530612245,1.6792045411909953,3.5510204081632653,1.708571826723954
2019_1,cover,3.836734693877551,1.6246402008792364,3.2653061224489797,1.4828956780019062
2019_1,orig,4.408163265306122,1.669809961080138,3.7142857142857144,1.7795130420052185
2019_2,cover,4.204081632653061,1.5408275892727084,3.7346938775510203,1.5380657523342105
2019_2,orig,4.714285714285714,1.5411035007422438,4.142857142857143,1.6708281379802852
2019_3,cover,3.061224489795918,1.8074863215861656,5.918367346938775,1.3819782724696623
2019_3,orig,4.244897959183674,1.7263957185045233,4.510204081632653,1.4877618674202062
2019_4,cover,3.224489795918367,1.4757103673944196,2.5714285714285716,1.4288690166235205
2019_4,orig,3.4693877551020407,1.4874760616606935,3.816326530612245,1.8334106353523554
