exp_subject_id,song_id,similarity
592404,2009_3,1
592404,2010_2,7
592404,2017_2,4
592404,2013_5,5
592404,2014_2,3
592404,2016_5,1
592404,2018_4,1
592404,2019_3,6
592404,2011_3,7
592404,2012_5,7
592404,2018_2,7
592404,2019_2,5
592404,2008_2,7
592404,2019_4,1
592404,2017_4,5
592404,2016_2,6
592404,2017_5,1
592404,2012_1,1
592404,2017_3,3
592404,2019_1,1
592404,2015_3,7
592404,2018_5,1
592404,2014_3,2
592404,2010_1,1
592404,2012_2,5
592404,2015_5,5
592404,2013_6,7
592404,2014_1,4
592404,2014_4,1
592404,2012_3,3
592404,2017_1,1
592404,2013_3,5
592404,2016_4,5
592404,2011_1,2
592404,2011_2,1
592404,2013_2,6
592404,2009_2,1
592404,2010_3,5
592404,2015_1,5
592404,2011_4,1
592404,2008_3,1
592404,2016_1,1
592404,2018_3,6
592404,2015_2,7
592404,2016_3,1
592404,2018_1,1
592404,2014_5,2
592404,2015_4,3
592406,2016_2,7
592406,2009_3,5
592406,2019_1,2
592406,2016_5,1
592406,2018_2,3
592406,2018_4,1
592406,2013_5,4
592406,2019_2,4
592406,2017_4,7
592406,2017_3,5
592406,2013_1,1
592406,2014_3,5
592406,2010_2,5
592406,2012_5,3
592406,2015_3,7
592406,2012_1,5
592406,2019_4,3
592406,2017_2,2
592406,2017_5,1
592406,2012_4,1
592406,2011_3,7
592406,2008_2,1
592406,2019_3,1
592406,2014_2,2
592406,2018_5,1
592406,2008_3,1
592406,2016_4,4
592406,2014_5,3
592406,2015_5,1
592406,2011_2,2
592406,2017_1,1
592406,2013_2,1
592406,2013_3,5
592406,2010_3,1
592406,2012_2,1
592406,2011_4,3
592406,2018_3,6
592406,2016_3,2
592406,2018_1,3
592406,2010_1,1
592406,2015_1,4
592406,2015_2,5
592406,2009_2,2
592406,2015_4,1
592406,2016_1,3
592406,2014_4,1
592406,2014_1,2
592406,2011_1,5
592406,2013_6,4
592406,2012_3,3
592408,2017_5,3
592408,2013_5,5
592408,2015_3,7
592408,2012_1,6
592408,2018_2,5
592408,2008_2,3
592408,2013_1,2
592408,2019_3,1
592408,2019_2,2
592408,2012_5,3
592408,2017_2,7
592408,2012_4,2
592408,2011_3,7
592408,2010_2,7
592408,2017_3,6
592408,2018_5,6
592408,2019_1,7
592408,2009_3,6
592408,2014_2,5
592408,2014_3,3
592408,2017_4,1
592408,2016_5,3
592408,2019_4,6
592408,2018_4,5
592408,2016_2,4
592408,2018_3,6
592408,2012_3,2
592408,2011_1,5
592408,2015_5,7
592408,2011_2,4
592408,2013_3,5
592408,2016_1,1
592408,2014_5,2
592408,2008_3,1
592408,2009_2,2
592408,2018_1,6
592408,2011_4,1
592408,2016_3,2
592408,2017_1,2
592408,2015_2,5
592408,2015_1,7
592408,2014_1,7
592408,2012_2,6
592408,2013_2,7
592408,2010_1,3
592408,2016_4,3
592408,2014_4,2
592408,2015_4,1
592408,2013_6,7
592408,2010_3,2
592409,2019_4,5
592409,2018_5,6
592409,2016_2,6
592409,2012_1,4
592409,2019_1,6
592409,2014_3,3
592409,2017_4,3
592409,2013_1,4
592409,2009_3,7
592409,2014_2,5
592409,2013_5,4
592409,2012_5,3
592409,2019_2,3
592409,2011_3,6
592409,2010_2,5
592409,2017_2,4
592409,2018_4,4
592409,2019_3,4
592409,2017_5,5
592409,2017_3,5
592409,2015_3,7
592409,2016_5,2
592409,2018_2,6
592409,2008_2,3
592409,2012_4,5
592409,2015_2,6
592409,2009_2,3
592409,2012_2,5
592409,2018_1,4
592409,2016_1,2
592409,2013_2,6
592409,2015_1,5
592409,2014_1,5
592409,2013_6,6
592409,2011_4,2
592409,2018_3,6
592409,2014_4,5
592409,2013_3,5
592409,2014_5,3
592409,2017_1,4
592409,2016_3,3
592409,2016_4,4
592409,2015_4,3
592409,2012_3,3
592409,2008_3,4
592409,2011_2,3
592409,2011_1,6
592409,2015_5,5
592409,2010_1,2
592409,2010_3,4
592412,2008_2,4
592412,2016_2,6
592412,2017_4,4
592412,2019_4,1
592412,2012_5,4
592412,2019_3,1
592412,2019_2,1
592412,2012_1,5
592412,2013_5,1
592412,2014_3,3
592412,2018_2,3
592412,2018_4,1
592412,2010_2,7
