welcome.started,welcome.stopped,space_to_continue.keys,space_to_continue.rt,space_to_continue.duration,participant,session,date,expName,psychopyVersion,OS,frameRate,PROLIFIC_PID,STUDY_ID,SESSION_ID,consent.consent,consent.consent_recontact,consent_check.started,consent_check.stopped,calibration_ready.started,calibration_ready.stopped,cal_ready.keys,cal_ready.rt,cal_ready.duration,calibration.started,calibration.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,move_on.keys,move_on.rt,move_on.duration,run_cal.thisRepN,run_cal.thisTrialN,run_cal.thisN,run_cal.thisIndex,run_cal.ran,emotion_training_ready.started,emotion_training_ready.stopped,training_move_on.keys,training_move_on.rt,training_move_on.duration,examples.started,examples.stopped,emotion_scale.started,emotion_scale.stopped,scale_next.keys,scale_next.rt,scale_next.duration,instructions.started,instructions.stopped,next.keys,next.rt,next.duration,practice_task.started,practice_task.stopped,mouse_rating_2.x,mouse_rating_2.y,mouse_rating_2.leftButton,mouse_rating_2.midButton,mouse_rating_2.rightButton,mouse_rating_2.time,mouse_rating_2.clicked_name,ready.started,ready.stopped,key_resp.keys,key_resp.rt,key_resp.duration,set_group.started,set_group.stopped,task.started,task.stopped,mouse_rating.x,mouse_rating.y,mouse_rating.leftButton,mouse_rating.midButton,mouse_rating.rightButton,mouse_rating.time,mouse_rating.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,clip,short_break.started,short_break.stopped,space_to_move_on.keys,space_to_move_on.rt,space_to_move_on.duration,instruction_reminder.started,instruction_reminder.stopped,reminder_move_on.keys,reminder_move_on.rt,reminder_move_on.duration,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,block,post_survey.age,post_survey.musician,post_survey.music_making,post_survey.listen_time,post_survey.medium,post_survey.music_seeking,post_survey.music_choice,post_survey.activities,post_survey.question1.Alternative rock,post_survey.question1.Reggae,post_survey.question1.Folk/indie,post_survey.question1.Country,post_survey.question1.A cappella,post_survey.question1.Electronic (EDM),post_survey.question1.Classic rock,post_survey.question1.Disco,post_survey.question1.Hip hop,post_survey.question1.Latin,post_survey.question1.R&B,post_survey.question1.Jazz,post_survey.question1.Classical,post_survey.question1.Pop,post_survey.question1.Metal,post_survey.question1.Ambient,post_survey.genres_ranked.text1,post_survey.genres_ranked.text2,post_survey.genres_ranked.text3,post_survey.habit_change,post_survey.habits,show_exp.thisRepN,show_exp.thisTrialN,show_exp.thisN,show_exp.thisIndex,show_exp.ran,goodbye.started,goodbye.stopped
,,,,,929959,001,2024-07-12_15h53.03.405,experiment,2024.1.5,Win32,48.07692308,657902cb3ec27ddda81b758f,6691931c2c63981b064e1f0c,6691b3aab15e4a1ba0c047e5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,294.217,302.7258,-0.212466108,-0.166937686,1,0,0,2.4997,compass,0,16,16,8,1,SoundStimuli/EndlessLove_DianaRossLionelRichie_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,929959,001,2024-07-12_15h53.03.405,experiment,2024.1.5,Win32,48.07692308,657902cb3ec27ddda81b758f,6691931c2c63981b064e1f0c,6691b3aab15e4a1ba0c047e5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,302.7341,310.4956,0.215718174,0.184281843,1,0,0,1.7495,compass,0,17,17,0,1,SoundStimuli/GimmeShelter_RollingStones_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,929959,001,2024-07-12_15h53.03.405,experiment,2024.1.5,Win32,48.07692308,657902cb3ec27ddda81b758f,6691931c2c63981b064e1f0c,6691b3aab15e4a1ba0c047e5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,310.5033,317.1411,0.16368562,0.172357678,1,0,0,0.6251,compass,0,18,18,10,1,SoundStimuli/LeFreak_Chic_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,929959,001,2024-07-12_15h53.03.405,experiment,2024.1.5,Win32,48.07692308,657902cb3ec27ddda81b758f,6691931c2c63981b064e1f0c,6691b3aab15e4a1ba0c047e5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,317.1566,325.2859,0.16368562,0.169105695,1,0,0,2.1245,compass,0,19,19,15,1,SoundStimuli/CrazyInLove_BeyonceFtJayZ_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,929959,001,2024-07-12_15h53.03.405,experiment,2024.1.5,Win32,48.07692308,657902cb3ec27ddda81b758f,6691931c2c63981b064e1f0c,6691b3aab15e4a1ba0c047e5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,325.294,337.3261,-0.229810182,0.185365858,1,0,0,6.0202,compass,0,20,20,3,1,SoundStimuli/PartyRockAnthem_LMFAO_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,929959,001,2024-07-12_15h53.03.405,experiment,2024.1.5,Win32,48.07692308,657902cb3ec27ddda81b758f,6691931c2c63981b064e1f0c,6691b3aab15e4a1ba0c047e5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,337.3336,347.2624,-0.204878065,-0.133333325,1,0,0,3.9163,compass,0,21,21,21,1,SoundStimuli/BridgeOverTroubledWater_SimonAndGarfunkel_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,929959,001,2024-07-12_15h53.03.405,experiment,2024.1.5,Win32,48.07692308,657902cb3ec27ddda81b758f,6691931c2c63981b064e1f0c,6691b3aab15e4a1ba0c047e5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,347.2811,356.8027,0.133333366,-0.135501355,1,0,0,3.5198,compass,0,22,22,27,1,SoundStimuli/EyeOfTheTiger_Survivor_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,929959,001,2024-07-12_15h53.03.405,experiment,2024.1.5,Win32,48.07692308,657902cb3ec27ddda81b758f,6691931c2c63981b064e1f0c,6691b3aab15e4a1ba0c047e5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,356.8103,363.8444,-0.222222222,-0.092140921,1,0,0,1.0212,compass,0,23,23,17,1,SoundStimuli/IWannaDanceWithSomebody_WhitneyHouston_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,929959,001,2024-07-12_15h53.03.405,experiment,2024.1.5,Win32,48.07692308,657902cb3ec27ddda81b758f,6691931c2c63981b064e1f0c,6691b3aab15e4a1ba0c047e5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363.8634,370.593,0.170189752,-0.220054234,1,0,0,0.7292,compass,0,24,24,6,1,SoundStimuli/SaveYourTears_TheWeekndArianaGrande_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,929959,001,2024-07-12_15h53.03.405,experiment,2024.1.5,Win32,48.07692308,657902cb3ec27ddda81b758f,6691931c2c63981b064e1f0c,6691b3aab15e4a1ba0c047e5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,370.6002,378.0296,-0.158265566,-0.202710077,1,0,0,1.4163,compass,0,25,25,9,1,SoundStimuli/HowDoILive_LeAnnRimes_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
