welcome.started,welcome.stopped,space_to_continue.keys,space_to_continue.rt,space_to_continue.duration,participant,session,date,expName,psychopyVersion,OS,frameRate,PROLIFIC_PID,STUDY_ID,SESSION_ID,consent.consent,consent.consent_recontact,consent_check.started,consent_check.stopped,calibration_ready.started,calibration_ready.stopped,cal_ready.keys,cal_ready.rt,cal_ready.duration,calibration.started,calibration.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,move_on.keys,move_on.rt,move_on.duration,run_cal.thisRepN,run_cal.thisTrialN,run_cal.thisN,run_cal.thisIndex,run_cal.ran,emotion_training_ready.started,emotion_training_ready.stopped,training_move_on.keys,training_move_on.rt,training_move_on.duration,examples.started,examples.stopped,emotion_scale.started,emotion_scale.stopped,scale_next.keys,scale_next.rt,scale_next.duration,instructions.started,instructions.stopped,next.keys,next.rt,next.duration,practice_task.started,practice_task.stopped,mouse_rating_2.x,mouse_rating_2.y,mouse_rating_2.leftButton,mouse_rating_2.midButton,mouse_rating_2.rightButton,mouse_rating_2.time,mouse_rating_2.clicked_name,ready.started,ready.stopped,key_resp.keys,key_resp.rt,key_resp.duration,set_group.started,set_group.stopped,task.started,task.stopped,mouse_rating.x,mouse_rating.y,mouse_rating.leftButton,mouse_rating.midButton,mouse_rating.rightButton,mouse_rating.time,mouse_rating.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,clip,short_break.started,short_break.stopped,space_to_move_on.keys,space_to_move_on.rt,space_to_move_on.duration,instruction_reminder.started,instruction_reminder.stopped,reminder_move_on.keys,reminder_move_on.rt,reminder_move_on.duration,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,block,post_survey.age,post_survey.musician,post_survey.music_making,post_survey.listen_time,post_survey.medium,post_survey.music_seeking,post_survey.music_choice,post_survey.activities,post_survey.question1.Reggae,post_survey.question1.Metal,post_survey.question1.Latin,post_survey.question1.Ambient,post_survey.question1.Pop,post_survey.question1.Hip hop,post_survey.question1.Folk/indie,post_survey.question1.Classic rock,post_survey.question1.R&B,post_survey.question1.Electronic (EDM),post_survey.question1.Alternative rock,post_survey.question1.Country,post_survey.question1.A cappella,post_survey.question1.Disco,post_survey.question1.Classical,post_survey.question1.Jazz,post_survey.other_genres,post_survey.genres_ranked.text1,post_survey.genres_ranked.text2,post_survey.genres_ranked.text3,post_survey.habit_change,post_survey.habits,show_exp.thisRepN,show_exp.thisTrialN,show_exp.thisN,show_exp.thisIndex,show_exp.ran,goodbye.started,goodbye.stopped
,,,,,964911,001,2024-07-12_16h06.38.750,experiment,2024.1.5,Win32,144.9275362,6100dfd366a4922c166c9a19,6691931c2c63981b064e1f0c,6691b66601f081bdb6eadfa2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,365.0333,371.382,0.280555584,0.287962966,1,0,0,0.3468,compass,0,16,16,4,1,SoundStimuli/GetUrFreakOn_MissyElliot_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,964911,001,2024-07-12_16h06.38.750,experiment,2024.1.5,Win32,144.9275362,6100dfd366a4922c166c9a19,6691931c2c63981b064e1f0c,6691b66601f081bdb6eadfa2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,371.3873,378.8118,0.159259302,-0.180555556,1,0,0,1.422,compass,0,17,17,15,1,SoundStimuli/TikTok_Kesha_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,964911,001,2024-07-12_16h06.38.750,experiment,2024.1.5,Win32,144.9275362,6100dfd366a4922c166c9a19,6691931c2c63981b064e1f0c,6691b66601f081bdb6eadfa2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,378.8171,387.338,-0.098148134,0.113888882,1,0,0,2.5186,compass,0,18,18,14,1,SoundStimuli/BlindingLights_TheWeeknd_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,964911,001,2024-07-12_16h06.38.750,experiment,2024.1.5,Win32,144.9275362,6100dfd366a4922c166c9a19,6691931c2c63981b064e1f0c,6691b66601f081bdb6eadfa2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,387.3437,393.6714,0.229629658,0.230555552,1,0,0,0.3259,compass,0,19,19,27,1,SoundStimuli/ShapeofYou_EdSheeran_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,964911,001,2024-07-12_16h06.38.750,experiment,2024.1.5,Win32,144.9275362,6100dfd366a4922c166c9a19,6691931c2c63981b064e1f0c,6691b66601f081bdb6eadfa2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,393.6768,401.6632,0.107407393,-0.107407393,1,0,0,1.984,compass,0,20,20,5,1,SoundStimuli/MyGirl_TheTemptations_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,964911,001,2024-07-12_16h06.38.750,experiment,2024.1.5,Win32,144.9275362,6100dfd366a4922c166c9a19,6691931c2c63981b064e1f0c,6691b66601f081bdb6eadfa2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,401.6689,410.4945,-0.137036995,0.137962942,1,0,0,2.8233,compass,0,21,21,25,1,SoundStimuli/Respect_ArethaFranklin_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,964911,001,2024-07-12_16h06.38.750,experiment,2024.1.5,Win32,144.9275362,6100dfd366a4922c166c9a19,6691931c2c63981b064e1f0c,6691b66601f081bdb6eadfa2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,410.5002,418.6872,-0.122222194,-0.098148134,1,0,0,2.1853,compass,0,22,22,17,1,SoundStimuli/Fallin_AliciaKeys_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,964911,001,2024-07-12_16h06.38.750,experiment,2024.1.5,Win32,144.9275362,6100dfd366a4922c166c9a19,6691931c2c63981b064e1f0c,6691b66601f081bdb6eadfa2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,418.6929,425.2568,0.183333362,0.189814815,1,0,0,0.5618,compass,0,23,23,29,1,SoundStimuli/OldTownRoad_LilNasX_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,964911,001,2024-07-12_16h06.38.750,experiment,2024.1.5,Win32,144.9275362,6100dfd366a4922c166c9a19,6691931c2c63981b064e1f0c,6691b66601f081bdb6eadfa2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,425.2621,433.4289,-0.094444416,-0.08425928,1,0,0,2.1643,compass,0,24,24,20,1,SoundStimuli/HeyYa_Outkast_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,964911,001,2024-07-12_16h06.38.750,experiment,2024.1.5,Win32,144.9275362,6100dfd366a4922c166c9a19,6691931c2c63981b064e1f0c,6691b66601f081bdb6eadfa2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,433.4346,440.0818,0.10555557,0.142592571,1,0,0,0.6449,compass,0,25,25,22,1,SoundStimuli/RockWithYou_MichaelJackson_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
