welcome.started,welcome.stopped,space_to_continue.keys,space_to_continue.rt,space_to_continue.duration,participant,session,date,expName,psychopyVersion,OS,frameRate,PROLIFIC_PID,STUDY_ID,SESSION_ID,consent.consent,consent.consent_recontact,consent_check.started,consent_check.stopped,calibration_ready.started,calibration_ready.stopped,cal_ready.keys,cal_ready.rt,cal_ready.duration,calibration.started,calibration.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,move_on.keys,move_on.rt,move_on.duration,run_cal.thisRepN,run_cal.thisTrialN,run_cal.thisN,run_cal.thisIndex,run_cal.ran,emotion_training_ready.started,emotion_training_ready.stopped,training_move_on.keys,training_move_on.rt,training_move_on.duration,examples.started,examples.stopped,emotion_scale.started,emotion_scale.stopped,scale_next.keys,scale_next.rt,scale_next.duration,instructions.started,instructions.stopped,next.keys,next.rt,next.duration,practice_task.started,practice_task.stopped,mouse_rating_2.x,mouse_rating_2.y,mouse_rating_2.leftButton,mouse_rating_2.midButton,mouse_rating_2.rightButton,mouse_rating_2.time,mouse_rating_2.clicked_name,ready.started,ready.stopped,key_resp.keys,key_resp.rt,key_resp.duration,set_group.started,set_group.stopped,task.started,task.stopped,mouse_rating.x,mouse_rating.y,mouse_rating.leftButton,mouse_rating.midButton,mouse_rating.rightButton,mouse_rating.time,mouse_rating.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,clip,short_break.started,short_break.stopped,space_to_move_on.keys,space_to_move_on.rt,space_to_move_on.duration,instruction_reminder.started,instruction_reminder.stopped,reminder_move_on.keys,reminder_move_on.rt,reminder_move_on.duration,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,block,post_survey.age,post_survey.musician,post_survey.music_making,post_survey.listen_time,post_survey.medium,post_survey.music_seeking,post_survey.music_choice,post_survey.activities,post_survey.question1.Reggae,post_survey.question1.Disco,post_survey.question1.Hip hop,post_survey.question1.Folk/indie,post_survey.question1.Metal,post_survey.question1.Electronic (EDM),post_survey.question1.Latin,post_survey.question1.Alternative rock,post_survey.question1.Country,post_survey.question1.R&B,post_survey.question1.Classic rock,post_survey.question1.Classical,post_survey.question1.A cappella,post_survey.question1.Ambient,post_survey.question1.Jazz,post_survey.question1.Pop,post_survey.other_genres,post_survey.genres_ranked.text1,post_survey.genres_ranked.text2,post_survey.genres_ranked.text3,post_survey.habit_change,post_survey.habits,show_exp.thisRepN,show_exp.thisTrialN,show_exp.thisN,show_exp.thisIndex,show_exp.ran,goodbye.started,goodbye.stopped
,,,,,901377,001,2024-07-12_15h55.30.425,experiment,2024.1.5,Win32,14.12429379,5bc6e0f93808a50001649d75,6691931c2c63981b064e1f0c,6691b29af5a9621f77201ba4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,407.5704,415.211,0.162962949,-0.340740769,1,0,0,1.5789,compass,0,16,16,34,1,SoundStimuli/Irreplaceable_Beyonce_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,901377,001,2024-07-12_15h55.30.425,experiment,2024.1.5,Win32,14.12429379,5bc6e0f93808a50001649d75,6691931c2c63981b064e1f0c,6691b29af5a9621f77201ba4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,415.2164,421.6973,0.244444459,0.319444444,1,0,0,0.4015,compass,0,17,17,31,1,SoundStimuli/TossinAndTurnin_BobbyLewis_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,901377,001,2024-07-12_15h55.30.425,experiment,2024.1.5,Win32,14.12429379,5bc6e0f93808a50001649d75,6691931c2c63981b064e1f0c,6691b29af5a9621f77201ba4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,421.7045,428.1592,-0.324999986,-0.131481524,1,0,0,0.3908,compass,0,18,18,6,1,SoundStimuli/SaveYourTears_TheWeekndArianaGrande_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,901377,001,2024-07-12_15h55.30.425,experiment,2024.1.5,Win32,14.12429379,5bc6e0f93808a50001649d75,6691931c2c63981b064e1f0c,6691b29af5a9621f77201ba4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,428.1661,434.4518,-0.336111104,0.067592586,1,0,0,0.2037,compass,0,19,19,9,1,SoundStimuli/HowDoILive_LeAnnRimes_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,901377,001,2024-07-12_15h55.30.425,experiment,2024.1.5,Win32,14.12429379,5bc6e0f93808a50001649d75,6691931c2c63981b064e1f0c,6691b29af5a9621f77201ba4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,434.4571,440.8999,-0.332407386,-0.067592586,1,0,0,0.3862,compass,0,20,20,29,1,SoundStimuli/BetteDavisEyes_KimCarnes_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,901377,001,2024-07-12_15h55.30.425,experiment,2024.1.5,Win32,14.12429379,5bc6e0f93808a50001649d75,6691931c2c63981b064e1f0c,6691b29af5a9621f77201ba4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,440.9058,447.3201,-0.252777735,-0.185185185,1,0,0,0.406,compass,0,21,21,12,1,SoundStimuli/UnbreakMyHeart_ToniBraxton_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,901377,001,2024-07-12_15h55.30.425,experiment,2024.1.5,Win32,14.12429379,5bc6e0f93808a50001649d75,6691931c2c63981b064e1f0c,6691b29af5a9621f77201ba4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,447.3253,453.9388,0.156481496,-0.056481503,1,0,0,0.5908,compass,0,22,22,4,1,SoundStimuli/Dreams_FleetwoodMac_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,901377,001,2024-07-12_15h55.30.425,experiment,2024.1.5,Win32,14.12429379,5bc6e0f93808a50001649d75,6691931c2c63981b064e1f0c,6691b29af5a9621f77201ba4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,453.9442,460.2872,0.337962963,0.203703704,1,0,0,0.3125,compass,0,23,23,22,1,SoundStimuli/Happy_PharellWilliams_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,901377,001,2024-07-12_15h55.30.425,experiment,2024.1.5,Win32,14.12429379,5bc6e0f93808a50001649d75,6691931c2c63981b064e1f0c,6691b29af5a9621f77201ba4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,460.2925,466.3944,0.026851866,0.337037034,1,0,0,0.1016,compass,0,24,24,10,1,SoundStimuli/LeFreak_Chic_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,901377,001,2024-07-12_15h55.30.425,experiment,2024.1.5,Win32,14.12429379,5bc6e0f93808a50001649d75,6691931c2c63981b064e1f0c,6691b29af5a9621f77201ba4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,466.4004,473.2626,0.266666695,-0.256481524,1,0,0,0.8029,compass,0,25,25,19,1,SoundStimuli/YouLightUpMyLife_DebbyBoone_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
