welcome.started,welcome.stopped,space_to_continue.keys,space_to_continue.rt,space_to_continue.duration,participant,session,date,expName,psychopyVersion,OS,frameRate,PROLIFIC_PID,STUDY_ID,SESSION_ID,consent.consent,consent.consent_recontact,consent_check.started,consent_check.stopped,calibration_ready.started,calibration_ready.stopped,cal_ready.keys,cal_ready.rt,cal_ready.duration,calibration.started,calibration.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,move_on.keys,move_on.rt,move_on.duration,run_cal.thisRepN,run_cal.thisTrialN,run_cal.thisN,run_cal.thisIndex,run_cal.ran,emotion_training_ready.started,emotion_training_ready.stopped,training_move_on.keys,training_move_on.rt,training_move_on.duration,examples.started,examples.stopped,emotion_scale.started,emotion_scale.stopped,scale_next.keys,scale_next.rt,scale_next.duration,instructions.started,instructions.stopped,next.keys,next.rt,next.duration,practice_task.started,practice_task.stopped,mouse_rating_2.x,mouse_rating_2.y,mouse_rating_2.leftButton,mouse_rating_2.midButton,mouse_rating_2.rightButton,mouse_rating_2.time,mouse_rating_2.clicked_name,ready.started,ready.stopped,key_resp.keys,key_resp.rt,key_resp.duration,set_group.started,set_group.stopped,task.started,task.stopped,mouse_rating.x,mouse_rating.y,mouse_rating.leftButton,mouse_rating.midButton,mouse_rating.rightButton,mouse_rating.time,mouse_rating.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,clip,short_break.started,short_break.stopped,space_to_move_on.keys,space_to_move_on.rt,space_to_move_on.duration,instruction_reminder.started,instruction_reminder.stopped,reminder_move_on.keys,reminder_move_on.rt,reminder_move_on.duration,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,block,post_survey.age,post_survey.musician,post_survey.music_making,post_survey.listen_time,post_survey.medium,post_survey.music_seeking,post_survey.music_choice,post_survey.activities,post_survey.question1.Hip hop,post_survey.question1.Classical,post_survey.question1.Metal,post_survey.question1.Reggae,post_survey.question1.A cappella,post_survey.question1.Jazz,post_survey.question1.Pop,post_survey.question1.Folk/indie,post_survey.question1.Electronic (EDM),post_survey.question1.R&B,post_survey.question1.Country,post_survey.question1.Latin,post_survey.question1.Alternative rock,post_survey.question1.Classic rock,post_survey.question1.Ambient,post_survey.question1.Disco,post_survey.other_genres,post_survey.genres_ranked.text1,post_survey.genres_ranked.text2,post_survey.genres_ranked.text3,post_survey.habit_change,post_survey.habits,show_exp.thisRepN,show_exp.thisTrialN,show_exp.thisN,show_exp.thisIndex,show_exp.ran,goodbye.started,goodbye.stopped
,,,,,775216,001,2024-07-12_16h54.22.745,experiment,2024.1.5,MacIntel,62.5,660c14efb98166fe9a990e1e,6691931c2c63981b064e1f0c,6691b135edd2622f923b0f9e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,350.551,357.585,0.001111111,-0.001111111,1,0,0,1.032,compass,0,13,13,30,1,SoundStimuli/PokerFace_LadyGaga_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,775216,001,2024-07-12_16h54.22.745,experiment,2024.1.5,MacIntel,62.5,660c14efb98166fe9a990e1e,6691931c2c63981b064e1f0c,6691b135edd2622f923b0f9e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,357.585,366.135,-0.095555556,0.046666667,1,0,0,2.549,compass,0,14,14,4,1,SoundStimuli/GetUrFreakOn_MissyElliot_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,775216,001,2024-07-12_16h54.22.745,experiment,2024.1.5,MacIntel,62.5,660c14efb98166fe9a990e1e,6691931c2c63981b064e1f0c,6691b135edd2622f923b0f9e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,366.136,374.385,0.342222222,-0.341111111,1,0,0,2.233,compass,0,15,15,19,1,SoundStimuli/LetsGetItOn_MarvinGaye_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,775216,001,2024-07-12_16h54.22.745,experiment,2024.1.5,MacIntel,62.5,660c14efb98166fe9a990e1e,6691931c2c63981b064e1f0c,6691b135edd2622f923b0f9e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,374.386,383.136,0.285555556,0.054444444,1,0,0,2.749,compass,0,16,16,12,1,SoundStimuli/IWillAlwaysLoveYou_WhitneyHouston_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,775216,001,2024-07-12_16h54.22.745,experiment,2024.1.5,MacIntel,62.5,660c14efb98166fe9a990e1e,6691931c2c63981b064e1f0c,6691b135edd2622f923b0f9e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,383.136,393.32,0.001111111,-0.003333333,1,0,0,4.183,compass,0,17,17,28,1,SoundStimuli/ComeAndGetYourLove_Redbone_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,775216,001,2024-07-12_16h54.22.745,experiment,2024.1.5,MacIntel,62.5,660c14efb98166fe9a990e1e,6691931c2c63981b064e1f0c,6691b135edd2622f923b0f9e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,393.32,401.17,0.323333333,0.314444444,1,0,0,1.849,compass,0,18,18,9,1,SoundStimuli/Despacito_LuisFonsiDaddyYankee_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,775216,001,2024-07-12_16h54.22.745,experiment,2024.1.5,MacIntel,62.5,660c14efb98166fe9a990e1e,6691931c2c63981b064e1f0c,6691b135edd2622f923b0f9e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,401.171,408.821,0.095555556,0.026666667,1,0,0,1.649,compass,0,19,19,32,1,SoundStimuli/HeatWaves_GlassAnimals_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,775216,001,2024-07-12_16h54.22.745,experiment,2024.1.5,MacIntel,62.5,660c14efb98166fe9a990e1e,6691931c2c63981b064e1f0c,6691b135edd2622f923b0f9e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,408.821,417.105,0.338888889,-0.34,1,0,0,2.283,compass,0,20,20,34,1,SoundStimuli/AChangeIsGonnaCome_SamCooke_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,775216,001,2024-07-12_16h54.22.745,experiment,2024.1.5,MacIntel,62.5,660c14efb98166fe9a990e1e,6691931c2c63981b064e1f0c,6691b135edd2622f923b0f9e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,417.105,431.24,-0.183333333,-0.248888889,1,0,0,8.133,compass,0,21,21,8,1,SoundStimuli/LikeAPrayer_Madonna_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,775216,001,2024-07-12_16h54.22.745,experiment,2024.1.5,MacIntel,62.5,660c14efb98166fe9a990e1e,6691931c2c63981b064e1f0c,6691b135edd2622f923b0f9e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,431.24,439.456,0.336666667,-0.258888889,1,0,0,2.199,compass,0,22,22,17,1,SoundStimuli/Fallin_AliciaKeys_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
