welcome.started,welcome.stopped,space_to_continue.keys,space_to_continue.rt,space_to_continue.duration,participant,session,date,expName,psychopyVersion,OS,frameRate,PROLIFIC_PID,STUDY_ID,SESSION_ID,consent.consent,consent.consent_recontact,consent_check.started,consent_check.stopped,calibration_ready.started,calibration_ready.stopped,cal_ready.keys,cal_ready.rt,cal_ready.duration,calibration.started,calibration.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,move_on.keys,move_on.rt,move_on.duration,run_cal.thisRepN,run_cal.thisTrialN,run_cal.thisN,run_cal.thisIndex,run_cal.ran,emotion_training_ready.started,emotion_training_ready.stopped,training_move_on.keys,training_move_on.rt,training_move_on.duration,examples.started,examples.stopped,emotion_scale.started,emotion_scale.stopped,scale_next.keys,scale_next.rt,scale_next.duration,instructions.started,instructions.stopped,next.keys,next.rt,next.duration,practice_task.started,practice_task.stopped,mouse_rating_2.x,mouse_rating_2.y,mouse_rating_2.leftButton,mouse_rating_2.midButton,mouse_rating_2.rightButton,mouse_rating_2.time,mouse_rating_2.clicked_name,ready.started,ready.stopped,key_resp.keys,key_resp.rt,key_resp.duration,set_group.started,set_group.stopped,task.started,task.stopped,mouse_rating.x,mouse_rating.y,mouse_rating.leftButton,mouse_rating.midButton,mouse_rating.rightButton,mouse_rating.time,mouse_rating.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,clip,short_break.started,short_break.stopped,space_to_move_on.keys,space_to_move_on.rt,space_to_move_on.duration,instruction_reminder.started,instruction_reminder.stopped,reminder_move_on.keys,reminder_move_on.rt,reminder_move_on.duration,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,block,post_survey.age,post_survey.musician,post_survey.music_making,post_survey.listen_time,post_survey.medium,post_survey.music_seeking,post_survey.music_choice,post_survey.activities,post_survey.question1.Folk/indie,post_survey.question1.Classic rock,post_survey.question1.Alternative rock,post_survey.question1.Ambient,post_survey.question1.Pop,post_survey.question1.A cappella,post_survey.question1.Country,post_survey.question1.Metal,post_survey.question1.Latin,post_survey.question1.Hip hop,post_survey.question1.Classical,post_survey.question1.R&B,post_survey.question1.Disco,post_survey.question1.Reggae,post_survey.question1.Jazz,post_survey.question1.Electronic (EDM),post_survey.genres_ranked.text1,post_survey.genres_ranked.text2,post_survey.genres_ranked.text3,post_survey.habit_change,post_survey.habits,show_exp.thisRepN,show_exp.thisTrialN,show_exp.thisN,show_exp.thisIndex,show_exp.ran,goodbye.started,goodbye.stopped
,,,,,948793,001,2024-07-12_19h36.01.646,experiment,2024.1.5,Win32,60.24096386,57e4d48d6c447e000116b22a,6691931c2c63981b064e1f0c,6691bd49f05f8af21da73491,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,309.716,318.1266,0.340719407,0.323021583,1,0,0,2.3998,compass,0,12,12,33,1,SoundStimuli/StandByMe_BenEKing_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,948793,001,2024-07-12_19h36.01.646,experiment,2024.1.5,Win32,60.24096386,57e4d48d6c447e000116b22a,6691931c2c63981b064e1f0c,6691bd49f05f8af21da73491,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,318.1318,327.0769,0.021870521,0.222877689,1,0,0,2.9333,compass,0,13,13,17,1,SoundStimuli/Fallin_AliciaKeys_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,948793,001,2024-07-12_19h36.01.646,experiment,2024.1.5,Win32,60.24096386,57e4d48d6c447e000116b22a,6691931c2c63981b064e1f0c,6691bd49f05f8af21da73491,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,327.0831,335.0099,0.141582769,-0.243309405,1,0,0,1.9148,compass,0,14,14,34,1,SoundStimuli/AChangeIsGonnaCome_SamCooke_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,948793,001,2024-07-12_19h36.01.646,experiment,2024.1.5,Win32,60.24096386,57e4d48d6c447e000116b22a,6691931c2c63981b064e1f0c,6691bd49f05f8af21da73491,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,335.016,342.4933,0.067913687,0.278129479,1,0,0,1.4665,compass,0,15,15,3,1,SoundStimuli/NoScrubs_TLC_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,948793,001,2024-07-12_19h36.01.646,experiment,2024.1.5,Win32,60.24096386,57e4d48d6c447e000116b22a,6691931c2c63981b064e1f0c,6691bd49f05f8af21da73491,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,342.4987,349.5266,0.013813002,0.288489209,1,0,0,1.0143,compass,0,16,16,4,1,SoundStimuli/GetUrFreakOn_MissyElliot_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,948793,001,2024-07-12_19h36.01.646,experiment,2024.1.5,Win32,60.24096386,57e4d48d6c447e000116b22a,6691931c2c63981b064e1f0c,6691bd49f05f8af21da73491,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349.5314,356.2608,0.320000035,0.243597105,1,0,0,0.7154,compass,0,17,17,31,1,SoundStimuli/TheBattleOfNewOrleans_JohnnyHorton_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,948793,001,2024-07-12_19h36.01.646,experiment,2024.1.5,Win32,60.24096386,57e4d48d6c447e000116b22a,6691931c2c63981b064e1f0c,6691bd49f05f8af21da73491,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,356.2665,362.7942,0.345323741,0.336834508,1,0,0,0.5175,compass,0,18,18,6,1,SoundStimuli/Levitating_DuaLipa_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,948793,001,2024-07-12_19h36.01.646,experiment,2024.1.5,Win32,60.24096386,57e4d48d6c447e000116b22a,6691931c2c63981b064e1f0c,6691bd49f05f8af21da73491,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,362.7991,372.1112,0.214100702,-0.087913766,1,0,0,3.2987,compass,0,19,19,14,1,SoundStimuli/BlindingLights_TheWeeknd_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,948793,001,2024-07-12_19h36.01.646,experiment,2024.1.5,Win32,60.24096386,57e4d48d6c447e000116b22a,6691931c2c63981b064e1f0c,6691bd49f05f8af21da73491,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,372.1165,378.7767,-0.187625847,-0.081007221,1,0,0,0.6476,compass,0,20,20,18,1,SoundStimuli/AnotherOneBitesTheDust_Queen_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,948793,001,2024-07-12_19h36.01.646,experiment,2024.1.5,Win32,60.24096386,57e4d48d6c447e000116b22a,6691931c2c63981b064e1f0c,6691bd49f05f8af21da73491,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,378.7823,387.1942,0.122014371,-0.079856115,1,0,0,2.3987,compass,0,21,21,28,1,SoundStimuli/ComeAndGetYourLove_Redbone_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,948793,001,2024-07-12_19h36.01.646,experiment,2024.1.5,Win32,60.24096386,57e4d48d6c447e000116b22a,6691931c2c63981b064e1f0c,6691bd49f05f8af21da73491,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,387.1997,397.1609,0.08057554,0.25625898,1,0,0,3.9483,compass,0,22,22,8,1,SoundStimuli/LikeAPrayer_Madonna_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,948793,001,2024-07-12_19h36.01.646,experiment,2024.1.5,Win32,60.24096386,57e4d48d6c447e000116b22a,6691931c2c63981b064e1f0c,6691bd49f05f8af21da73491,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,397.1666,405.0606,-0.332661888,-0.074100719,1,0,0,1.8812,compass,0,23,23,10,1,SoundStimuli/BadDay_DanielPowter_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,948793,001,2024-07-12_19h36.01.646,experiment,2024.1.5,Win32,60.24096386,57e4d48d6c447e000116b22a,6691931c2c63981b064e1f0c,6691bd49f05f8af21da73491,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,405.0658,414.5607,0.287769784,0.104316547,1,0,0,3.4819,compass,0,24,24,25,1,SoundStimuli/Respect_ArethaFranklin_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,948793,001,2024-07-12_19h36.01.646,experiment,2024.1.5,Win32,60.24096386,57e4d48d6c447e000116b22a,6691931c2c63981b064e1f0c,6691bd49f05f8af21da73491,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,414.5666,421.8605,0.302733848,0.001870486,1,0,0,1.2835,compass,0,25,25,27,1,SoundStimuli/ShapeofYou_EdSheeran_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,948793,001,2024-07-12_19h36.01.646,experiment,2024.1.5,Win32,60.24096386,57e4d48d6c447e000116b22a,6691931c2c63981b064e1f0c,6691bd49f05f8af21da73491,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,421.8667,428.6941,0.310791367,0.294244604,1,0,0,0.8173,compass,0,26,26,26,1,SoundStimuli/LivinOnAPrayer_BonJovi_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,948793,001,2024-07-12_19h36.01.646,experiment,2024.1.5,Win32,60.24096386,57e4d48d6c447e000116b22a,6691931c2c63981b064e1f0c,6691bd49f05f8af21da73491,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,428.6993,436.8612,0.298129514,-0.00388491,1,0,0,2.1483,compass,0,27,27,0,1,SoundStimuli/StayinAlive_BeeGees_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
