welcome.started,welcome.stopped,space_to_continue.keys,space_to_continue.rt,space_to_continue.duration,participant,session,date,expName,psychopyVersion,OS,frameRate,PROLIFIC_PID,STUDY_ID,SESSION_ID,consent.consent,consent.consent_recontact,consent_check.started,consent_check.stopped,calibration_ready.started,calibration_ready.stopped,cal_ready.keys,cal_ready.rt,cal_ready.duration,calibration.started,calibration.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,move_on.keys,move_on.rt,move_on.duration,run_cal.thisRepN,run_cal.thisTrialN,run_cal.thisN,run_cal.thisIndex,run_cal.ran,emotion_training_ready.started,emotion_training_ready.stopped,training_move_on.keys,training_move_on.rt,training_move_on.duration,examples.started,examples.stopped,emotion_scale.started,emotion_scale.stopped,scale_next.keys,scale_next.rt,scale_next.duration,instructions.started,instructions.stopped,next.keys,next.rt,next.duration,practice_task.started,practice_task.stopped,mouse_rating_2.x,mouse_rating_2.y,mouse_rating_2.leftButton,mouse_rating_2.midButton,mouse_rating_2.rightButton,mouse_rating_2.time,mouse_rating_2.clicked_name,ready.started,ready.stopped,key_resp.keys,key_resp.rt,key_resp.duration,set_group.started,set_group.stopped,task.started,task.stopped,mouse_rating.x,mouse_rating.y,mouse_rating.leftButton,mouse_rating.midButton,mouse_rating.rightButton,mouse_rating.time,mouse_rating.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,clip,short_break.started,short_break.stopped,space_to_move_on.keys,space_to_move_on.rt,space_to_move_on.duration,instruction_reminder.started,instruction_reminder.stopped,reminder_move_on.keys,reminder_move_on.rt,reminder_move_on.duration,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,block,post_survey.age,post_survey.musician,post_survey.music_making,post_survey.listen_time,post_survey.medium,post_survey.music_seeking,post_survey.music_choice,post_survey.activities,post_survey.question1.Country,post_survey.question1.Alternative rock,post_survey.question1.Folk/indie,post_survey.question1.Jazz,post_survey.question1.Latin,post_survey.question1.Classical,post_survey.question1.Metal,post_survey.question1.A cappella,post_survey.question1.Hip hop,post_survey.question1.Reggae,post_survey.question1.R&B,post_survey.question1.Classic rock,post_survey.question1.Electronic (EDM),post_survey.question1.Disco,post_survey.question1.Pop,post_survey.question1.Ambient,post_survey.genres_ranked.text1,post_survey.genres_ranked.text2,post_survey.genres_ranked.text3,post_survey.habit_change,show_exp.thisRepN,show_exp.thisTrialN,show_exp.thisN,show_exp.thisIndex,show_exp.ran,goodbye.started,goodbye.stopped
,,,,,888007,001,2024-07-12_18h51.45.908,experiment,2024.1.5,MacIntel,30.3030303,5ea63ad9c8854764e110b128,6691931c2c63981b064e1f0c,6691b34ca8d561924cf6513a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,488.442,496.409,0.109821429,-0.166071429,1,0,0,1.933,compass,0,16,16,5,1,SoundStimuli/MyGirl_TheTemptations_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,888007,001,2024-07-12_18h51.45.908,experiment,2024.1.5,MacIntel,30.3030303,5ea63ad9c8854764e110b128,6691931c2c63981b064e1f0c,6691b34ca8d561924cf6513a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,496.41,502.743,0.172321429,0.222321429,1,0,0,0.3,compass,0,17,17,32,1,SoundStimuli/HeatWaves_GlassAnimals_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,888007,001,2024-07-12_18h51.45.908,experiment,2024.1.5,MacIntel,30.3030303,5ea63ad9c8854764e110b128,6691931c2c63981b064e1f0c,6691b34ca8d561924cf6513a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,502.743,509.343,0.1,-0.251785714,1,0,0,0.566,compass,0,18,18,31,1,SoundStimuli/TheBattleOfNewOrleans_JohnnyHorton_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,888007,001,2024-07-12_18h51.45.908,experiment,2024.1.5,MacIntel,30.3030303,5ea63ad9c8854764e110b128,6691931c2c63981b064e1f0c,6691b34ca8d561924cf6513a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,509.343,515.742,-0.1,-0.18125,1,0,0,0.366,compass,0,19,19,18,1,SoundStimuli/AnotherOneBitesTheDust_Queen_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,888007,001,2024-07-12_18h51.45.908,experiment,2024.1.5,MacIntel,30.3030303,5ea63ad9c8854764e110b128,6691931c2c63981b064e1f0c,6691b34ca8d561924cf6513a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,515.743,524.209,-0.092857143,0.108035714,1,0,0,2.433,compass,0,20,20,28,1,SoundStimuli/ComeAndGetYourLove_Redbone_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,888007,001,2024-07-12_18h51.45.908,experiment,2024.1.5,MacIntel,30.3030303,5ea63ad9c8854764e110b128,6691931c2c63981b064e1f0c,6691b34ca8d561924cf6513a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,524.209,531.776,0.132142857,-0.204464286,1,0,0,1.567,compass,0,21,21,27,1,SoundStimuli/ShapeofYou_EdSheeran_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,888007,001,2024-07-12_18h51.45.908,experiment,2024.1.5,MacIntel,30.3030303,5ea63ad9c8854764e110b128,6691931c2c63981b064e1f0c,6691b34ca8d561924cf6513a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,531.776,538.51,0.132142857,0.052678571,1,0,0,0.7,compass,0,22,22,16,1,SoundStimuli/BohemianRhapsody_Queen_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,888007,001,2024-07-12_18h51.45.908,experiment,2024.1.5,MacIntel,30.3030303,5ea63ad9c8854764e110b128,6691931c2c63981b064e1f0c,6691b34ca8d561924cf6513a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,538.51,545.475,-0.057142857,-0.135714286,1,0,0,0.933,compass,0,23,23,14,1,SoundStimuli/BlindingLights_TheWeeknd_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,888007,001,2024-07-12_18h51.45.908,experiment,2024.1.5,MacIntel,30.3030303,5ea63ad9c8854764e110b128,6691931c2c63981b064e1f0c,6691b34ca8d561924cf6513a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,545.475,552.543,0.148214286,-0.040178571,1,0,0,1.066,compass,0,24,24,13,1,SoundStimuli/GodOnlyKnows_TheBeachBoys_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,888007,001,2024-07-12_18h51.45.908,experiment,2024.1.5,MacIntel,30.3030303,5ea63ad9c8854764e110b128,6691931c2c63981b064e1f0c,6691b34ca8d561924cf6513a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,552.543,561.143,-0.238392857,0.191964286,1,0,0,2.6,compass,0,25,25,26,1,SoundStimuli/LivinOnAPrayer_BonJovi_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
