welcome.started,welcome.stopped,space_to_continue.keys,space_to_continue.rt,space_to_continue.duration,participant,session,date,expName,psychopyVersion,OS,frameRate,PROLIFIC_PID,STUDY_ID,SESSION_ID,consent.consent,consent.consent_recontact,consent_check.started,consent_check.stopped,calibration_ready.started,calibration_ready.stopped,cal_ready.keys,cal_ready.rt,cal_ready.duration,calibration.started,calibration.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,move_on.keys,move_on.rt,move_on.duration,run_cal.thisRepN,run_cal.thisTrialN,run_cal.thisN,run_cal.thisIndex,run_cal.ran,emotion_training_ready.started,emotion_training_ready.stopped,training_move_on.keys,training_move_on.rt,training_move_on.duration,examples.started,examples.stopped,emotion_scale.started,emotion_scale.stopped,scale_next.keys,scale_next.rt,scale_next.duration,instructions.started,instructions.stopped,next.keys,next.rt,next.duration,practice_task.started,practice_task.stopped,mouse_rating_2.x,mouse_rating_2.y,mouse_rating_2.leftButton,mouse_rating_2.midButton,mouse_rating_2.rightButton,mouse_rating_2.time,mouse_rating_2.clicked_name,ready.started,ready.stopped,key_resp.keys,key_resp.rt,key_resp.duration,set_group.started,set_group.stopped,task.started,task.stopped,mouse_rating.x,mouse_rating.y,mouse_rating.leftButton,mouse_rating.midButton,mouse_rating.rightButton,mouse_rating.time,mouse_rating.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,clip,short_break.started,short_break.stopped,space_to_move_on.keys,space_to_move_on.rt,space_to_move_on.duration,instruction_reminder.started,instruction_reminder.stopped,reminder_move_on.keys,reminder_move_on.rt,reminder_move_on.duration,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,block,post_survey.age,post_survey.musician,post_survey.listen_time,post_survey.music_making,post_survey.medium,post_survey.music_seeking,post_survey.music_choice,post_survey.activities,post_survey.question1.Disco,post_survey.question1.Pop,post_survey.question1.Classic rock,post_survey.question1.Jazz,post_survey.question1.Ambient,post_survey.question1.Electronic (EDM),post_survey.question1.Alternative rock,post_survey.question1.Country,post_survey.question1.R&B,post_survey.question1.A cappella,post_survey.question1.Folk/indie,post_survey.question1.Reggae,post_survey.question1.Latin,post_survey.question1.Hip hop,post_survey.question1.Metal,post_survey.question1.Classical,post_survey.other_genres,post_survey.genres_ranked.text1,post_survey.genres_ranked.text2,post_survey.genres_ranked.text3,post_survey.habit_change,show_exp.thisRepN,show_exp.thisTrialN,show_exp.thisN,show_exp.thisIndex,show_exp.ran,goodbye.started,goodbye.stopped
,,,,,614933,001,2024-07-12_19h33.02.080,experiment,2024.1.5,Win32,59.88023952,6333dafae0a6b172dd2bd2af,6691931c2c63981b064e1f0c,6691bd0df74762198a268168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,375.281,382.1434,0.317592593,0.32037037,1,0,0,0.8501,compass,0,16,16,27,1,SoundStimuli/EyeOfTheTiger_Survivor_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,614933,001,2024-07-12_19h33.02.080,experiment,2024.1.5,Win32,59.88023952,6333dafae0a6b172dd2bd2af,6691931c2c63981b064e1f0c,6691bd0df74762198a268168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,382.148,389.9603,0.284259259,0.292592593,1,0,0,1.8,compass,0,17,17,11,1,SoundStimuli/BlurredLines_RobinThicke_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,614933,001,2024-07-12_19h33.02.080,experiment,2024.1.5,Win32,59.88023952,6333dafae0a6b172dd2bd2af,6691931c2c63981b064e1f0c,6691bd0df74762198a268168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,389.9649,399.8604,-0.238888889,0.016666667,1,0,0,3.8834,compass,0,18,18,33,1,SoundStimuli/TheBoyIsMine_BrandyMonica_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,614933,001,2024-07-12_19h33.02.080,experiment,2024.1.5,Win32,59.88023952,6333dafae0a6b172dd2bd2af,6691931c2c63981b064e1f0c,6691bd0df74762198a268168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,399.8652,408.5769,-0.149074074,-0.162037037,1,0,0,2.6999,compass,0,19,19,4,1,SoundStimuli/Dreams_FleetwoodMac_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,614933,001,2024-07-12_19h33.02.080,experiment,2024.1.5,Win32,59.88023952,6333dafae0a6b172dd2bd2af,6691931c2c63981b064e1f0c,6691bd0df74762198a268168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,408.5814,419.0104,-0.002777778,-0.166666667,1,0,0,4.4166,compass,0,20,20,32,1,SoundStimuli/Dilemma_NellyKellyRowland_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,614933,001,2024-07-12_19h33.02.080,experiment,2024.1.5,Win32,59.88023952,6333dafae0a6b172dd2bd2af,6691931c2c63981b064e1f0c,6691bd0df74762198a268168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,419.0154,427.3607,-0.025925926,0.266666667,1,0,0,2.3333,compass,0,21,21,31,1,SoundStimuli/TossinAndTurnin_BobbyLewis_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,614933,001,2024-07-12_19h33.02.080,experiment,2024.1.5,Win32,59.88023952,6333dafae0a6b172dd2bd2af,6691931c2c63981b064e1f0c,6691bd0df74762198a268168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,427.3653,436.0107,0.175925926,0.319444444,1,0,0,2.6335,compass,0,22,22,10,1,SoundStimuli/LeFreak_Chic_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,614933,001,2024-07-12_19h33.02.080,experiment,2024.1.5,Win32,59.88023952,6333dafae0a6b172dd2bd2af,6691931c2c63981b064e1f0c,6691bd0df74762198a268168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,436.0156,445.3777,-0.000925926,0.200925926,1,0,0,3.3502,compass,0,23,23,24,1,SoundStimuli/Kiss_Prince_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,614933,001,2024-07-12_19h33.02.080,experiment,2024.1.5,Win32,59.88023952,6333dafae0a6b172dd2bd2af,6691931c2c63981b064e1f0c,6691bd0df74762198a268168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,445.3822,453.0942,0.253703704,-0.275,1,0,0,1.7,compass,0,24,24,7,1,SoundStimuli/MackTheKnife_BobbyDarin_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,614933,001,2024-07-12_19h33.02.080,experiment,2024.1.5,Win32,59.88023952,6333dafae0a6b172dd2bd2af,6691931c2c63981b064e1f0c,6691bd0df74762198a268168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,453.0985,461.5775,-0.190740741,0.207407407,1,0,0,2.4665,compass,0,25,25,2,1,SoundStimuli/SmellsLikeTeenSpirit_Nirvana_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
