welcome.started,welcome.stopped,space_to_continue.keys,space_to_continue.rt,space_to_continue.duration,participant,session,date,expName,psychopyVersion,OS,frameRate,PROLIFIC_PID,STUDY_ID,SESSION_ID,consent.consent,consent.consent_recontact,consent_check.started,consent_check.stopped,calibration_ready.started,calibration_ready.stopped,cal_ready.keys,cal_ready.rt,cal_ready.duration,calibration.started,calibration.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,move_on.keys,move_on.rt,move_on.duration,run_cal.thisRepN,run_cal.thisTrialN,run_cal.thisN,run_cal.thisIndex,run_cal.ran,emotion_training_ready.started,emotion_training_ready.stopped,training_move_on.keys,training_move_on.rt,training_move_on.duration,examples.started,examples.stopped,emotion_scale.started,emotion_scale.stopped,scale_next.keys,scale_next.rt,scale_next.duration,instructions.started,instructions.stopped,next.keys,next.rt,next.duration,practice_task.started,practice_task.stopped,mouse_rating_2.x,mouse_rating_2.y,mouse_rating_2.leftButton,mouse_rating_2.midButton,mouse_rating_2.rightButton,mouse_rating_2.time,mouse_rating_2.clicked_name,ready.started,ready.stopped,key_resp.keys,key_resp.rt,key_resp.duration,set_group.started,set_group.stopped,task.started,task.stopped,mouse_rating.x,mouse_rating.y,mouse_rating.leftButton,mouse_rating.midButton,mouse_rating.rightButton,mouse_rating.time,mouse_rating.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,clip,short_break.started,short_break.stopped,space_to_move_on.keys,space_to_move_on.rt,space_to_move_on.duration,instruction_reminder.started,instruction_reminder.stopped,reminder_move_on.keys,reminder_move_on.rt,reminder_move_on.duration,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,block,post_survey.age,post_survey.musician,post_survey.music_making,post_survey.listen_time,post_survey.medium,post_survey.music_seeking,post_survey.music_choice,post_survey.activities,post_survey.question1.Alternative rock,post_survey.question1.Reggae,post_survey.question1.A cappella,post_survey.question1.Folk/indie,post_survey.question1.Hip hop,post_survey.question1.Classic rock,post_survey.question1.Metal,post_survey.question1.R&B,post_survey.question1.Ambient,post_survey.question1.Electronic (EDM),post_survey.question1.Latin,post_survey.question1.Jazz,post_survey.question1.Disco,post_survey.question1.Classical,post_survey.question1.Pop,post_survey.question1.Country,post_survey.other_genres,post_survey.genres_ranked.text1,post_survey.genres_ranked.text2,post_survey.genres_ranked.text3,post_survey.habit_change,post_survey.habits,show_exp.thisRepN,show_exp.thisTrialN,show_exp.thisN,show_exp.thisIndex,show_exp.ran,goodbye.started,goodbye.stopped
,,,,,621264,001,2024-07-12_18h22.06.292,experiment,2024.1.5,Linux x86_64,59.88023952,65cafb5b3bbfc7be04c48e3f,6691931c2c63981b064e1f0c,6691ba736d14fd83c2a18ea2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,558.4704,564.7703,0.165865688,-0.152533804,1,0,0,0.2881,compass,0,16,16,34,1,SoundStimuli/Irreplaceable_Beyonce_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,621264,001,2024-07-12_18h22.06.292,experiment,2024.1.5,Linux x86_64,59.88023952,65cafb5b3bbfc7be04c48e3f,6691931c2c63981b064e1f0c,6691ba736d14fd83c2a18ea2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,564.7843,571.8431,0.167096062,0.202964819,1,0,0,1.0566,compass,0,17,17,10,1,SoundStimuli/LeFreak_Chic_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,621264,001,2024-07-12_18h22.06.292,experiment,2024.1.5,Linux x86_64,59.88023952,65cafb5b3bbfc7be04c48e3f,6691931c2c63981b064e1f0c,6691ba736d14fd83c2a18ea2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,571.8584,579.6598,0.165104109,-0.153896206,1,0,0,1.7847,compass,0,18,18,28,1,SoundStimuli/IWantToHoldYourHand_TheBeatles_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,621264,001,2024-07-12_18h22.06.292,experiment,2024.1.5,Linux x86_64,59.88023952,65cafb5b3bbfc7be04c48e3f,6691931c2c63981b064e1f0c,6691ba736d14fd83c2a18ea2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,579.6763,588.8706,0.188171315,-0.092468262,1,0,0,3.1923,compass,0,19,19,18,1,SoundStimuli/Weak_SWV_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,621264,001,2024-07-12_18h22.06.292,experiment,2024.1.5,Linux x86_64,59.88023952,65cafb5b3bbfc7be04c48e3f,6691931c2c63981b064e1f0c,6691ba736d14fd83c2a18ea2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,588.8873,599.0784,0.151010146,-0.150938437,1,0,0,4.1751,compass,0,20,20,14,1,SoundStimuli/LikeARollingStone_BobDylan_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,621264,001,2024-07-12_18h22.06.292,experiment,2024.1.5,Linux x86_64,59.88023952,65cafb5b3bbfc7be04c48e3f,6691931c2c63981b064e1f0c,6691ba736d14fd83c2a18ea2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,599.0929,608.738,0.322306888,0.324521383,1,0,0,3.6393,compass,0,21,21,22,1,SoundStimuli/Happy_PharellWilliams_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,621264,001,2024-07-12_18h22.06.292,experiment,2024.1.5,Linux x86_64,59.88023952,65cafb5b3bbfc7be04c48e3f,6691931c2c63981b064e1f0c,6691ba736d14fd83c2a18ea2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,608.755,617.1912,-0.182869781,-0.151782542,1,0,0,2.4333,compass,0,22,22,9,1,SoundStimuli/HowDoILive_LeAnnRimes_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,621264,001,2024-07-12_18h22.06.292,experiment,2024.1.5,Linux x86_64,59.88023952,65cafb5b3bbfc7be04c48e3f,6691931c2c63981b064e1f0c,6691ba736d14fd83c2a18ea2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,617.2071,625.239,-0.172017917,-0.137680842,1,0,0,2.0289,compass,0,23,23,0,1,SoundStimuli/GimmeShelter_RollingStones_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,621264,001,2024-07-12_18h22.06.292,experiment,2024.1.5,Linux x86_64,59.88023952,65cafb5b3bbfc7be04c48e3f,6691931c2c63981b064e1f0c,6691ba736d14fd83c2a18ea2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,625.2549,632.8748,0.148718892,-0.137667947,1,0,0,1.6163,compass,0,24,24,32,1,SoundStimuli/Dilemma_NellyKellyRowland_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,621264,001,2024-07-12_18h22.06.292,experiment,2024.1.5,Linux x86_64,59.88023952,65cafb5b3bbfc7be04c48e3f,6691931c2c63981b064e1f0c,6691ba736d14fd83c2a18ea2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,632.8895,642.2431,0.15556973,-0.153183771,1,0,0,3.3507,compass,0,25,25,17,1,SoundStimuli/IWannaDanceWithSomebody_WhitneyHouston_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
