welcome.started,welcome.stopped,space_to_continue.keys,space_to_continue.rt,space_to_continue.duration,participant,session,date,expName,psychopyVersion,OS,frameRate,PROLIFIC_PID,STUDY_ID,SESSION_ID,consent.consent,consent.consent_recontact,consent_check.started,consent_check.stopped,calibration_ready.started,calibration_ready.stopped,cal_ready.keys,cal_ready.rt,cal_ready.duration,calibration.started,calibration.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,move_on.keys,move_on.rt,move_on.duration,run_cal.thisRepN,run_cal.thisTrialN,run_cal.thisN,run_cal.thisIndex,run_cal.ran,emotion_training_ready.started,emotion_training_ready.stopped,training_move_on.keys,training_move_on.rt,training_move_on.duration,examples.started,examples.stopped,emotion_scale.started,emotion_scale.stopped,scale_next.keys,scale_next.rt,scale_next.duration,instructions.started,instructions.stopped,next.keys,next.rt,next.duration,practice_task.started,practice_task.stopped,mouse_rating_2.x,mouse_rating_2.y,mouse_rating_2.leftButton,mouse_rating_2.midButton,mouse_rating_2.rightButton,mouse_rating_2.time,mouse_rating_2.clicked_name,ready.started,ready.stopped,key_resp.keys,key_resp.rt,key_resp.duration,set_group.started,set_group.stopped,task.started,task.stopped,mouse_rating.x,mouse_rating.y,mouse_rating.leftButton,mouse_rating.midButton,mouse_rating.rightButton,mouse_rating.time,mouse_rating.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,clip,short_break.started,short_break.stopped,space_to_move_on.keys,space_to_move_on.rt,space_to_move_on.duration,instruction_reminder.started,instruction_reminder.stopped,reminder_move_on.keys,reminder_move_on.rt,reminder_move_on.duration,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,block,post_survey.age,post_survey.musician,post_survey.music_making,post_survey.listen_time,post_survey.medium,post_survey.music_seeking,post_survey.music_choice,post_survey.activities,post_survey.question1.R&B,post_survey.question1.Latin,post_survey.question1.Hip hop,post_survey.question1.Country,post_survey.question1.Disco,post_survey.question1.Folk/indie,post_survey.question1.A cappella,post_survey.question1.Pop,post_survey.question1.Alternative rock,post_survey.question1.Jazz,post_survey.question1.Classic rock,post_survey.question1.Reggae,post_survey.question1.Electronic (EDM),post_survey.question1.Metal,post_survey.question1.Ambient,post_survey.question1.Classical,post_survey.other_genres,post_survey.genres_ranked.text1,post_survey.genres_ranked.text2,post_survey.genres_ranked.text3,post_survey.habits,post_survey.habit_change,show_exp.thisRepN,show_exp.thisTrialN,show_exp.thisN,show_exp.thisIndex,show_exp.ran,goodbye.started,goodbye.stopped
,,,,,051904,001,2024-07-12_15h38.05.727,experiment,2024.1.5,Win32,60.0240096,5c76616a7fafbd00114723f5,6691931c2c63981b064e1f0c,6691af91d17ef3c3c2635c8f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,345.628,352.262,0.20462963,0.285185185,1,0,0,0.634,compass,0,17,17,22,1,SoundStimuli/Happy_PharellWilliams_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,051904,001,2024-07-12_15h38.05.727,experiment,2024.1.5,Win32,60.0240096,5c76616a7fafbd00114723f5,6691931c2c63981b064e1f0c,6691af91d17ef3c3c2635c8f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,352.263,359.228,0.081481481,-0.192592593,1,0,0,0.95,compass,0,18,18,19,1,SoundStimuli/YouLightUpMyLife_DebbyBoone_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,051904,001,2024-07-12_15h38.05.727,experiment,2024.1.5,Win32,60.0240096,5c76616a7fafbd00114723f5,6691931c2c63981b064e1f0c,6691af91d17ef3c3c2635c8f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,359.229,365.646,-0.121296296,-0.115740741,1,0,0,0.4,compass,0,19,19,33,1,SoundStimuli/TheBoyIsMine_BrandyMonica_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,051904,001,2024-07-12_15h38.05.727,experiment,2024.1.5,Win32,60.0240096,5c76616a7fafbd00114723f5,6691931c2c63981b064e1f0c,6691af91d17ef3c3c2635c8f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,365.647,372.111,0.165740741,-0.169444444,1,0,0,0.449,compass,0,20,20,17,1,SoundStimuli/IWannaDanceWithSomebody_WhitneyHouston_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,051904,001,2024-07-12_15h38.05.727,experiment,2024.1.5,Win32,60.0240096,5c76616a7fafbd00114723f5,6691931c2c63981b064e1f0c,6691af91d17ef3c3c2635c8f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,372.112,380.045,0.156481481,-0.152777778,1,0,0,1.916,compass,0,21,21,18,1,SoundStimuli/Weak_SWV_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,051904,001,2024-07-12_15h38.05.727,experiment,2024.1.5,Win32,60.0240096,5c76616a7fafbd00114723f5,6691931c2c63981b064e1f0c,6691af91d17ef3c3c2635c8f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,380.045,387.929,0.109259259,0.149074074,1,0,0,1.868,compass,0,22,22,26,1,SoundStimuli/TheSign_AceOfBase_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,051904,001,2024-07-12_15h38.05.727,experiment,2024.1.5,Win32,60.0240096,5c76616a7fafbd00114723f5,6691931c2c63981b064e1f0c,6691af91d17ef3c3c2635c8f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,387.929,397.247,0.247222222,-0.168518519,1,0,0,3.316,compass,0,23,23,28,1,SoundStimuli/IWantToHoldYourHand_TheBeatles_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,051904,001,2024-07-12_15h38.05.727,experiment,2024.1.5,Win32,60.0240096,5c76616a7fafbd00114723f5,6691931c2c63981b064e1f0c,6691af91d17ef3c3c2635c8f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,397.249,403.511,0.196296296,0.176851852,1,0,0,0.25,compass,0,24,24,10,1,SoundStimuli/LeFreak_Chic_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,051904,001,2024-07-12_15h38.05.727,experiment,2024.1.5,Win32,60.0240096,5c76616a7fafbd00114723f5,6691931c2c63981b064e1f0c,6691af91d17ef3c3c2635c8f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,403.512,410.762,0.144444444,-0.192592593,1,0,0,1.233,compass,0,25,25,13,1,SoundStimuli/Perfect_EdSheeran_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,051904,001,2024-07-12_15h38.05.727,experiment,2024.1.5,Win32,60.0240096,5c76616a7fafbd00114723f5,6691931c2c63981b064e1f0c,6691af91d17ef3c3c2635c8f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,410.762,420.862,-0.175925926,-0.146296296,1,0,0,4.084,compass,0,26,26,34,1,SoundStimuli/Irreplaceable_Beyonce_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
