welcome.started,welcome.stopped,space_to_continue.keys,space_to_continue.rt,space_to_continue.duration,participant,session,date,expName,psychopyVersion,OS,frameRate,PROLIFIC_PID,STUDY_ID,SESSION_ID,consent.consent,consent.consent_recontact,consent_check.started,consent_check.stopped,calibration_ready.started,calibration_ready.stopped,cal_ready.keys,cal_ready.rt,cal_ready.duration,calibration.started,calibration.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,move_on.keys,move_on.rt,move_on.duration,run_cal.thisRepN,run_cal.thisTrialN,run_cal.thisN,run_cal.thisIndex,run_cal.ran,emotion_training_ready.started,emotion_training_ready.stopped,training_move_on.keys,training_move_on.rt,training_move_on.duration,examples.started,examples.stopped,emotion_scale.started,emotion_scale.stopped,scale_next.keys,scale_next.rt,scale_next.duration,instructions.started,instructions.stopped,next.keys,next.rt,next.duration,practice_task.started,practice_task.stopped,mouse_rating_2.x,mouse_rating_2.y,mouse_rating_2.leftButton,mouse_rating_2.midButton,mouse_rating_2.rightButton,mouse_rating_2.time,mouse_rating_2.clicked_name,ready.started,ready.stopped,key_resp.keys,key_resp.rt,key_resp.duration,set_group.started,set_group.stopped,task.started,task.stopped,mouse_rating.x,mouse_rating.y,mouse_rating.leftButton,mouse_rating.midButton,mouse_rating.rightButton,mouse_rating.time,mouse_rating.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,clip,short_break.started,short_break.stopped,space_to_move_on.keys,space_to_move_on.rt,space_to_move_on.duration,instruction_reminder.started,instruction_reminder.stopped,reminder_move_on.keys,reminder_move_on.rt,reminder_move_on.duration,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,block,post_survey.age,post_survey.musician,post_survey.music_making,post_survey.listen_time,post_survey.medium,post_survey.music_seeking,post_survey.music_choice,post_survey.activities,post_survey.question1.A cappella,post_survey.question1.Classical,post_survey.question1.Ambient,post_survey.question1.Metal,post_survey.question1.Latin,post_survey.question1.Country,post_survey.question1.Folk/indie,post_survey.question1.Electronic (EDM),post_survey.question1.Jazz,post_survey.question1.Alternative rock,post_survey.question1.Reggae,post_survey.question1.Pop,post_survey.question1.R&B,post_survey.question1.Classic rock,post_survey.question1.Hip hop,post_survey.question1.Disco,post_survey.genres_ranked.text1,post_survey.genres_ranked.text2,post_survey.genres_ranked.text3,post_survey.habit_change,post_survey.habits,show_exp.thisRepN,show_exp.thisTrialN,show_exp.thisN,show_exp.thisIndex,show_exp.ran,goodbye.started,goodbye.stopped
,,,,,039938,001,2024-07-12_18h37.41.995,experiment,2024.1.5,Win32,60.06006006,6648bb202df5a337b816e22a,6691931c2c63981b064e1f0c,6691b017573e8f0890449c6a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,473.0975,480.1812,0.243489583,0.252604167,1,0,0,1.066,compass,0,16,16,14,1,SoundStimuli/BlindingLights_TheWeeknd_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,039938,001,2024-07-12_18h37.41.995,experiment,2024.1.5,Win32,60.06006006,6648bb202df5a337b816e22a,6691931c2c63981b064e1f0c,6691b017573e8f0890449c6a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,480.1906,490.4543,-0.135416667,-0.0859375,1,0,0,4.2623,compass,0,17,17,18,1,SoundStimuli/AnotherOneBitesTheDust_Queen_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,039938,001,2024-07-12_18h37.41.995,experiment,2024.1.5,Win32,60.06006006,6648bb202df5a337b816e22a,6691931c2c63981b064e1f0c,6691b017573e8f0890449c6a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,490.4635,502.7754,0.092447917,-0.092447917,1,0,0,6.2941,compass,0,18,18,23,1,SoundStimuli/StrawberryFieldsForever_TheBeatles_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,039938,001,2024-07-12_18h37.41.995,experiment,2024.1.5,Win32,60.06006006,6648bb202df5a337b816e22a,6691931c2c63981b064e1f0c,6691b017573e8f0890449c6a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,502.7847,511.4133,0.272135417,-0.15234375,1,0,0,2.611,compass,0,19,19,12,1,SoundStimuli/IWillAlwaysLoveYou_WhitneyHouston_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,039938,001,2024-07-12_18h37.41.995,experiment,2024.1.5,Win32,60.06006006,6648bb202df5a337b816e22a,6691931c2c63981b064e1f0c,6691b017573e8f0890449c6a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,511.423,525.3029,0.157552083,-0.09765625,1,0,0,7.8759,compass,0,20,20,9,1,SoundStimuli/Despacito_LuisFonsiDaddyYankee_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,039938,001,2024-07-12_18h37.41.995,experiment,2024.1.5,Win32,60.06006006,6648bb202df5a337b816e22a,6691931c2c63981b064e1f0c,6691b017573e8f0890449c6a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,525.3122,531.7917,0.25390625,0.259114583,1,0,0,0.4619,compass,0,21,21,8,1,SoundStimuli/LikeAPrayer_Madonna_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,039938,001,2024-07-12_18h37.41.995,experiment,2024.1.5,Win32,60.06006006,6648bb202df5a337b816e22a,6691931c2c63981b064e1f0c,6691b017573e8f0890449c6a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,531.8008,550.7734,0.19140625,-0.091145833,1,0,0,12.9662,compass,0,22,22,34,1,SoundStimuli/AChangeIsGonnaCome_SamCooke_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,039938,001,2024-07-12_18h37.41.995,experiment,2024.1.5,Win32,60.06006006,6648bb202df5a337b816e22a,6691931c2c63981b064e1f0c,6691b017573e8f0890449c6a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,550.7827,557.2497,0.259114583,0.235677083,1,0,0,0.4617,compass,0,23,23,4,1,SoundStimuli/GetUrFreakOn_MissyElliot_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,039938,001,2024-07-12_18h37.41.995,experiment,2024.1.5,Win32,60.06006006,6648bb202df5a337b816e22a,6691931c2c63981b064e1f0c,6691b017573e8f0890449c6a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,557.2594,564.2817,0.278645833,0.209635417,1,0,0,1.0173,compass,0,24,24,24,1,SoundStimuli/UptownFunk_MarkRonson_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,039938,001,2024-07-12_18h37.41.995,experiment,2024.1.5,Win32,60.06006006,6648bb202df5a337b816e22a,6691931c2c63981b064e1f0c,6691b017573e8f0890449c6a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,564.2905,572.5895,0.279947917,-0.076822917,1,0,0,2.2981,compass,0,25,25,28,1,SoundStimuli/ComeAndGetYourLove_Redbone_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
