welcome.started,welcome.stopped,space_to_continue.keys,space_to_continue.rt,space_to_continue.duration,participant,session,date,expName,psychopyVersion,OS,frameRate,PROLIFIC_PID,STUDY_ID,SESSION_ID,consent.consent,consent.consent_recontact,consent_check.started,consent_check.stopped,calibration_ready.started,calibration_ready.stopped,cal_ready.keys,cal_ready.rt,cal_ready.duration,calibration.started,calibration.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,move_on.keys,move_on.rt,move_on.duration,run_cal.thisRepN,run_cal.thisTrialN,run_cal.thisN,run_cal.thisIndex,run_cal.ran,emotion_training_ready.started,emotion_training_ready.stopped,training_move_on.keys,training_move_on.rt,training_move_on.duration,examples.started,examples.stopped,emotion_scale.started,emotion_scale.stopped,scale_next.keys,scale_next.rt,scale_next.duration,instructions.started,instructions.stopped,next.keys,next.rt,next.duration,practice_task.started,practice_task.stopped,mouse_rating_2.x,mouse_rating_2.y,mouse_rating_2.leftButton,mouse_rating_2.midButton,mouse_rating_2.rightButton,mouse_rating_2.time,mouse_rating_2.clicked_name,ready.started,ready.stopped,key_resp.keys,key_resp.rt,key_resp.duration,set_group.started,set_group.stopped,task.started,task.stopped,mouse_rating.x,mouse_rating.y,mouse_rating.leftButton,mouse_rating.midButton,mouse_rating.rightButton,mouse_rating.time,mouse_rating.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,clip,short_break.started,short_break.stopped,space_to_move_on.keys,space_to_move_on.rt,space_to_move_on.duration,instruction_reminder.started,instruction_reminder.stopped,reminder_move_on.keys,reminder_move_on.rt,reminder_move_on.duration,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,block,post_survey.age,post_survey.musician,post_survey.music_making,post_survey.listen_time,post_survey.medium,post_survey.music_seeking,post_survey.music_choice,post_survey.activities,post_survey.question1.R&B,post_survey.question1.Pop,post_survey.question1.Hip hop,post_survey.question1.Classic rock,post_survey.question1.Latin,post_survey.question1.Folk/indie,post_survey.question1.Metal,post_survey.question1.Reggae,post_survey.question1.Classical,post_survey.question1.Electronic (EDM),post_survey.question1.Disco,post_survey.question1.Country,post_survey.question1.Jazz,post_survey.question1.Ambient,post_survey.question1.Alternative rock,post_survey.question1.A cappella,post_survey.genres_ranked.text1,post_survey.genres_ranked.text2,post_survey.genres_ranked.text3,post_survey.habit_change,show_exp.thisRepN,show_exp.thisTrialN,show_exp.thisN,show_exp.thisIndex,show_exp.ran,goodbye.started,goodbye.stopped
,,,,,673889,001,2024-07-12_18h08.21.945,experiment,2024.1.5,MacIntel,3.52858151,5b967e547840dc0001e3392f,6691931c2c63981b064e1f0c,6691b71f36bed8eb2b8fdb44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,814.0274,832.1354,-0.119098587,-0.04278759,1,0,0,11.9493,compass,0,18,18,34,1,SoundStimuli/Irreplaceable_Beyonce_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,673889,001,2024-07-12_18h08.21.945,experiment,2024.1.5,MacIntel,3.52858151,5b967e547840dc0001e3392f,6691931c2c63981b064e1f0c,6691b71f36bed8eb2b8fdb44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,832.1441,846.5222,0.069350433,-0.063998451,1,0,0,8.0577,compass,0,19,19,5,1,SoundStimuli/JoyToTheWorld_ThreeDogNight_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,673889,001,2024-07-12_18h08.21.945,experiment,2024.1.5,MacIntel,3.52858151,5b967e547840dc0001e3392f,6691931c2c63981b064e1f0c,6691b71f36bed8eb2b8fdb44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,846.5309,854.2584,0.073648605,-0.061079102,1,0,0,1.7093,compass,0,20,20,29,1,SoundStimuli/BetteDavisEyes_KimCarnes_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,673889,001,2024-07-12_18h08.21.945,experiment,2024.1.5,MacIntel,3.52858151,5b967e547840dc0001e3392f,6691931c2c63981b064e1f0c,6691b71f36bed8eb2b8fdb44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,854.2684,861.9414,-0.169616318,0.129269753,1,0,0,1.6444,compass,0,21,21,31,1,SoundStimuli/TossinAndTurnin_BobbyLewis_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,673889,001,2024-07-12_18h08.21.945,experiment,2024.1.5,MacIntel,3.52858151,5b967e547840dc0001e3392f,6691931c2c63981b064e1f0c,6691b71f36bed8eb2b8fdb44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,861.9503,872.0318,-0.155510178,-0.068204536,1,0,0,3.7738,compass,0,22,22,6,1,SoundStimuli/SaveYourTears_TheWeekndArianaGrande_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,673889,001,2024-07-12_18h08.21.945,experiment,2024.1.5,MacIntel,3.52858151,5b967e547840dc0001e3392f,6691931c2c63981b064e1f0c,6691b71f36bed8eb2b8fdb44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,872.0437,879.1366,-0.161135178,-0.05783493,1,0,0,0.754,compass,0,23,23,18,1,SoundStimuli/Weak_SWV_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,673889,001,2024-07-12_18h08.21.945,experiment,2024.1.5,MacIntel,3.52858151,5b967e547840dc0001e3392f,6691931c2c63981b064e1f0c,6691b71f36bed8eb2b8fdb44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,879.146,885.6824,-0.161135178,-0.05783493,1,0,0,0.4017,compass,0,24,24,12,1,SoundStimuli/UnbreakMyHeart_ToniBraxton_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,673889,001,2024-07-12_18h08.21.945,experiment,2024.1.5,MacIntel,3.52858151,5b967e547840dc0001e3392f,6691931c2c63981b064e1f0c,6691b71f36bed8eb2b8fdb44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,885.6913,895.6638,0.07815506,-0.031595192,1,0,0,3.8745,compass,0,25,25,14,1,SoundStimuli/LikeARollingStone_BobDylan_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,673889,001,2024-07-12_18h08.21.945,experiment,2024.1.5,MacIntel,3.52858151,5b967e547840dc0001e3392f,6691931c2c63981b064e1f0c,6691b71f36bed8eb2b8fdb44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,895.6732,910.8188,-0.214554062,0.023635368,1,0,0,8.793,compass,0,26,26,30,1,SoundStimuli/SomebodyThatIUsedtoKnow_Gotye_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,673889,001,2024-07-12_18h08.21.945,experiment,2024.1.5,MacIntel,3.52858151,5b967e547840dc0001e3392f,6691931c2c63981b064e1f0c,6691b71f36bed8eb2b8fdb44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,910.8289,918.4845,0.035744934,-0.147690735,1,0,0,1.319,compass,0,27,27,23,1,SoundStimuli/IWalkTheLine_JohnnyCash_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,673889,001,2024-07-12_18h08.21.945,experiment,2024.1.5,MacIntel,3.52858151,5b967e547840dc0001e3392f,6691931c2c63981b064e1f0c,6691b71f36bed8eb2b8fdb44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,918.4931,933.7619,0.084198761,0.040673027,1,0,0,8.8611,compass,0,28,28,2,1,SoundStimuli/SmellsLikeTeenSpirit_Nirvana_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
