welcome.started,welcome.stopped,space_to_continue.keys,space_to_continue.rt,space_to_continue.duration,participant,session,date,expName,psychopyVersion,OS,frameRate,PROLIFIC_PID,STUDY_ID,SESSION_ID,consent.consent,consent.consent_recontact,consent_check.started,consent_check.stopped,calibration_ready.started,calibration_ready.stopped,cal_ready.keys,cal_ready.rt,cal_ready.duration,calibration.started,calibration.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,move_on.keys,move_on.rt,move_on.duration,run_cal.thisRepN,run_cal.thisTrialN,run_cal.thisN,run_cal.thisIndex,run_cal.ran,emotion_training_ready.started,emotion_training_ready.stopped,training_move_on.keys,training_move_on.rt,training_move_on.duration,examples.started,examples.stopped,emotion_scale.started,emotion_scale.stopped,scale_next.keys,scale_next.rt,scale_next.duration,instructions.started,instructions.stopped,next.keys,next.rt,next.duration,practice_task.started,practice_task.stopped,mouse_rating_2.x,mouse_rating_2.y,mouse_rating_2.leftButton,mouse_rating_2.midButton,mouse_rating_2.rightButton,mouse_rating_2.time,mouse_rating_2.clicked_name,ready.started,ready.stopped,key_resp.keys,key_resp.rt,key_resp.duration,set_group.started,set_group.stopped,task.started,task.stopped,mouse_rating.x,mouse_rating.y,mouse_rating.leftButton,mouse_rating.midButton,mouse_rating.rightButton,mouse_rating.time,mouse_rating.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,clip,short_break.started,short_break.stopped,space_to_move_on.keys,space_to_move_on.rt,space_to_move_on.duration,instruction_reminder.started,instruction_reminder.stopped,reminder_move_on.keys,reminder_move_on.rt,reminder_move_on.duration,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,block,post_survey.age,post_survey.musician,post_survey.music_making,post_survey.listen_time,post_survey.medium,post_survey.music_seeking,post_survey.music_choice,post_survey.activities,post_survey.question1.Classical,post_survey.question1.R&B,post_survey.question1.Classic rock,post_survey.question1.Hip hop,post_survey.question1.Ambient,post_survey.question1.Reggae,post_survey.question1.Latin,post_survey.question1.Folk/indie,post_survey.question1.Pop,post_survey.question1.A cappella,post_survey.question1.Metal,post_survey.question1.Jazz,post_survey.question1.Disco,post_survey.question1.Electronic (EDM),post_survey.question1.Alternative rock,post_survey.question1.Country,post_survey.genres_ranked.text1,post_survey.genres_ranked.text2,post_survey.genres_ranked.text3,post_survey.habit_change,post_survey.habits,show_exp.thisRepN,show_exp.thisTrialN,show_exp.thisN,show_exp.thisIndex,show_exp.ran,goodbye.started,goodbye.stopped
,,,,,267298,001,2024-07-12_16h11.08.791,experiment,2024.1.5,Win32,59.88023952,65cbc0a5402b90fc2fddd78c,6691931c2c63981b064e1f0c,6691b7bb9726698f64f53358,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,452.8067,462.6833,0.021296296,0.037037037,1,0,0,3.8665,compass,0,16,16,10,1,SoundStimuli/LeFreak_Chic_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,267298,001,2024-07-12_16h11.08.791,experiment,2024.1.5,Win32,59.88023952,65cbc0a5402b90fc2fddd78c,6691931c2c63981b064e1f0c,6691b7bb9726698f64f53358,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,462.6916,470.3999,-0.066666667,0.208333333,1,0,0,1.7,compass,0,17,17,0,1,SoundStimuli/GimmeShelter_RollingStones_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,267298,001,2024-07-12_16h11.08.791,experiment,2024.1.5,Win32,59.88023952,65cbc0a5402b90fc2fddd78c,6691931c2c63981b064e1f0c,6691b7bb9726698f64f53358,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,470.4059,480.1664,0.014814815,-0.155555556,1,0,0,3.7499,compass,0,18,18,19,1,SoundStimuli/YouLightUpMyLife_DebbyBoone_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,267298,001,2024-07-12_16h11.08.791,experiment,2024.1.5,Win32,59.88023952,65cbc0a5402b90fc2fddd78c,6691931c2c63981b064e1f0c,6691b7bb9726698f64f53358,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,480.1728,490.116,-0.116666667,-0.19537037,1,0,0,3.9333,compass,0,19,19,16,1,SoundStimuli/ItsAllInTheGame_TommyEdwards_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,267298,001,2024-07-12_16h11.08.791,experiment,2024.1.5,Win32,59.88023952,65cbc0a5402b90fc2fddd78c,6691931c2c63981b064e1f0c,6691b7bb9726698f64f53358,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,490.1225,500.85,0.063888889,0.285185185,1,0,0,4.7171,compass,0,20,20,26,1,SoundStimuli/TheSign_AceOfBase_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,267298,001,2024-07-12_16h11.08.791,experiment,2024.1.5,Win32,59.88023952,65cbc0a5402b90fc2fddd78c,6691931c2c63981b064e1f0c,6691b7bb9726698f64f53358,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,500.8608,511.299,-0.183333333,-0.068518519,1,0,0,4.4332,compass,0,21,21,29,1,SoundStimuli/BetteDavisEyes_KimCarnes_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,267298,001,2024-07-12_16h11.08.791,experiment,2024.1.5,Win32,59.88023952,65cbc0a5402b90fc2fddd78c,6691931c2c63981b064e1f0c,6691b7bb9726698f64f53358,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,511.3053,520.87,-0.296296296,0.072222222,1,0,0,3.5545,compass,0,22,22,12,1,SoundStimuli/UnbreakMyHeart_ToniBraxton_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,267298,001,2024-07-12_16h11.08.791,experiment,2024.1.5,Win32,59.88023952,65cbc0a5402b90fc2fddd78c,6691931c2c63981b064e1f0c,6691b7bb9726698f64f53358,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,520.8933,532.065,0.091666667,0.3,1,0,0,5.1658,compass,0,23,23,1,1,SoundStimuli/Smooth_SantanaRobThomas_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,267298,001,2024-07-12_16h11.08.791,experiment,2024.1.5,Win32,59.88023952,65cbc0a5402b90fc2fddd78c,6691931c2c63981b064e1f0c,6691b7bb9726698f64f53358,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,532.0715,542.5988,-0.125,-0.230555556,1,0,0,4.517,compass,0,24,24,21,1,SoundStimuli/BridgeOverTroubledWater_SimonAndGarfunkel_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,267298,001,2024-07-12_16h11.08.791,experiment,2024.1.5,Win32,59.88023952,65cbc0a5402b90fc2fddd78c,6691931c2c63981b064e1f0c,6691b7bb9726698f64f53358,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,542.6208,550.4646,0.041666667,-0.227777778,1,0,0,1.8333,compass,0,25,25,4,1,SoundStimuli/Dreams_FleetwoodMac_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
