welcome.started,welcome.stopped,space_to_continue.keys,space_to_continue.rt,space_to_continue.duration,participant,session,date,expName,psychopyVersion,OS,frameRate,STUDY_ID,SESSION_ID,consent.consent,consent.consent_recontact,consent_check.started,consent_check.stopped,calibration_ready.started,calibration_ready.stopped,cal_ready.keys,cal_ready.rt,cal_ready.duration,calibration.started,calibration.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,move_on.keys,move_on.rt,move_on.duration,run_cal.thisRepN,run_cal.thisTrialN,run_cal.thisN,run_cal.thisIndex,run_cal.ran,emotion_training_ready.started,emotion_training_ready.stopped,training_move_on.keys,training_move_on.rt,training_move_on.duration,examples.started,examples.stopped,emotion_scale.started,emotion_scale.stopped,scale_next.keys,scale_next.rt,scale_next.duration,instructions.started,instructions.stopped,next.keys,next.rt,next.duration,practice_task.started,practice_task.stopped,mouse_rating_2.x,mouse_rating_2.y,mouse_rating_2.leftButton,mouse_rating_2.midButton,mouse_rating_2.rightButton,mouse_rating_2.time,mouse_rating_2.clicked_name,ready.started,ready.stopped,key_resp.keys,key_resp.rt,key_resp.duration,set_group.started,set_group.stopped,task.started,task.stopped,mouse_rating.x,mouse_rating.y,mouse_rating.leftButton,mouse_rating.midButton,mouse_rating.rightButton,mouse_rating.time,mouse_rating.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,clip,short_break.started,short_break.stopped,space_to_move_on.keys,space_to_move_on.rt,space_to_move_on.duration,instruction_reminder.started,instruction_reminder.stopped,reminder_move_on.keys,reminder_move_on.rt,reminder_move_on.duration,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,block,post_survey.age,post_survey.musician,post_survey.music_making,post_survey.listen_time,post_survey.medium,post_survey.music_seeking,post_survey.music_choice,post_survey.activities,post_survey.question1.Hip hop,post_survey.question1.Alternative rock,post_survey.question1.Jazz,post_survey.question1.Folk/indie,post_survey.question1.R&B,post_survey.question1.A cappella,post_survey.question1.Classical,post_survey.question1.Metal,post_survey.question1.Ambient,post_survey.question1.Disco,post_survey.question1.Electronic (EDM),post_survey.question1.Reggae,post_survey.question1.Country,post_survey.question1.Classic rock,post_survey.question1.Pop,post_survey.question1.Latin,post_survey.other_genres,post_survey.genres_ranked.text1,post_survey.genres_ranked.text2,post_survey.genres_ranked.text3,post_survey.habit_change,post_survey.habits,show_exp.thisRepN,show_exp.thisTrialN,show_exp.thisN,show_exp.thisIndex,show_exp.ran,goodbye.started,goodbye.stopped
,,,,,644490,1,2024-07-12_15h21.28.900,experiment,2024.1.5,Linux x86_64,59.52380952,6691931c2c63981b064e1f0c,6691ac1e307be77b81175761,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1160.8495,1167.8142,0.240902258,-0.108551421,1.0,0.0,0.0,0.9502,compass,0.0,33.0,33.0,22.0,1.0,SoundStimuli/RockWithYou_MichaelJackson_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,644490,1,2024-07-12_15h21.28.900,experiment,2024.1.5,Linux x86_64,59.52380952,6691931c2c63981b064e1f0c,6691ac1e307be77b81175761,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1167.8499,1174.5293,0.291612074,0.269059923,1.0,0.0,0.0,0.6669,compass,0.0,34.0,34.0,14.0,1.0,SoundStimuli/BlindingLights_TheWeeknd_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,644490,1,2024-07-12_15h21.28.900,experiment,2024.1.5,Linux x86_64,59.52380952,6691931c2c63981b064e1f0c,6691ac1e307be77b81175761,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1174.5297,1175.9953,space,1.4512,,1175.9955,1178.5285,right,2.5156,,0.0,2.0,2.0,2.0,1.0,block_order/blockC.xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,644490,1,2024-07-12_15h21.28.900,experiment,2024.1.5,Linux x86_64,59.52380952,6691931c2c63981b064e1f0c,6691ac1e307be77b81175761,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1178.5822,1187.3295,-0.125294777,-0.083205103,1.0,0.0,0.0,2.7349,compass,0.0,0.0,0.0,33.0,1.0,SoundStimuli/TheBoyIsMine_BrandyMonica_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,644490,1,2024-07-12_15h21.28.900,experiment,2024.1.5,Linux x86_64,59.52380952,6691931c2c63981b064e1f0c,6691ac1e307be77b81175761,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1187.3664,1193.4272,-0.104796346,-0.12480887,1.0,0.0,0.0,0.0494,compass,0.0,1.0,1.0,14.0,1.0,SoundStimuli/LikeARollingStone_BobDylan_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,644490,1,2024-07-12_15h21.28.900,experiment,2024.1.5,Linux x86_64,59.52380952,6691931c2c63981b064e1f0c,6691ac1e307be77b81175761,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1193.4591,1202.2431,0.188327478,-0.157830811,1.0,0.0,0.0,2.7827,compass,0.0,2.0,2.0,19.0,1.0,SoundStimuli/YouLightUpMyLife_DebbyBoone_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,644490,1,2024-07-12_15h21.28.900,experiment,2024.1.5,Linux x86_64,59.52380952,6691931c2c63981b064e1f0c,6691ac1e307be77b81175761,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1202.2814,1209.2082,0.188741161,-0.158037652,1.0,0.0,0.0,0.9162,compass,0.0,3.0,3.0,25.0,1.0,SoundStimuli/IllMakeLoveToYou_BoyzIIMen_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,644490,1,2024-07-12_15h21.28.900,experiment,2024.1.5,Linux x86_64,59.52380952,6691931c2c63981b064e1f0c,6691ac1e307be77b81175761,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1209.2406,1215.4764,0.18853432,-0.158658176,1.0,0.0,0.0,0.2191,compass,0.0,4.0,4.0,18.0,1.0,SoundStimuli/Weak_SWV_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,644490,1,2024-07-12_15h21.28.900,experiment,2024.1.5,Linux x86_64,59.52380952,6691931c2c63981b064e1f0c,6691ac1e307be77b81175761,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1215.5088,1221.5566,0.18853432,-0.158658176,1.0,0.0,0.0,0.0328,compass,0.0,5.0,5.0,17.0,1.0,SoundStimuli/IWannaDanceWithSomebody_WhitneyHouston_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,644490,1,2024-07-12_15h21.28.900,experiment,2024.1.5,Linux x86_64,59.52380952,6691931c2c63981b064e1f0c,6691ac1e307be77b81175761,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1221.5894,1227.7557,0.164068717,0.190183145,1.0,0.0,0.0,0.1655,compass,0.0,6.0,6.0,31.0,1.0,SoundStimuli/TossinAndTurnin_BobbyLewis_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,644490,1,2024-07-12_15h21.28.900,experiment,2024.1.5,Linux x86_64,59.52380952,6691931c2c63981b064e1f0c,6691ac1e307be77b81175761,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1227.7874,1233.9894,0.274052712,0.258182045,1.0,0.0,0.0,0.2011,compass,0.0,7.0,7.0,3.0,1.0,SoundStimuli/PartyRockAnthem_LMFAO_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,644490,1,2024-07-12_15h21.28.900,experiment,2024.1.5,Linux x86_64,59.52380952,6691931c2c63981b064e1f0c,6691ac1e307be77b81175761,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1234.0208,1241.1208,0.274052712,0.258182045,1.0,0.0,0.0,1.0829,compass,0.0,8.0,8.0,1.0,1.0,SoundStimuli/Smooth_SantanaRobThomas_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,644490,1,2024-07-12_15h21.28.900,experiment,2024.1.5,Linux x86_64,59.52380952,6691931c2c63981b064e1f0c,6691ac1e307be77b81175761,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1241.154,1248.17,0.191143912,-0.101533,1.0,0.0,0.0,1.0003,compass,0.0,9.0,9.0,16.0,1.0,SoundStimuli/ItsAllInTheGame_TommyEdwards_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,644490,1,2024-07-12_15h21.28.900,experiment,2024.1.5,Linux x86_64,59.52380952,6691931c2c63981b064e1f0c,6691ac1e307be77b81175761,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1248.2044,1261.4517,-0.161741412,-0.192390272,1.0,0.0,0.0,7.2321,compass,0.0,10.0,10.0,2.0,1.0,SoundStimuli/SmellsLikeTeenSpirit_Nirvana_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
