welcome.started,welcome.stopped,space_to_continue.keys,space_to_continue.rt,space_to_continue.duration,participant,session,date,expName,psychopyVersion,OS,frameRate,STUDY_ID,SESSION_ID,consent.consent,consent.consent_recontact,consent_check.started,consent_check.stopped,calibration_ready.started,calibration_ready.stopped,cal_ready.keys,cal_ready.rt,cal_ready.duration,calibration.started,calibration.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,move_on.keys,move_on.rt,move_on.duration,run_cal.thisRepN,run_cal.thisTrialN,run_cal.thisN,run_cal.thisIndex,run_cal.ran,emotion_training_ready.started,emotion_training_ready.stopped,training_move_on.keys,training_move_on.rt,training_move_on.duration,examples.started,examples.stopped,emotion_scale.started,emotion_scale.stopped,scale_next.keys,scale_next.rt,scale_next.duration,instructions.started,instructions.stopped,next.keys,next.rt,next.duration,practice_task.started,practice_task.stopped,mouse_rating_2.x,mouse_rating_2.y,mouse_rating_2.leftButton,mouse_rating_2.midButton,mouse_rating_2.rightButton,mouse_rating_2.time,mouse_rating_2.clicked_name,ready.started,ready.stopped,key_resp.keys,key_resp.rt,key_resp.duration,set_group.started,set_group.stopped,task.started,task.stopped,mouse_rating.x,mouse_rating.y,mouse_rating.leftButton,mouse_rating.midButton,mouse_rating.rightButton,mouse_rating.time,mouse_rating.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,clip,short_break.started,short_break.stopped,space_to_move_on.keys,space_to_move_on.rt,space_to_move_on.duration,instruction_reminder.started,instruction_reminder.stopped,reminder_move_on.keys,reminder_move_on.rt,reminder_move_on.duration,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,block,post_survey.age,post_survey.musician,post_survey.music_making,post_survey.listen_time,post_survey.medium,post_survey.music_seeking,post_survey.music_choice,post_survey.activities,post_survey.question1.Classic rock,post_survey.question1.Hip hop,post_survey.question1.Folk/indie,post_survey.question1.Latin,post_survey.question1.A cappella,post_survey.question1.Alternative rock,post_survey.question1.Reggae,post_survey.question1.Ambient,post_survey.question1.Metal,post_survey.question1.Classical,post_survey.question1.Disco,post_survey.question1.R&B,post_survey.question1.Country,post_survey.question1.Jazz,post_survey.question1.Pop,post_survey.question1.Electronic (EDM),post_survey.genres_ranked.text1,post_survey.genres_ranked.text2,post_survey.genres_ranked.text3,post_survey.habit_change,show_exp.thisRepN,show_exp.thisTrialN,show_exp.thisN,show_exp.thisIndex,show_exp.ran,goodbye.started,goodbye.stopped
,,,,,103736,1,2024-07-12_16h39.12.788,experiment,2024.1.5,Win32,60.0240096,6691931c2c63981b064e1f0c,6691be689f2bed992ea5e089,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,660.769,667.437,0.206018519,-0.168981481,1.0,0.0,0.0,0.653,compass,0.0,31.0,31.0,20.0,1.0,SoundStimuli/FlashdanceWhatAFeeling_IreneCara_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,103736,1,2024-07-12_16h39.12.788,experiment,2024.1.5,Win32,60.0240096,6691931c2c63981b064e1f0c,6691be689f2bed992ea5e089,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,667.441,673.917,0.199074074,0.207175926,1.0,0.0,0.0,0.467,compass,0.0,32.0,32.0,31.0,1.0,SoundStimuli/TossinAndTurnin_BobbyLewis_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,103736,1,2024-07-12_16h39.12.788,experiment,2024.1.5,Win32,60.0240096,6691931c2c63981b064e1f0c,6691be689f2bed992ea5e089,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,673.919,680.617,0.195601852,0.217592593,1.0,0.0,0.0,0.683,compass,0.0,33.0,33.0,22.0,1.0,SoundStimuli/Happy_PharellWilliams_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,103736,1,2024-07-12_16h39.12.788,experiment,2024.1.5,Win32,60.0240096,6691931c2c63981b064e1f0c,6691be689f2bed992ea5e089,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,680.619,687.102,-0.22337963,0.200231481,1.0,0.0,0.0,0.467,compass,0.0,34.0,34.0,2.0,1.0,SoundStimuli/SmellsLikeTeenSpirit_Nirvana_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,103736,1,2024-07-12_16h39.12.788,experiment,2024.1.5,Win32,60.0240096,6691931c2c63981b064e1f0c,6691be689f2bed992ea5e089,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,687.102,689.852,space,2.713,,689.852,700.569,right,10.681,,0.0,0.0,0.0,0.0,1.0,block_order/blockD.xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,103736,1,2024-07-12_16h39.12.788,experiment,2024.1.5,Win32,60.0240096,6691931c2c63981b064e1f0c,6691be689f2bed992ea5e089,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,700.599,707.22,0.125,0.239583333,1.0,0.0,0.0,0.617,compass,0.0,0.0,0.0,20.0,1.0,SoundStimuli/HeyYa_Outkast_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,103736,1,2024-07-12_16h39.12.788,experiment,2024.1.5,Win32,60.0240096,6691931c2c63981b064e1f0c,6691be689f2bed992ea5e089,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,707.221,713.901,-0.134259259,-0.212962963,1.0,0.0,0.0,0.667,compass,0.0,1.0,1.0,28.0,1.0,SoundStimuli/ComeAndGetYourLove_Redbone_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,103736,1,2024-07-12_16h39.12.788,experiment,2024.1.5,Win32,60.0240096,6691931c2c63981b064e1f0c,6691be689f2bed992ea5e089,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,713.902,720.351,-0.146990741,0.212962963,1.0,0.0,0.0,0.434,compass,0.0,2.0,2.0,25.0,1.0,SoundStimuli/Respect_ArethaFranklin_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,103736,1,2024-07-12_16h39.12.788,experiment,2024.1.5,Win32,60.0240096,6691931c2c63981b064e1f0c,6691be689f2bed992ea5e089,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,720.352,727.118,0.189814815,-0.166666667,1.0,0.0,0.0,0.75,compass,0.0,3.0,3.0,10.0,1.0,SoundStimuli/BadDay_DanielPowter_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,103736,1,2024-07-12_16h39.12.788,experiment,2024.1.5,Win32,60.0240096,6691931c2c63981b064e1f0c,6691be689f2bed992ea5e089,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,727.119,733.786,-0.178240741,0.195601852,1.0,0.0,0.0,0.652,compass,0.0,4.0,4.0,17.0,1.0,SoundStimuli/Fallin_AliciaKeys_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,103736,1,2024-07-12_16h39.12.788,experiment,2024.1.5,Win32,60.0240096,6691931c2c63981b064e1f0c,6691be689f2bed992ea5e089,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,733.791,740.334,-0.174768519,0.236111111,1.0,0.0,0.0,0.534,compass,0.0,5.0,5.0,12.0,1.0,SoundStimuli/IWillAlwaysLoveYou_WhitneyHouston_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,103736,1,2024-07-12_16h39.12.788,experiment,2024.1.5,Win32,60.0240096,6691931c2c63981b064e1f0c,6691be689f2bed992ea5e089,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,740.336,746.585,-0.159722222,-0.196759259,1.0,0.0,0.0,0.233,compass,0.0,6.0,6.0,0.0,1.0,SoundStimuli/StayinAlive_BeeGees_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
