welcome.started,welcome.stopped,space_to_continue.keys,space_to_continue.rt,space_to_continue.duration,participant,session,date,expName,psychopyVersion,OS,frameRate,STUDY_ID,SESSION_ID,consent.consent,consent_check.started,consent_check.stopped,calibration_ready.started,calibration_ready.stopped,cal_ready.keys,cal_ready.rt,cal_ready.duration,calibration.started,calibration.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,move_on.keys,move_on.rt,move_on.duration,run_cal.thisRepN,run_cal.thisTrialN,run_cal.thisN,run_cal.thisIndex,run_cal.ran,emotion_training_ready.started,emotion_training_ready.stopped,training_move_on.keys,training_move_on.rt,training_move_on.duration,examples.started,examples.stopped,emotion_scale.started,emotion_scale.stopped,scale_next.keys,scale_next.rt,scale_next.duration,instructions.started,instructions.stopped,next.keys,next.rt,next.duration,practice_task.started,practice_task.stopped,mouse_rating_2.x,mouse_rating_2.y,mouse_rating_2.leftButton,mouse_rating_2.midButton,mouse_rating_2.rightButton,mouse_rating_2.time,mouse_rating_2.clicked_name,ready.started,ready.stopped,key_resp.keys,key_resp.rt,key_resp.duration,set_group.started,set_group.stopped,task.started,task.stopped,mouse_rating.x,mouse_rating.y,mouse_rating.leftButton,mouse_rating.midButton,mouse_rating.rightButton,mouse_rating.time,mouse_rating.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,clip,short_break.started,short_break.stopped,space_to_move_on.keys,space_to_move_on.rt,space_to_move_on.duration,instruction_reminder.started,instruction_reminder.stopped,reminder_move_on.keys,reminder_move_on.rt,reminder_move_on.duration,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,block,post_survey.age,post_survey.musician,post_survey.music_making,post_survey.listen_time,post_survey.medium,post_survey.music_seeking,post_survey.music_choice,post_survey.activities,post_survey.question1.Classical,post_survey.question1.Ambient,post_survey.question1.Country,post_survey.question1.Metal,post_survey.question1.Electronic (EDM),post_survey.question1.Classic rock,post_survey.question1.Latin,post_survey.question1.A cappella,post_survey.question1.Jazz,post_survey.question1.Reggae,post_survey.question1.Folk/indie,post_survey.question1.Alternative rock,post_survey.question1.Pop,post_survey.question1.Hip hop,post_survey.question1.Disco,post_survey.question1.R&B,post_survey.genres_ranked.text1,post_survey.genres_ranked.text2,post_survey.genres_ranked.text3,post_survey.other_genres,post_survey.habit_change,post_survey.habits,show_exp.thisRepN,show_exp.thisTrialN,show_exp.thisN,show_exp.thisIndex,show_exp.ran,goodbye.started,goodbye.stopped
,,,,,888741,1,2024-07-12_16h48.50.174,experiment,2024.1.5,Win32,60.0240096,6691931c2c63981b064e1f0c,6691b9953a1360840d8efd24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,467.473,474.987,0.14453125,0.10546875,1.0,0.0,0.0,1.504,compass,0.0,16.0,16.0,19.0,1.0,SoundStimuli/LetsGetItOn_MarvinGaye_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,888741,1,2024-07-12_16h48.50.174,experiment,2024.1.5,Win32,60.0240096,6691931c2c63981b064e1f0c,6691b9953a1360840d8efd24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,474.989,481.612,-0.127604167,0.0859375,1.0,0.0,0.0,0.612,compass,0.0,17.0,17.0,0.0,1.0,SoundStimuli/StayinAlive_BeeGees_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,888741,1,2024-07-12_16h48.50.174,experiment,2024.1.5,Win32,60.0240096,6691931c2c63981b064e1f0c,6691b9953a1360840d8efd24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,481.618,495.787,-0.162760417,0.135416667,1.0,0.0,0.0,8.153,compass,0.0,18.0,18.0,6.0,1.0,SoundStimuli/Levitating_DuaLipa_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,888741,1,2024-07-12_16h48.50.174,experiment,2024.1.5,Win32,60.0240096,6691931c2c63981b064e1f0c,6691b9953a1360840d8efd24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,495.79,502.84,0.236979167,-0.2421875,1.0,0.0,0.0,1.017,compass,0.0,19.0,19.0,21.0,1.0,SoundStimuli/GoodGollyMissMolly_LittleRichard_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,888741,1,2024-07-12_16h48.50.174,experiment,2024.1.5,Win32,60.0240096,6691931c2c63981b064e1f0c,6691b9953a1360840d8efd24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,502.846,509.802,0.248697917,0.069010417,1.0,0.0,0.0,0.952,compass,0.0,20.0,20.0,11.0,1.0,SoundStimuli/Superstition_StevieWonder_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,888741,1,2024-07-12_16h48.50.174,experiment,2024.1.5,Win32,60.0240096,6691931c2c63981b064e1f0c,6691b9953a1360840d8efd24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,509.803,516.321,-0.15625,0.114583333,1.0,0.0,0.0,0.504,compass,0.0,21.0,21.0,7.0,1.0,SoundStimuli/NoOne_AliciaKeys_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,888741,1,2024-07-12_16h48.50.174,experiment,2024.1.5,Win32,60.0240096,6691931c2c63981b064e1f0c,6691b9953a1360840d8efd24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,516.327,524.878,0.095052083,0.173177083,1.0,0.0,0.0,2.547,compass,0.0,22.0,22.0,27.0,1.0,SoundStimuli/ShapeofYou_EdSheeran_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,888741,1,2024-07-12_16h48.50.174,experiment,2024.1.5,Win32,60.0240096,6691931c2c63981b064e1f0c,6691b9953a1360840d8efd24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,524.88,531.552,0.236979167,-0.153645833,1.0,0.0,0.0,0.625,compass,0.0,23.0,23.0,15.0,1.0,SoundStimuli/TikTok_Kesha_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,888741,1,2024-07-12_16h48.50.174,experiment,2024.1.5,Win32,60.0240096,6691931c2c63981b064e1f0c,6691b9953a1360840d8efd24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,531.554,538.341,0.126302083,-0.1953125,1.0,0.0,0.0,0.776,compass,0.0,24.0,24.0,22.0,1.0,SoundStimuli/RockWithYou_MichaelJackson_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,888741,1,2024-07-12_16h48.50.174,experiment,2024.1.5,Win32,60.0240096,6691931c2c63981b064e1f0c,6691b9953a1360840d8efd24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,538.343,548.272,0.25,-0.252604167,1.0,0.0,0.0,3.878,compass,0.0,25.0,25.0,17.0,1.0,SoundStimuli/Fallin_AliciaKeys_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
