welcome.started,welcome.stopped,space_to_continue.keys,space_to_continue.rt,space_to_continue.duration,participant,session,date,expName,psychopyVersion,OS,frameRate,STUDY_ID,SESSION_ID,consent.consent,consent.consent_recontact,consent_check.started,consent_check.stopped,calibration_ready.started,calibration_ready.stopped,cal_ready.keys,cal_ready.rt,cal_ready.duration,calibration.started,calibration.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,move_on.keys,move_on.rt,move_on.duration,run_cal.thisRepN,run_cal.thisTrialN,run_cal.thisN,run_cal.thisIndex,run_cal.ran,emotion_training_ready.started,emotion_training_ready.stopped,training_move_on.keys,training_move_on.rt,training_move_on.duration,examples.started,examples.stopped,emotion_scale.started,emotion_scale.stopped,scale_next.keys,scale_next.rt,scale_next.duration,instructions.started,instructions.stopped,next.keys,next.rt,next.duration,practice_task.started,practice_task.stopped,mouse_rating_2.x,mouse_rating_2.y,mouse_rating_2.leftButton,mouse_rating_2.midButton,mouse_rating_2.rightButton,mouse_rating_2.time,mouse_rating_2.clicked_name,ready.started,ready.stopped,key_resp.keys,key_resp.rt,key_resp.duration,set_group.started,set_group.stopped,task.started,task.stopped,mouse_rating.x,mouse_rating.y,mouse_rating.leftButton,mouse_rating.midButton,mouse_rating.rightButton,mouse_rating.time,mouse_rating.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,clip,short_break.started,short_break.stopped,space_to_move_on.keys,space_to_move_on.rt,space_to_move_on.duration,instruction_reminder.started,instruction_reminder.stopped,reminder_move_on.keys,reminder_move_on.rt,reminder_move_on.duration,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,block,post_survey.age,post_survey.musician,post_survey.music_making,post_survey.listen_time,post_survey.medium,post_survey.music_seeking,post_survey.music_choice,post_survey.activities,post_survey.question1.Latin,post_survey.question1.Jazz,post_survey.question1.Pop,post_survey.question1.Hip hop,post_survey.question1.Electronic (EDM),post_survey.question1.Classic rock,post_survey.question1.A cappella,post_survey.question1.Ambient,post_survey.question1.Alternative rock,post_survey.question1.R&B,post_survey.question1.Folk/indie,post_survey.question1.Classical,post_survey.question1.Disco,post_survey.question1.Country,post_survey.question1.Reggae,post_survey.question1.Metal,post_survey.other_genres,post_survey.genres_ranked.text1,post_survey.genres_ranked.text2,post_survey.genres_ranked.text3,post_survey.habit_change,post_survey.habits,show_exp.thisRepN,show_exp.thisTrialN,show_exp.thisN,show_exp.thisIndex,show_exp.ran,goodbye.started,goodbye.stopped
,,,,,753153,1,2024-07-12_17h28.52.294,experiment,2024.1.5,Win32,59.88023952,6691931c2c63981b064e1f0c,6691bbbfa334351baf4fd09a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,316.1357,322.5372,0.175000014,0.12037037,1.0,0.0,0.0,0.3996,compass,0.0,2.0,2.0,0.0,1.0,SoundStimuli/StayinAlive_BeeGees_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,753153,1,2024-07-12_17h28.52.294,experiment,2024.1.5,Win32,59.88023952,6691931c2c63981b064e1f0c,6691bbbfa334351baf4fd09a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,322.5454,329.1317,0.175000014,0.12037037,1.0,0.0,0.0,0.5829,compass,0.0,3.0,3.0,5.0,1.0,SoundStimuli/MyGirl_TheTemptations_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,753153,1,2024-07-12_17h28.52.294,experiment,2024.1.5,Win32,59.88023952,6691931c2c63981b064e1f0c,6691bbbfa334351baf4fd09a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,329.1427,335.5925,-0.138888889,0.072222215,1.0,0.0,0.0,0.4495,compass,0.0,4.0,4.0,1.0,1.0,SoundStimuli/Stronger_KanyeWest_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,753153,1,2024-07-12_17h28.52.294,experiment,2024.1.5,Win32,59.88023952,6691931c2c63981b064e1f0c,6691bbbfa334351baf4fd09a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,335.6006,342.0207,-0.138888889,0.072222215,1.0,0.0,0.0,0.4157,compass,0.0,5.0,5.0,28.0,1.0,SoundStimuli/ComeAndGetYourLove_Redbone_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,753153,1,2024-07-12_17h28.52.294,experiment,2024.1.5,Win32,59.88023952,6691931c2c63981b064e1f0c,6691bbbfa334351baf4fd09a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,342.0353,348.7648,0.128703718,0.098148134,1.0,0.0,0.0,0.7163,compass,0.0,6.0,6.0,20.0,1.0,SoundStimuli/HeyYa_Outkast_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,753153,1,2024-07-12_17h28.52.294,experiment,2024.1.5,Win32,59.88023952,6691931c2c63981b064e1f0c,6691bbbfa334351baf4fd09a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,348.7767,355.3925,0.128703718,0.098148134,1.0,0.0,0.0,0.5999,compass,0.0,7.0,7.0,30.0,1.0,SoundStimuli/PokerFace_LadyGaga_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,753153,1,2024-07-12_17h28.52.294,experiment,2024.1.5,Win32,59.88023952,6691931c2c63981b064e1f0c,6691bbbfa334351baf4fd09a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,355.4069,362.0196,0.128703718,0.098148134,1.0,0.0,0.0,0.5989,compass,0.0,8.0,8.0,6.0,1.0,SoundStimuli/Levitating_DuaLipa_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,753153,1,2024-07-12_17h28.52.294,experiment,2024.1.5,Win32,59.88023952,6691931c2c63981b064e1f0c,6691bbbfa334351baf4fd09a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,362.0315,368.0642,0.128703718,0.098148134,1.0,0.0,0.0,0.0166,compass,0.0,9.0,9.0,16.0,1.0,SoundStimuli/BohemianRhapsody_Queen_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,753153,1,2024-07-12_17h28.52.294,experiment,2024.1.5,Win32,59.88023952,6691931c2c63981b064e1f0c,6691bbbfa334351baf4fd09a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,368.0724,374.6754,0.193518533,-0.091666681,1.0,0.0,0.0,0.5944,compass,0.0,10.0,10.0,34.0,1.0,SoundStimuli/AChangeIsGonnaCome_SamCooke_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,753153,1,2024-07-12_17h28.52.294,experiment,2024.1.5,Win32,59.88023952,6691931c2c63981b064e1f0c,6691bbbfa334351baf4fd09a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,374.6915,381.9028,0.137962977,0.213888892,1.0,0.0,0.0,1.1927,compass,0.0,11.0,11.0,14.0,1.0,SoundStimuli/BlindingLights_TheWeeknd_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
