welcome.started,welcome.stopped,space_to_continue.keys,space_to_continue.rt,space_to_continue.duration,participant,session,date,expName,psychopyVersion,OS,frameRate,STUDY_ID,SESSION_ID,consent.consent,consent.consent_recontact,consent_check.started,consent_check.stopped,calibration_ready.started,calibration_ready.stopped,cal_ready.keys,cal_ready.rt,cal_ready.duration,calibration.started,calibration.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,move_on.keys,move_on.rt,move_on.duration,run_cal.thisRepN,run_cal.thisTrialN,run_cal.thisN,run_cal.thisIndex,run_cal.ran,emotion_training_ready.started,emotion_training_ready.stopped,training_move_on.keys,training_move_on.rt,training_move_on.duration,examples.started,examples.stopped,emotion_scale.started,emotion_scale.stopped,scale_next.keys,scale_next.rt,scale_next.duration,instructions.started,instructions.stopped,next.keys,next.rt,next.duration,practice_task.started,practice_task.stopped,mouse_rating_2.x,mouse_rating_2.y,mouse_rating_2.leftButton,mouse_rating_2.midButton,mouse_rating_2.rightButton,mouse_rating_2.time,mouse_rating_2.clicked_name,ready.started,ready.stopped,key_resp.keys,key_resp.rt,key_resp.duration,set_group.started,set_group.stopped,task.started,task.stopped,mouse_rating.x,mouse_rating.y,mouse_rating.leftButton,mouse_rating.midButton,mouse_rating.rightButton,mouse_rating.time,mouse_rating.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,clip,short_break.started,short_break.stopped,space_to_move_on.keys,space_to_move_on.rt,space_to_move_on.duration,instruction_reminder.started,instruction_reminder.stopped,reminder_move_on.keys,reminder_move_on.rt,reminder_move_on.duration,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,block,post_survey.age,post_survey.musician,post_survey.music_making,post_survey.listen_time,post_survey.medium,post_survey.music_seeking,post_survey.music_choice,post_survey.activities,post_survey.question1.Country,post_survey.question1.Electronic (EDM),post_survey.question1.Classic rock,post_survey.question1.Ambient,post_survey.question1.Folk/indie,post_survey.question1.Jazz,post_survey.question1.Disco,post_survey.question1.Alternative rock,post_survey.question1.Pop,post_survey.question1.Classical,post_survey.question1.R&B,post_survey.question1.Reggae,post_survey.question1.Latin,post_survey.question1.Hip hop,post_survey.question1.Metal,post_survey.question1.A cappella,post_survey.other_genres,post_survey.genres_ranked.text1,post_survey.genres_ranked.text2,post_survey.genres_ranked.text3,post_survey.habit_change,post_survey.habits,show_exp.thisRepN,show_exp.thisTrialN,show_exp.thisN,show_exp.thisIndex,show_exp.ran,goodbye.started,goodbye.stopped
,,,,,651433,1,2024-07-12_19h24.32.249,experiment,2024.1.5,MacIntel,59.52380952,6691931c2c63981b064e1f0c,6691bb0a4f768257df25a267,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,481.546,487.8022,-0.009532878,0.060243937,1.0,0.0,0.0,0.2432,compass,0.0,15.0,15.0,26.0,1.0,SoundStimuli/LivinOnAPrayer_BonJovi_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,651433,1,2024-07-12_19h24.32.249,experiment,2024.1.5,MacIntel,59.52380952,6691931c2c63981b064e1f0c,6691bb0a4f768257df25a267,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,487.8213,494.1377,-0.00077969,0.011777818,1.0,0.0,0.0,0.3129,compass,0.0,16.0,16.0,4.0,1.0,SoundStimuli/GetUrFreakOn_MissyElliot_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,651433,1,2024-07-12_19h24.32.249,experiment,2024.1.5,MacIntel,59.52380952,6691931c2c63981b064e1f0c,6691bb0a4f768257df25a267,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,494.1545,502.9645,0.11887424,0.072586466,1.0,0.0,0.0,2.7982,compass,0.0,17.0,17.0,8.0,1.0,SoundStimuli/LikeAPrayer_Madonna_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,651433,1,2024-07-12_19h24.32.249,experiment,2024.1.5,MacIntel,59.52380952,6691931c2c63981b064e1f0c,6691bb0a4f768257df25a267,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,502.9826,509.2784,0.102159017,0.054431288,1.0,0.0,0.0,0.2812,compass,0.0,18.0,18.0,9.0,1.0,SoundStimuli/Despacito_LuisFonsiDaddyYankee_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,651433,1,2024-07-12_19h24.32.249,experiment,2024.1.5,MacIntel,59.52380952,6691931c2c63981b064e1f0c,6691bb0a4f768257df25a267,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,509.2988,519.1,-5.28971e-06,-0.002280273,1.0,0.0,0.0,3.7961,compass,0.0,19.0,19.0,18.0,1.0,SoundStimuli/AnotherOneBitesTheDust_Queen_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,651433,1,2024-07-12_19h24.32.249,experiment,2024.1.5,MacIntel,59.52380952,6691931c2c63981b064e1f0c,6691bb0a4f768257df25a267,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,519.1215,526.5857,0.11646464,-0.009474013,1.0,0.0,0.0,1.459,compass,0.0,20.0,20.0,7.0,1.0,SoundStimuli/NoOne_AliciaKeys_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,651433,1,2024-07-12_19h24.32.249,experiment,2024.1.5,MacIntel,59.52380952,6691931c2c63981b064e1f0c,6691bb0a4f768257df25a267,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,526.6045,532.9114,0.074774441,-0.05610104,1.0,0.0,0.0,0.299,compass,0.0,21.0,21.0,29.0,1.0,SoundStimuli/OldTownRoad_LilNasX_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,651433,1,2024-07-12_19h24.32.249,experiment,2024.1.5,MacIntel,59.52380952,6691931c2c63981b064e1f0c,6691bb0a4f768257df25a267,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,532.9299,541.1074,0.073513116,-0.048110352,1.0,0.0,0.0,2.1768,compass,0.0,22.0,22.0,12.0,1.0,SoundStimuli/IWillAlwaysLoveYou_WhitneyHouston_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,651433,1,2024-07-12_19h24.32.249,experiment,2024.1.5,MacIntel,59.52380952,6691931c2c63981b064e1f0c,6691bb0a4f768257df25a267,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,541.1256,549.9291,0.301214261,0.31838757,1.0,0.0,0.0,2.7998,compass,0.0,23.0,23.0,20.0,1.0,SoundStimuli/HeyYa_Outkast_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,651433,1,2024-07-12_19h24.32.249,experiment,2024.1.5,MacIntel,59.52380952,6691931c2c63981b064e1f0c,6691bb0a4f768257df25a267,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,549.9459,558.2322,0.165824653,0.21156762,1.0,0.0,0.0,2.2856,compass,0.0,24.0,24.0,15.0,1.0,SoundStimuli/TikTok_Kesha_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
