welcome.started,welcome.stopped,space_to_continue.keys,space_to_continue.rt,space_to_continue.duration,participant,session,date,expName,psychopyVersion,OS,frameRate,STUDY_ID,SESSION_ID,consent.consent,consent.consent_recontact,consent_check.started,consent_check.stopped,calibration_ready.started,calibration_ready.stopped,cal_ready.keys,cal_ready.rt,cal_ready.duration,calibration.started,calibration.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,move_on.keys,move_on.rt,move_on.duration,run_cal.thisRepN,run_cal.thisTrialN,run_cal.thisN,run_cal.thisIndex,run_cal.ran,emotion_training_ready.started,emotion_training_ready.stopped,training_move_on.keys,training_move_on.rt,training_move_on.duration,examples.started,examples.stopped,emotion_scale.started,emotion_scale.stopped,scale_next.keys,scale_next.rt,scale_next.duration,instructions.started,instructions.stopped,next.keys,next.rt,next.duration,practice_task.started,practice_task.stopped,mouse_rating_2.x,mouse_rating_2.y,mouse_rating_2.leftButton,mouse_rating_2.midButton,mouse_rating_2.rightButton,mouse_rating_2.time,mouse_rating_2.clicked_name,ready.started,ready.stopped,key_resp.keys,key_resp.rt,key_resp.duration,set_group.started,set_group.stopped,task.started,task.stopped,mouse_rating.x,mouse_rating.y,mouse_rating.leftButton,mouse_rating.midButton,mouse_rating.rightButton,mouse_rating.time,mouse_rating.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,clip,short_break.started,short_break.stopped,space_to_move_on.keys,space_to_move_on.rt,space_to_move_on.duration,instruction_reminder.started,instruction_reminder.stopped,reminder_move_on.keys,reminder_move_on.rt,reminder_move_on.duration,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,block,post_survey.age,post_survey.musician,post_survey.music_making,post_survey.listen_time,post_survey.medium,post_survey.music_seeking,post_survey.music_choice,post_survey.activities,post_survey.question1.Classic rock,post_survey.question1.Reggae,post_survey.question1.Country,post_survey.question1.Electronic (EDM),post_survey.question1.Metal,post_survey.question1.Pop,post_survey.question1.R&B,post_survey.question1.A cappella,post_survey.question1.Ambient,post_survey.question1.Folk/indie,post_survey.question1.Latin,post_survey.question1.Jazz,post_survey.question1.Alternative rock,post_survey.question1.Hip hop,post_survey.question1.Disco,post_survey.question1.Classical,post_survey.other_genres,post_survey.genres_ranked.text1,post_survey.genres_ranked.text2,post_survey.genres_ranked.text3,post_survey.habit_change,post_survey.habits,show_exp.thisRepN,show_exp.thisTrialN,show_exp.thisN,show_exp.thisIndex,show_exp.ran,goodbye.started,goodbye.stopped
,,,,,378811,1,2024-07-12_16h07.05.546,experiment,2024.1.5,MacIntel,58.82352941,6691931c2c63981b064e1f0c,6691b7033008e619db223b2b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,518.929,525.329,0.278703704,0.15462963,1.0,0.0,0.0,0.391,compass,0.0,0.0,0.0,15.0,1.0,SoundStimuli/CrazyInLove_BeyonceFtJayZ_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,378811,1,2024-07-12_16h07.05.546,experiment,2024.1.5,MacIntel,58.82352941,6691931c2c63981b064e1f0c,6691b7033008e619db223b2b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,525.33,532.81,-0.07962963,0.162962963,1.0,0.0,0.0,1.469,compass,0.0,1.0,1.0,28.0,1.0,SoundStimuli/IWantToHoldYourHand_TheBeatles_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,378811,1,2024-07-12_16h07.05.546,experiment,2024.1.5,MacIntel,58.82352941,6691931c2c63981b064e1f0c,6691b7033008e619db223b2b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,532.811,539.144,0.232407407,0.222222222,1.0,0.0,0.0,0.326,compass,0.0,2.0,2.0,26.0,1.0,SoundStimuli/TheSign_AceOfBase_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,378811,1,2024-07-12_16h07.05.546,experiment,2024.1.5,MacIntel,58.82352941,6691931c2c63981b064e1f0c,6691b7033008e619db223b2b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,539.145,546.209,0.27962963,0.130555556,1.0,0.0,0.0,1.063,compass,0.0,3.0,3.0,17.0,1.0,SoundStimuli/IWannaDanceWithSomebody_WhitneyHouston_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,378811,1,2024-07-12_16h07.05.546,experiment,2024.1.5,MacIntel,58.82352941,6691931c2c63981b064e1f0c,6691b7033008e619db223b2b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,546.21,553.249,-0.331481481,0.128703704,1.0,0.0,0.0,1.027,compass,0.0,4.0,4.0,29.0,1.0,SoundStimuli/BetteDavisEyes_KimCarnes_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,378811,1,2024-07-12_16h07.05.546,experiment,2024.1.5,MacIntel,58.82352941,6691931c2c63981b064e1f0c,6691b7033008e619db223b2b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,553.25,560.844,0.090740741,0.189814815,1.0,0.0,0.0,1.59,compass,0.0,5.0,5.0,20.0,1.0,SoundStimuli/FlashdanceWhatAFeeling_IreneCara_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,378811,1,2024-07-12_16h07.05.546,experiment,2024.1.5,MacIntel,58.82352941,6691931c2c63981b064e1f0c,6691b7033008e619db223b2b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,560.845,568.791,0.087962963,0.100925926,1.0,0.0,0.0,1.939,compass,0.0,6.0,6.0,27.0,1.0,SoundStimuli/EyeOfTheTiger_Survivor_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,378811,1,2024-07-12_16h07.05.546,experiment,2024.1.5,MacIntel,58.82352941,6691931c2c63981b064e1f0c,6691b7033008e619db223b2b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,568.792,575.16,0.257407407,-0.067592593,1.0,0.0,0.0,0.363,compass,0.0,7.0,7.0,1.0,1.0,SoundStimuli/Smooth_SantanaRobThomas_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,378811,1,2024-07-12_16h07.05.546,experiment,2024.1.5,MacIntel,58.82352941,6691931c2c63981b064e1f0c,6691b7033008e619db223b2b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,575.161,581.461,0.287037037,-0.140740741,1.0,0.0,0.0,0.297,compass,0.0,8.0,8.0,25.0,1.0,SoundStimuli/IllMakeLoveToYou_BoyzIIMen_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,378811,1,2024-07-12_16h07.05.546,experiment,2024.1.5,MacIntel,58.82352941,6691931c2c63981b064e1f0c,6691b7033008e619db223b2b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,581.462,588.171,0.283333333,-0.155555556,1.0,0.0,0.0,0.703,compass,0.0,9.0,9.0,23.0,1.0,SoundStimuli/IWalkTheLine_JohnnyCash_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
