welcome.started,welcome.stopped,space_to_continue.keys,space_to_continue.rt,space_to_continue.duration,participant,session,date,expName,psychopyVersion,OS,frameRate,STUDY_ID,SESSION_ID,consent.consent,consent.consent_recontact,consent_check.started,consent_check.stopped,calibration_ready.started,calibration_ready.stopped,cal_ready.keys,cal_ready.rt,cal_ready.duration,calibration.started,calibration.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,move_on.keys,move_on.rt,move_on.duration,run_cal.thisRepN,run_cal.thisTrialN,run_cal.thisN,run_cal.thisIndex,run_cal.ran,emotion_training_ready.started,emotion_training_ready.stopped,training_move_on.keys,training_move_on.rt,training_move_on.duration,examples.started,examples.stopped,emotion_scale.started,emotion_scale.stopped,scale_next.keys,scale_next.rt,scale_next.duration,instructions.started,instructions.stopped,next.keys,next.rt,next.duration,practice_task.started,practice_task.stopped,mouse_rating_2.x,mouse_rating_2.y,mouse_rating_2.leftButton,mouse_rating_2.midButton,mouse_rating_2.rightButton,mouse_rating_2.time,mouse_rating_2.clicked_name,ready.started,ready.stopped,key_resp.keys,key_resp.rt,key_resp.duration,set_group.started,set_group.stopped,task.started,task.stopped,mouse_rating.x,mouse_rating.y,mouse_rating.leftButton,mouse_rating.midButton,mouse_rating.rightButton,mouse_rating.time,mouse_rating.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,clip,short_break.started,short_break.stopped,space_to_move_on.keys,space_to_move_on.rt,space_to_move_on.duration,instruction_reminder.started,instruction_reminder.stopped,reminder_move_on.keys,reminder_move_on.rt,reminder_move_on.duration,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,block,post_survey.age,post_survey.musician,post_survey.music_making,post_survey.listen_time,post_survey.medium,post_survey.music_seeking,post_survey.music_choice,post_survey.activities,post_survey.question1.Electronic (EDM),post_survey.question1.Classic rock,post_survey.question1.Folk/indie,post_survey.question1.A cappella,post_survey.question1.Alternative rock,post_survey.question1.Metal,post_survey.question1.Ambient,post_survey.question1.Hip hop,post_survey.question1.Reggae,post_survey.question1.Classical,post_survey.question1.Pop,post_survey.question1.Country,post_survey.question1.Disco,post_survey.question1.Latin,post_survey.question1.Jazz,post_survey.question1.R&B,post_survey.genres_ranked.text1,post_survey.genres_ranked.text2,post_survey.genres_ranked.text3,post_survey.habit_change,show_exp.thisRepN,show_exp.thisTrialN,show_exp.thisN,show_exp.thisIndex,show_exp.ran,goodbye.started,goodbye.stopped
,,,,,48901,1,2024-07-12_17h26.55.842,experiment,2024.1.5,MacIntel,60.24096386,6691931c2c63981b064e1f0c,6691ad90ddd5c749f563592f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,338.6147,344.9057,-0.0880136,-0.095757378,1.0,0.0,0.0,0.2842,compass,0.0,16.0,16.0,4.0,1.0,SoundStimuli/Dreams_FleetwoodMac_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,48901,1,2024-07-12_17h26.55.842,experiment,2024.1.5,MacIntel,60.24096386,6691931c2c63981b064e1f0c,6691ad90ddd5c749f563592f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,344.912,351.0721,-0.096191406,-0.05629702,1.0,0.0,0.0,0.1496,compass,0.0,17.0,17.0,21.0,1.0,SoundStimuli/BridgeOverTroubledWater_SimonAndGarfunkel_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,48901,1,2024-07-12_17h26.55.842,experiment,2024.1.5,MacIntel,60.24096386,6691931c2c63981b064e1f0c,6691ad90ddd5c749f563592f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,351.0784,357.1718,-0.286686198,0.278573495,1.0,0.0,0.0,0.0828,compass,0.0,18.0,18.0,2.0,1.0,SoundStimuli/SmellsLikeTeenSpirit_Nirvana_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,48901,1,2024-07-12_17h26.55.842,experiment,2024.1.5,MacIntel,60.24096386,6691931c2c63981b064e1f0c,6691ad90ddd5c749f563592f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,357.178,363.5056,0.231304253,0.227864583,1.0,0.0,0.0,0.3165,compass,0.0,19.0,19.0,0.0,1.0,SoundStimuli/GimmeShelter_RollingStones_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,48901,1,2024-07-12_17h26.55.842,experiment,2024.1.5,MacIntel,60.24096386,6691931c2c63981b064e1f0c,6691ad90ddd5c749f563592f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363.5169,370.3723,0.197265625,-0.212123843,1.0,0.0,0.0,0.85,compass,0.0,20.0,20.0,32.0,1.0,SoundStimuli/Dilemma_NellyKellyRowland_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,48901,1,2024-07-12_17h26.55.842,experiment,2024.1.5,MacIntel,60.24096386,6691931c2c63981b064e1f0c,6691ad90ddd5c749f563592f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,370.3769,376.4724,-0.252264178,0.07890625,1.0,0.0,0.0,0.0833,compass,0.0,21.0,21.0,30.0,1.0,SoundStimuli/SomebodyThatIUsedtoKnow_Gotye_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,48901,1,2024-07-12_17h26.55.842,experiment,2024.1.5,MacIntel,60.24096386,6691931c2c63981b064e1f0c,6691ad90ddd5c749f563592f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,376.4788,384.7224,0.242230903,0.311396846,1.0,0.0,0.0,2.2329,compass,0.0,22.0,22.0,20.0,1.0,SoundStimuli/FlashdanceWhatAFeeling_IreneCara_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,48901,1,2024-07-12_17h26.55.842,experiment,2024.1.5,MacIntel,60.24096386,6691931c2c63981b064e1f0c,6691ad90ddd5c749f563592f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,384.729,391.139,0.266644965,0.215039062,1.0,0.0,0.0,0.4006,compass,0.0,23.0,23.0,27.0,1.0,SoundStimuli/EyeOfTheTiger_Survivor_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,48901,1,2024-07-12_17h26.55.842,experiment,2024.1.5,MacIntel,60.24096386,6691931c2c63981b064e1f0c,6691ad90ddd5c749f563592f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,391.1488,397.8555,0.160532407,0.103559028,1.0,0.0,0.0,0.6998,compass,0.0,24.0,24.0,3.0,1.0,SoundStimuli/PartyRockAnthem_LMFAO_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,48901,1,2024-07-12_17h26.55.842,experiment,2024.1.5,MacIntel,60.24096386,6691931c2c63981b064e1f0c,6691ad90ddd5c749f563592f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,397.8637,405.2388,0.183644387,-0.055277054,1.0,0.0,0.0,1.3671,compass,0.0,25.0,25.0,25.0,1.0,SoundStimuli/IllMakeLoveToYou_BoyzIIMen_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
