welcome.started,welcome.stopped,space_to_continue.keys,space_to_continue.rt,space_to_continue.duration,participant,session,date,expName,psychopyVersion,OS,frameRate,STUDY_ID,SESSION_ID,consent.consent,consent.consent_recontact,consent_check.started,consent_check.stopped,calibration_ready.started,calibration_ready.stopped,cal_ready.keys,cal_ready.rt,cal_ready.duration,calibration.started,calibration.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,move_on.keys,move_on.rt,move_on.duration,run_cal.thisRepN,run_cal.thisTrialN,run_cal.thisN,run_cal.thisIndex,run_cal.ran,emotion_training_ready.started,emotion_training_ready.stopped,training_move_on.keys,training_move_on.rt,training_move_on.duration,examples.started,examples.stopped,emotion_scale.started,emotion_scale.stopped,scale_next.keys,scale_next.rt,scale_next.duration,instructions.started,instructions.stopped,next.keys,next.rt,next.duration,practice_task.started,practice_task.stopped,mouse_rating_2.x,mouse_rating_2.y,mouse_rating_2.leftButton,mouse_rating_2.midButton,mouse_rating_2.rightButton,mouse_rating_2.time,mouse_rating_2.clicked_name,ready.started,ready.stopped,key_resp.keys,key_resp.rt,key_resp.duration,set_group.started,set_group.stopped,task.started,task.stopped,mouse_rating.x,mouse_rating.y,mouse_rating.leftButton,mouse_rating.midButton,mouse_rating.rightButton,mouse_rating.time,mouse_rating.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,clip,short_break.started,short_break.stopped,space_to_move_on.keys,space_to_move_on.rt,space_to_move_on.duration,instruction_reminder.started,instruction_reminder.stopped,reminder_move_on.keys,reminder_move_on.rt,reminder_move_on.duration,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,block,post_survey.age,post_survey.musician,post_survey.music_making,post_survey.listen_time,post_survey.medium,post_survey.music_seeking,post_survey.music_choice,post_survey.activities,post_survey.question1.Jazz,post_survey.question1.R&B,post_survey.question1.Latin,post_survey.question1.Pop,post_survey.question1.Reggae,post_survey.question1.Classical,post_survey.question1.Alternative rock,post_survey.question1.Hip hop,post_survey.question1.Electronic (EDM),post_survey.question1.Disco,post_survey.question1.Folk/indie,post_survey.question1.Country,post_survey.question1.A cappella,post_survey.question1.Ambient,post_survey.question1.Metal,post_survey.question1.Classic rock,post_survey.other_genres,post_survey.genres_ranked.text1,post_survey.genres_ranked.text2,post_survey.genres_ranked.text3,post_survey.habit_change,post_survey.habits,show_exp.thisRepN,show_exp.thisTrialN,show_exp.thisN,show_exp.thisIndex,show_exp.ran,goodbye.started,goodbye.stopped
,,,,,799961,1,2024-07-12_18h54.04.730,experiment,2024.1.5,Win32,30.39513678,6691931c2c63981b064e1f0c,6691b3f1a8d561924cf6515e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,442.703,449.287,0.210648148,0.136574074,1.0,0.0,0.0,0.572,compass,0.0,25.0,25.0,4.0,1.0,SoundStimuli/GetUrFreakOn_MissyElliot_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,799961,1,2024-07-12_18h54.04.730,experiment,2024.1.5,Win32,30.39513678,6691931c2c63981b064e1f0c,6691b3f1a8d561924cf6515e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,449.288,455.654,0.210648148,0.137731481,1.0,0.0,0.0,0.354,compass,0.0,26.0,26.0,11.0,1.0,SoundStimuli/Superstition_StevieWonder_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,799961,1,2024-07-12_18h54.04.730,experiment,2024.1.5,Win32,30.39513678,6691931c2c63981b064e1f0c,6691b3f1a8d561924cf6515e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,455.656,462.121,0.210648148,0.137731481,1.0,0.0,0.0,0.454,compass,0.0,27.0,27.0,24.0,1.0,SoundStimuli/UptownFunk_MarkRonson_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,799961,1,2024-07-12_18h54.04.730,experiment,2024.1.5,Win32,30.39513678,6691931c2c63981b064e1f0c,6691b3f1a8d561924cf6515e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,462.123,468.618,0.210648148,0.137731481,1.0,0.0,0.0,0.487,compass,0.0,28.0,28.0,20.0,1.0,SoundStimuli/HeyYa_Outkast_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,799961,1,2024-07-12_18h54.04.730,experiment,2024.1.5,Win32,30.39513678,6691931c2c63981b064e1f0c,6691b3f1a8d561924cf6515e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,468.619,475.002,-0.084490741,0.143518519,1.0,0.0,0.0,0.38,compass,0.0,29.0,29.0,23.0,1.0,SoundStimuli/StrawberryFieldsForever_TheBeatles_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,799961,1,2024-07-12_18h54.04.730,experiment,2024.1.5,Win32,30.39513678,6691931c2c63981b064e1f0c,6691b3f1a8d561924cf6515e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,475.003,481.332,-0.134259259,0.185185185,1.0,0.0,0.0,0.316,compass,0.0,30.0,30.0,25.0,1.0,SoundStimuli/Respect_ArethaFranklin_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,799961,1,2024-07-12_18h54.04.730,experiment,2024.1.5,Win32,30.39513678,6691931c2c63981b064e1f0c,6691b3f1a8d561924cf6515e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,481.334,488.135,0.162037037,-0.175925926,1.0,0.0,0.0,0.787,compass,0.0,31.0,31.0,27.0,1.0,SoundStimuli/ShapeofYou_EdSheeran_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,799961,1,2024-07-12_18h54.04.730,experiment,2024.1.5,Win32,30.39513678,6691931c2c63981b064e1f0c,6691b3f1a8d561924cf6515e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,488.138,494.49,-0.27662037,-0.18287037,1.0,0.0,0.0,0.34,compass,0.0,32.0,32.0,22.0,1.0,SoundStimuli/RockWithYou_MichaelJackson_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,799961,1,2024-07-12_18h54.04.730,experiment,2024.1.5,Win32,30.39513678,6691931c2c63981b064e1f0c,6691b3f1a8d561924cf6515e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,494.494,501.514,0.159722222,-0.171296296,1.0,0.0,0.0,1.015,compass,0.0,33.0,33.0,14.0,1.0,SoundStimuli/BlindingLights_TheWeeknd_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,799961,1,2024-07-12_18h54.04.730,experiment,2024.1.5,Win32,30.39513678,6691931c2c63981b064e1f0c,6691b3f1a8d561924cf6515e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,501.514,507.896,0.19212963,0.143518519,1.0,0.0,0.0,0.363,compass,0.0,34.0,34.0,15.0,1.0,SoundStimuli/TikTok_Kesha_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
