welcome.started,welcome.stopped,space_to_continue.keys,space_to_continue.rt,space_to_continue.duration,participant,session,date,expName,psychopyVersion,OS,frameRate,STUDY_ID,SESSION_ID,consent.consent,consent.consent_recontact,consent_check.started,consent_check.stopped,calibration_ready.started,calibration_ready.stopped,cal_ready.keys,cal_ready.rt,cal_ready.duration,calibration.started,calibration.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,move_on.keys,move_on.rt,move_on.duration,run_cal.thisRepN,run_cal.thisTrialN,run_cal.thisN,run_cal.thisIndex,run_cal.ran,emotion_training_ready.started,emotion_training_ready.stopped,training_move_on.keys,training_move_on.rt,training_move_on.duration,examples.started,examples.stopped,emotion_scale.started,emotion_scale.stopped,scale_next.keys,scale_next.rt,scale_next.duration,instructions.started,instructions.stopped,next.keys,next.rt,next.duration,practice_task.started,practice_task.stopped,mouse_rating_2.x,mouse_rating_2.y,mouse_rating_2.leftButton,mouse_rating_2.midButton,mouse_rating_2.rightButton,mouse_rating_2.time,mouse_rating_2.clicked_name,ready.started,ready.stopped,key_resp.keys,key_resp.rt,key_resp.duration,set_group.started,set_group.stopped,task.started,task.stopped,mouse_rating.x,mouse_rating.y,mouse_rating.leftButton,mouse_rating.midButton,mouse_rating.rightButton,mouse_rating.time,mouse_rating.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,clip,short_break.started,short_break.stopped,space_to_move_on.keys,space_to_move_on.rt,space_to_move_on.duration,instruction_reminder.started,instruction_reminder.stopped,reminder_move_on.keys,reminder_move_on.rt,reminder_move_on.duration,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,block,post_survey.age,post_survey.musician,post_survey.music_making,post_survey.listen_time,post_survey.medium,post_survey.music_seeking,post_survey.music_choice,post_survey.activities,post_survey.question1.Latin,post_survey.question1.A cappella,post_survey.question1.Reggae,post_survey.question1.R&B,post_survey.question1.Folk/indie,post_survey.question1.Ambient,post_survey.question1.Electronic (EDM),post_survey.question1.Jazz,post_survey.question1.Alternative rock,post_survey.question1.Disco,post_survey.question1.Metal,post_survey.question1.Pop,post_survey.question1.Hip hop,post_survey.question1.Country,post_survey.question1.Classic rock,post_survey.question1.Classical,post_survey.genres_ranked.text1,post_survey.genres_ranked.text2,post_survey.genres_ranked.text3,post_survey.habit_change,post_survey.habits,show_exp.thisRepN,show_exp.thisTrialN,show_exp.thisN,show_exp.thisIndex,show_exp.ran,goodbye.started,goodbye.stopped
0.0,1.55,space,1.516,,913152,1,2024-07-12_18h37.39.899,experiment,2024.1.5,MacIntel,59.95203837,6691931c2c63981b064e1f0c,6691b013c592812b0fa77191,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,913152,1,2024-07-12_18h37.39.899,experiment,2024.1.5,MacIntel,59.95203837,6691931c2c63981b064e1f0c,6691b013c592812b0fa77191,yes,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,913152,1,2024-07-12_18h37.39.899,experiment,2024.1.5,MacIntel,59.95203837,6691931c2c63981b064e1f0c,6691b013c592812b0fa77191,,,15.378,15.378,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,913152,1,2024-07-12_18h37.39.899,experiment,2024.1.5,MacIntel,59.95203837,6691931c2c63981b064e1f0c,6691b013c592812b0fa77191,,,,,15.38,19.634,space,4.187,,19.636,31.301,[-0.01582014987510408],[-0.4200666111573689],[1],[0],[0],[2.851000000000006],"[""play_button""]",y,10.634,,0.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,913152,1,2024-07-12_18h37.39.899,experiment,2024.1.5,MacIntel,59.95203837,6691931c2c63981b064e1f0c,6691b013c592812b0fa77191,,,,,,,,,,,,,,,,,,,,,,,,,,,31.302,56.883,space,25.481,,56.884,176.902,176.903,184.865,right,4.421,,184.865,193.366,space,8.418,,193.367,200.268,0.153205662,-0.273522065,1.0,0.0,0.0,0.899,compass_2,200.268,202.25,space,1.937,,202.25,202.25,202.272,211.551,0.206494588,-0.1244796,1.0,0.0,0.0,3.267,compass,0.0,0.0,0.0,34.0,1.0,SoundStimuli/AChangeIsGonnaCome_SamCooke_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,913152,1,2024-07-12_18h37.39.899,experiment,2024.1.5,MacIntel,59.95203837,6691931c2c63981b064e1f0c,6691b013c592812b0fa77191,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,211.553,218.167,0.141548709,0.12531224,1.0,0.0,0.0,0.6,compass,0.0,1.0,1.0,0.0,1.0,SoundStimuli/StayinAlive_BeeGees_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,913152,1,2024-07-12_18h37.39.899,experiment,2024.1.5,MacIntel,59.95203837,6691931c2c63981b064e1f0c,6691b013c592812b0fa77191,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,218.168,228.634,0.245628643,0.178601166,1.0,0.0,0.0,4.449,compass,0.0,2.0,2.0,2.0,1.0,SoundStimuli/Mood_24kGoldnianndior_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,913152,1,2024-07-12_18h37.39.899,experiment,2024.1.5,MacIntel,59.95203837,6691931c2c63981b064e1f0c,6691b013c592812b0fa77191,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,228.634,239.536,-0.282264779,0.235220649,1.0,0.0,0.0,4.886,compass,0.0,3.0,3.0,25.0,1.0,SoundStimuli/Respect_ArethaFranklin_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,913152,1,2024-07-12_18h37.39.899,experiment,2024.1.5,MacIntel,59.95203837,6691931c2c63981b064e1f0c,6691b013c592812b0fa77191,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,239.539,245.95,0.272273106,-0.063696919,1.0,0.0,0.0,0.401,compass,0.0,4.0,4.0,27.0,1.0,SoundStimuli/ShapeofYou_EdSheeran_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,913152,1,2024-07-12_18h37.39.899,experiment,2024.1.5,MacIntel,59.95203837,6691931c2c63981b064e1f0c,6691b013c592812b0fa77191,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,245.952,252.184,0.269775187,0.087843464,1.0,0.0,0.0,0.217,compass,0.0,5.0,5.0,7.0,1.0,SoundStimuli/NoOne_AliciaKeys_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
