welcome.started,welcome.stopped,space_to_continue.keys,space_to_continue.rt,space_to_continue.duration,participant,session,date,expName,psychopyVersion,OS,frameRate,STUDY_ID,SESSION_ID,consent.consent,consent.consent_recontact,consent_check.started,consent_check.stopped,calibration_ready.started,calibration_ready.stopped,cal_ready.keys,cal_ready.rt,cal_ready.duration,calibration.started,calibration.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,move_on.keys,move_on.rt,move_on.duration,run_cal.thisRepN,run_cal.thisTrialN,run_cal.thisN,run_cal.thisIndex,run_cal.ran,emotion_training_ready.started,emotion_training_ready.stopped,training_move_on.keys,training_move_on.rt,training_move_on.duration,examples.started,examples.stopped,emotion_scale.started,emotion_scale.stopped,scale_next.keys,scale_next.rt,scale_next.duration,instructions.started,instructions.stopped,next.keys,next.rt,next.duration,practice_task.started,practice_task.stopped,mouse_rating_2.x,mouse_rating_2.y,mouse_rating_2.leftButton,mouse_rating_2.midButton,mouse_rating_2.rightButton,mouse_rating_2.time,mouse_rating_2.clicked_name,ready.started,ready.stopped,key_resp.keys,key_resp.rt,key_resp.duration,set_group.started,set_group.stopped,task.started,task.stopped,mouse_rating.x,mouse_rating.y,mouse_rating.leftButton,mouse_rating.midButton,mouse_rating.rightButton,mouse_rating.time,mouse_rating.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,clip,short_break.started,short_break.stopped,space_to_move_on.keys,space_to_move_on.rt,space_to_move_on.duration,instruction_reminder.started,instruction_reminder.stopped,reminder_move_on.keys,reminder_move_on.rt,reminder_move_on.duration,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,block,post_survey.age,post_survey.musician,post_survey.music_making,post_survey.listen_time,post_survey.medium,post_survey.music_seeking,post_survey.music_choice,post_survey.activities,post_survey.question1.Folk/indie,post_survey.question1.Ambient,post_survey.question1.Classic rock,post_survey.question1.Country,post_survey.question1.Hip hop,post_survey.question1.R&B,post_survey.question1.Disco,post_survey.question1.Jazz,post_survey.question1.Classical,post_survey.question1.Alternative rock,post_survey.question1.Latin,post_survey.question1.Reggae,post_survey.question1.Metal,post_survey.question1.A cappella,post_survey.question1.Electronic (EDM),post_survey.question1.Pop,post_survey.other_genres,post_survey.genres_ranked.text1,post_survey.genres_ranked.text2,post_survey.genres_ranked.text3,post_survey.habit_change,post_survey.habits,show_exp.thisRepN,show_exp.thisTrialN,show_exp.thisN,show_exp.thisIndex,show_exp.ran,goodbye.started,goodbye.stopped
,,,,,825317,1,2024-07-12_17h38.05.351,experiment,2024.1.5,Win32,60.60606061,6691931c2c63981b064e1f0c,6691b01af6ae03b54151c384,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1303.3281,1312.9391,0.027777778,0.025925919,1.0,0.0,0.0,3.6001,compass,0.0,24.0,24.0,21.0,1.0,SoundStimuli/GoodGollyMissMolly_LittleRichard_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,825317,1,2024-07-12_17h38.05.351,experiment,2024.1.5,Win32,60.60606061,6691931c2c63981b064e1f0c,6691b01af6ae03b54151c384,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1312.9455,1319.8883,0.095370399,-0.152777778,1.0,0.0,0.0,0.9327,compass,0.0,25.0,25.0,23.0,1.0,SoundStimuli/StrawberryFieldsForever_TheBeatles_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,825317,1,2024-07-12_17h38.05.351,experiment,2024.1.5,Win32,60.60606061,6691931c2c63981b064e1f0c,6691b01af6ae03b54151c384,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1319.8952,1326.5881,0.148148148,0.151851831,1.0,0.0,0.0,0.683,compass,0.0,26.0,26.0,32.0,1.0,SoundStimuli/HeatWaves_GlassAnimals_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,825317,1,2024-07-12_17h38.05.351,experiment,2024.1.5,Win32,60.60606061,6691931c2c63981b064e1f0c,6691b01af6ae03b54151c384,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1326.5941,1333.2383,0.165740755,0.276851848,1.0,0.0,0.0,0.6331,compass,0.0,27.0,27.0,27.0,1.0,SoundStimuli/ShapeofYou_EdSheeran_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,825317,1,2024-07-12_17h38.05.351,experiment,2024.1.5,Win32,60.60606061,6691931c2c63981b064e1f0c,6691b01af6ae03b54151c384,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1333.2438,1339.9717,0.111111111,0.087962963,1.0,0.0,0.0,0.7173,compass,0.0,28.0,28.0,8.0,1.0,SoundStimuli/LikeAPrayer_Madonna_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,825317,1,2024-07-12_17h38.05.351,experiment,2024.1.5,Win32,60.60606061,6691931c2c63981b064e1f0c,6691b01af6ae03b54151c384,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1339.9774,1346.4714,-0.029629601,-0.033333355,1.0,0.0,0.0,0.4833,compass,0.0,29.0,29.0,12.0,1.0,SoundStimuli/IWillAlwaysLoveYou_WhitneyHouston_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,825317,1,2024-07-12_17h38.05.351,experiment,2024.1.5,Win32,60.60606061,6691931c2c63981b064e1f0c,6691b01af6ae03b54151c384,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1346.4769,1353.7879,0.093518504,0.045370349,1.0,0.0,0.0,1.3002,compass,0.0,30.0,30.0,9.0,1.0,SoundStimuli/Despacito_LuisFonsiDaddyYankee_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,825317,1,2024-07-12_17h38.05.351,experiment,2024.1.5,Win32,60.60606061,6691931c2c63981b064e1f0c,6691b01af6ae03b54151c384,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1353.7938,1361.2711,-0.186111097,0.034259266,1.0,0.0,0.0,1.4668,compass,0.0,31.0,31.0,16.0,1.0,SoundStimuli/BohemianRhapsody_Queen_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,825317,1,2024-07-12_17h38.05.351,experiment,2024.1.5,Win32,60.60606061,6691931c2c63981b064e1f0c,6691b01af6ae03b54151c384,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1361.2767,1370.2375,0.10092594,0.15648146,1.0,0.0,0.0,2.95,compass,0.0,32.0,32.0,28.0,1.0,SoundStimuli/ComeAndGetYourLove_Redbone_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,825317,1,2024-07-12_17h38.05.351,experiment,2024.1.5,Win32,60.60606061,6691931c2c63981b064e1f0c,6691b01af6ae03b54151c384,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1370.2434,1377.1709,-0.030555513,0.200925933,1.0,0.0,0.0,0.9168,compass,0.0,33.0,33.0,34.0,1.0,SoundStimuli/AChangeIsGonnaCome_SamCooke_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,825317,1,2024-07-12_17h38.05.351,experiment,2024.1.5,Win32,60.60606061,6691931c2c63981b064e1f0c,6691b01af6ae03b54151c384,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1377.1764,1384.104,0.084259245,-0.212037051,1.0,0.0,0.0,0.9164,compass,0.0,34.0,34.0,19.0,1.0,SoundStimuli/LetsGetItOn_MarvinGaye_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,825317,1,2024-07-12_17h38.05.351,experiment,2024.1.5,Win32,60.60606061,6691931c2c63981b064e1f0c,6691b01af6ae03b54151c384,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1384.1041,1384.1041,,,,1384.1041,1384.1041,,,,0.0,3.0,3.0,3.0,1.0,block_order/blockA.xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,825317,1,2024-07-12_17h38.05.351,experiment,2024.1.5,Win32,60.60606061,6691931c2c63981b064e1f0c,6691b01af6ae03b54151c384,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0,Item 3,"Flute player from 12-18 in high school band (marching and concert band), community band, and symphony. Alto saxophone player from 14-16 in jazz and pep band in high school. Baritone saxophone player from 16-18 in jazz and pep band in high school.",Item 4,Spotify and YouTube,6.0,7.0,"Driving, exercising, working, hanging out with friends, and doing chores.",Always,Rarely,Rarely,Never,Never,Never,Never,Sometimes,Sometimes,Rarely,Never,Never,Never,Never,Rarely,Always,,Indie/folk,Pop,Jazz,I've better found what I like and I've stuck with it rather than just listening to what those around me like.,,0.0,0.0,0.0,0.0,1.0,,
,,,,,825317,1,2024-07-12_17h38.05.351,experiment,2024.1.5,Win32,60.60606061,6691931c2c63981b064e1f0c,6691b01af6ae03b54151c384,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1695.0457,1697.2328
