welcome.started,welcome.stopped,space_to_continue.keys,space_to_continue.rt,space_to_continue.duration,participant,session,date,expName,psychopyVersion,OS,frameRate,STUDY_ID,SESSION_ID,consent.consent,consent.consent_recontact,consent_check.started,consent_check.stopped,calibration_ready.started,calibration_ready.stopped,cal_ready.keys,cal_ready.rt,cal_ready.duration,calibration.started,calibration.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,move_on.keys,move_on.rt,move_on.duration,run_cal.thisRepN,run_cal.thisTrialN,run_cal.thisN,run_cal.thisIndex,run_cal.ran,emotion_training_ready.started,emotion_training_ready.stopped,training_move_on.keys,training_move_on.rt,training_move_on.duration,examples.started,examples.stopped,emotion_scale.started,emotion_scale.stopped,scale_next.keys,scale_next.rt,scale_next.duration,instructions.started,instructions.stopped,next.keys,next.rt,next.duration,practice_task.started,practice_task.stopped,mouse_rating_2.x,mouse_rating_2.y,mouse_rating_2.leftButton,mouse_rating_2.midButton,mouse_rating_2.rightButton,mouse_rating_2.time,mouse_rating_2.clicked_name,ready.started,ready.stopped,key_resp.keys,key_resp.rt,key_resp.duration,set_group.started,set_group.stopped,task.started,task.stopped,mouse_rating.x,mouse_rating.y,mouse_rating.leftButton,mouse_rating.midButton,mouse_rating.rightButton,mouse_rating.time,mouse_rating.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,clip,short_break.started,short_break.stopped,space_to_move_on.keys,space_to_move_on.rt,space_to_move_on.duration,instruction_reminder.started,instruction_reminder.stopped,reminder_move_on.keys,reminder_move_on.rt,reminder_move_on.duration,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,block,post_survey.age,post_survey.musician,post_survey.music_making,post_survey.listen_time,post_survey.medium,post_survey.music_seeking,post_survey.music_choice,post_survey.activities,post_survey.question1.Disco,post_survey.question1.Metal,post_survey.question1.Alternative rock,post_survey.question1.Country,post_survey.question1.Jazz,post_survey.question1.Ambient,post_survey.question1.Classic rock,post_survey.question1.A cappella,post_survey.question1.Folk/indie,post_survey.question1.Hip hop,post_survey.question1.Latin,post_survey.question1.Classical,post_survey.question1.R&B,post_survey.question1.Pop,post_survey.question1.Reggae,post_survey.question1.Electronic (EDM),post_survey.other_genres,post_survey.genres_ranked.text1,post_survey.genres_ranked.text2,post_survey.genres_ranked.text3,post_survey.habit_change,show_exp.thisRepN,show_exp.thisTrialN,show_exp.thisN,show_exp.thisIndex,show_exp.ran,goodbye.started,goodbye.stopped
,,,,,927536,1,2024-07-12_18h18.43.631,experiment,2024.1.5,Win32,60.60606061,6691931c2c63981b064e1f0c,6691ab9d317a1e0cd44ce37c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,775.28,782.0007,-0.199074046,-0.149074088,1.0,0.0,0.0,0.7168,compass,0.0,29.0,29.0,10.0,1.0,SoundStimuli/BadDay_DanielPowter_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,927536,1,2024-07-12_18h18.43.631,experiment,2024.1.5,Win32,60.60606061,6691931c2c63981b064e1f0c,6691ab9d317a1e0cd44ce37c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,782.0257,788.5485,0.212037065,0.284259245,1.0,0.0,0.0,0.5165,compass,0.0,30.0,30.0,0.0,1.0,SoundStimuli/StayinAlive_BeeGees_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,927536,1,2024-07-12_18h18.43.631,experiment,2024.1.5,Win32,60.60606061,6691931c2c63981b064e1f0c,6691ab9d317a1e0cd44ce37c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,788.5759,795.3972,0.168518575,0.190740734,1.0,0.0,0.0,0.8163,compass,0.0,31.0,31.0,4.0,1.0,SoundStimuli/GetUrFreakOn_MissyElliot_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,927536,1,2024-07-12_18h18.43.631,experiment,2024.1.5,Win32,60.60606061,6691931c2c63981b064e1f0c,6691ab9d317a1e0cd44ce37c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,795.4254,802.0632,0.229629686,0.222222222,1.0,0.0,0.0,0.6337,compass,0.0,32.0,32.0,8.0,1.0,SoundStimuli/LikeAPrayer_Madonna_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,927536,1,2024-07-12_18h18.43.631,experiment,2024.1.5,Win32,60.60606061,6691931c2c63981b064e1f0c,6691ab9d317a1e0cd44ce37c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,802.0889,810.3269,0.195370399,-0.15648151,1.0,0.0,0.0,2.2326,compass,0.0,33.0,33.0,32.0,1.0,SoundStimuli/HeatWaves_GlassAnimals_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,927536,1,2024-07-12_18h18.43.631,experiment,2024.1.5,Win32,60.60606061,6691931c2c63981b064e1f0c,6691ab9d317a1e0cd44ce37c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,810.3498,816.8261,-0.151851824,-0.147222222,1.0,0.0,0.0,0.4664,compass,0.0,34.0,34.0,17.0,1.0,SoundStimuli/Fallin_AliciaKeys_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,927536,1,2024-07-12_18h18.43.631,experiment,2024.1.5,Win32,60.60606061,6691931c2c63981b064e1f0c,6691ab9d317a1e0cd44ce37c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,816.8264,827.5567,space,10.7138,,827.5569,831.4062,right,3.8355,,0.0,1.0,1.0,1.0,1.0,block_order/blockA.xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,927536,1,2024-07-12_18h18.43.631,experiment,2024.1.5,Win32,60.60606061,6691931c2c63981b064e1f0c,6691ab9d317a1e0cd44ce37c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,831.4419,837.9213,0.190740797,0.219444444,1.0,0.0,0.0,0.4667,compass,0.0,0.0,0.0,11.0,1.0,SoundStimuli/BlurredLines_RobinThicke_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,927536,1,2024-07-12_18h18.43.631,experiment,2024.1.5,Win32,60.60606061,6691931c2c63981b064e1f0c,6691ab9d317a1e0cd44ce37c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,837.9479,844.4198,0.183333333,-0.187962977,1.0,0.0,0.0,0.4661,compass,0.0,1.0,1.0,14.0,1.0,SoundStimuli/LikeARollingStone_BobDylan_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,927536,1,2024-07-12_18h18.43.631,experiment,2024.1.5,Win32,60.60606061,6691931c2c63981b064e1f0c,6691ab9d317a1e0cd44ce37c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,844.4466,851.0188,0.325925954,0.337962956,1.0,0.0,0.0,0.5665,compass,0.0,2.0,2.0,22.0,1.0,SoundStimuli/Happy_PharellWilliams_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
