welcome.started,welcome.stopped,space_to_continue.keys,space_to_continue.rt,space_to_continue.duration,participant,session,date,expName,psychopyVersion,OS,frameRate,STUDY_ID,SESSION_ID,consent.consent,consent.consent_recontact,consent_check.started,consent_check.stopped,calibration_ready.started,calibration_ready.stopped,cal_ready.keys,cal_ready.rt,cal_ready.duration,calibration.started,calibration.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,move_on.keys,move_on.rt,move_on.duration,run_cal.thisRepN,run_cal.thisTrialN,run_cal.thisN,run_cal.thisIndex,run_cal.ran,emotion_training_ready.started,emotion_training_ready.stopped,training_move_on.keys,training_move_on.rt,training_move_on.duration,examples.started,examples.stopped,emotion_scale.started,emotion_scale.stopped,scale_next.keys,scale_next.rt,scale_next.duration,instructions.started,instructions.stopped,next.keys,next.rt,next.duration,practice_task.started,practice_task.stopped,mouse_rating_2.x,mouse_rating_2.y,mouse_rating_2.leftButton,mouse_rating_2.midButton,mouse_rating_2.rightButton,mouse_rating_2.time,mouse_rating_2.clicked_name,ready.started,ready.stopped,key_resp.keys,key_resp.rt,key_resp.duration,set_group.started,set_group.stopped,task.started,task.stopped,mouse_rating.x,mouse_rating.y,mouse_rating.leftButton,mouse_rating.midButton,mouse_rating.rightButton,mouse_rating.time,mouse_rating.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,clip,short_break.started,short_break.stopped,space_to_move_on.keys,space_to_move_on.rt,space_to_move_on.duration,instruction_reminder.started,instruction_reminder.stopped,reminder_move_on.keys,reminder_move_on.rt,reminder_move_on.duration,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,block,post_survey.age,post_survey.musician,post_survey.listen_time,post_survey.medium,post_survey.music_seeking,post_survey.music_choice,post_survey.activities,post_survey.music_making,post_survey.question1.A cappella,post_survey.question1.Classic rock,post_survey.question1.Disco,post_survey.question1.Latin,post_survey.question1.Electronic (EDM),post_survey.question1.R&B,post_survey.question1.Jazz,post_survey.question1.Classical,post_survey.question1.Country,post_survey.question1.Ambient,post_survey.question1.Reggae,post_survey.question1.Alternative rock,post_survey.question1.Metal,post_survey.question1.Folk/indie,post_survey.question1.Pop,post_survey.question1.Hip hop,post_survey.genres_ranked.text1,post_survey.genres_ranked.text2,post_survey.genres_ranked.text3,post_survey.habit_change,show_exp.thisRepN,show_exp.thisTrialN,show_exp.thisN,show_exp.thisIndex,show_exp.ran,goodbye.started,goodbye.stopped
,,,,,331869,1,2024-07-12_17h33.44.983,experiment,2024.1.5,Win32,169.4915254,6691931c2c63981b064e1f0c,6691af1f250cdadffd5d9b79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,551.6435,562.9205,0.158333333,0.060416667,1.0,0.0,0.0,5.2729,compass,0.0,25.0,25.0,3.0,1.0,SoundStimuli/PartyRockAnthem_LMFAO_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,331869,1,2024-07-12_17h33.44.983,experiment,2024.1.5,Win32,169.4915254,6691931c2c63981b064e1f0c,6691af1f250cdadffd5d9b79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,562.9241,569.3848,-0.195138889,0.186111111,1.0,0.0,0.0,0.4588,compass,0.0,26.0,26.0,2.0,1.0,SoundStimuli/SmellsLikeTeenSpirit_Nirvana_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,331869,1,2024-07-12_17h33.44.983,experiment,2024.1.5,Win32,169.4915254,6691931c2c63981b064e1f0c,6691af1f250cdadffd5d9b79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,569.3883,576.247,0.190277778,0.184027778,1.0,0.0,0.0,0.8547,compass,0.0,27.0,27.0,10.0,1.0,SoundStimuli/LeFreak_Chic_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,331869,1,2024-07-12_17h33.44.983,experiment,2024.1.5,Win32,169.4915254,6691931c2c63981b064e1f0c,6691af1f250cdadffd5d9b79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,576.2505,582.6668,-0.198611111,-0.195138889,1.0,0.0,0.0,0.4158,compass,0.0,28.0,28.0,0.0,1.0,SoundStimuli/GimmeShelter_RollingStones_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,331869,1,2024-07-12_17h33.44.983,experiment,2024.1.5,Win32,169.4915254,6691931c2c63981b064e1f0c,6691af1f250cdadffd5d9b79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,582.6705,593.2724,-0.179861111,-0.177777778,1.0,0.0,0.0,4.5999,compass,0.0,29.0,29.0,21.0,1.0,SoundStimuli/BridgeOverTroubledWater_SimonAndGarfunkel_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,331869,1,2024-07-12_17h33.44.983,experiment,2024.1.5,Win32,169.4915254,6691931c2c63981b064e1f0c,6691af1f250cdadffd5d9b79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,593.276,602.6839,-0.50625,0.390972222,1.0,0.0,0.0,0.6782,compass,0.0,30.0,30.0,29.0,1.0,SoundStimuli/BetteDavisEyes_KimCarnes_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,331869,1,2024-07-12_17h33.44.983,experiment,2024.1.5,Win32,169.4915254,6691931c2c63981b064e1f0c,6691af1f250cdadffd5d9b79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,602.6874,610.6029,0.167361111,0.186805556,1.0,0.0,0.0,1.9117,compass,0.0,31.0,31.0,15.0,1.0,SoundStimuli/CrazyInLove_BeyonceFtJayZ_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,331869,1,2024-07-12_17h33.44.983,experiment,2024.1.5,Win32,169.4915254,6691931c2c63981b064e1f0c,6691af1f250cdadffd5d9b79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,610.6065,618.1026,-0.191666667,0.204861111,1.0,0.0,0.0,1.4958,compass,0.0,32.0,32.0,6.0,1.0,SoundStimuli/SaveYourTears_TheWeekndArianaGrande_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,331869,1,2024-07-12_17h33.44.983,experiment,2024.1.5,Win32,169.4915254,6691931c2c63981b064e1f0c,6691af1f250cdadffd5d9b79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,618.1075,625.1067,0.138194444,-0.139583333,1.0,0.0,0.0,0.9957,compass,0.0,33.0,33.0,30.0,1.0,SoundStimuli/SomebodyThatIUsedtoKnow_Gotye_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,331869,1,2024-07-12_17h33.44.983,experiment,2024.1.5,Win32,169.4915254,6691931c2c63981b064e1f0c,6691af1f250cdadffd5d9b79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,625.1108,642.472,0.007638889,-0.006944444,0.0,0.0,1.0,11.3596,compass,0.0,34.0,34.0,14.0,1.0,SoundStimuli/LikeARollingStone_BobDylan_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,331869,1,2024-07-12_17h33.44.983,experiment,2024.1.5,Win32,169.4915254,6691931c2c63981b064e1f0c,6691af1f250cdadffd5d9b79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,642.4722,646.5998,space,4.1244,,646.5998,658.477,right,11.8677,,0.0,0.0,0.0,0.0,1.0,block_order/blockB.xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,331869,1,2024-07-12_17h33.44.983,experiment,2024.1.5,Win32,169.4915254,6691931c2c63981b064e1f0c,6691af1f250cdadffd5d9b79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,658.4841,665.9823,0.154166667,0.100694444,1.0,0.0,0.0,1.4941,compass,0.0,0.0,0.0,27.0,1.0,SoundStimuli/ShapeofYou_EdSheeran_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,331869,1,2024-07-12_17h33.44.983,experiment,2024.1.5,Win32,169.4915254,6691931c2c63981b064e1f0c,6691af1f250cdadffd5d9b79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,665.9859,680.638,0.184027778,-0.182638889,1.0,0.0,0.0,8.6486,compass,0.0,1.0,1.0,12.0,1.0,SoundStimuli/IWillAlwaysLoveYou_WhitneyHouston_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
