welcome.started,welcome.stopped,space_to_continue.keys,space_to_continue.rt,space_to_continue.duration,participant,session,date,expName,psychopyVersion,OS,frameRate,STUDY_ID,SESSION_ID,consent.consent,consent.consent_recontact,consent_check.started,consent_check.stopped,calibration_ready.started,calibration_ready.stopped,cal_ready.keys,cal_ready.rt,cal_ready.duration,calibration.started,calibration.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,move_on.keys,move_on.rt,move_on.duration,run_cal.thisRepN,run_cal.thisTrialN,run_cal.thisN,run_cal.thisIndex,run_cal.ran,emotion_training_ready.started,emotion_training_ready.stopped,training_move_on.keys,training_move_on.rt,training_move_on.duration,examples.started,examples.stopped,emotion_scale.started,emotion_scale.stopped,scale_next.keys,scale_next.rt,scale_next.duration,instructions.started,instructions.stopped,next.keys,next.rt,next.duration,practice_task.started,practice_task.stopped,mouse_rating_2.x,mouse_rating_2.y,mouse_rating_2.leftButton,mouse_rating_2.midButton,mouse_rating_2.rightButton,mouse_rating_2.time,mouse_rating_2.clicked_name,ready.started,ready.stopped,key_resp.keys,key_resp.rt,key_resp.duration,set_group.started,set_group.stopped,task.started,task.stopped,mouse_rating.x,mouse_rating.y,mouse_rating.leftButton,mouse_rating.midButton,mouse_rating.rightButton,mouse_rating.time,mouse_rating.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,clip,short_break.started,short_break.stopped,space_to_move_on.keys,space_to_move_on.rt,space_to_move_on.duration,instruction_reminder.started,instruction_reminder.stopped,reminder_move_on.keys,reminder_move_on.rt,reminder_move_on.duration,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,block,post_survey.age,post_survey.musician,post_survey.music_making,post_survey.listen_time,post_survey.medium,post_survey.music_seeking,post_survey.music_choice,post_survey.activities,post_survey.question1.Metal,post_survey.question1.Ambient,post_survey.question1.Latin,post_survey.question1.Pop,post_survey.question1.Jazz,post_survey.question1.Country,post_survey.question1.Reggae,post_survey.question1.Disco,post_survey.question1.Classical,post_survey.question1.Hip hop,post_survey.question1.Alternative rock,post_survey.question1.Classic rock,post_survey.question1.Folk/indie,post_survey.question1.R&B,post_survey.question1.Electronic (EDM),post_survey.question1.A cappella,post_survey.other_genres,post_survey.genres_ranked.text1,post_survey.genres_ranked.text2,post_survey.genres_ranked.text3,post_survey.habit_change,show_exp.thisRepN,show_exp.thisTrialN,show_exp.thisN,show_exp.thisIndex,show_exp.ran,goodbye.started,goodbye.stopped
,,,,,35559,1,2024-07-12_19h26.05.837,experiment,2024.1.5,Win32,59.52380952,6691931c2c63981b064e1f0c,6691bb6fc57d7fb5c45d56aa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,550.4449,557.1353,0.262037037,-0.276851852,1.0,0.0,0.0,0.6829,compass,0.0,3.0,3.0,12.0,1.0,SoundStimuli/IWillAlwaysLoveYou_WhitneyHouston_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,35559,1,2024-07-12_19h26.05.837,experiment,2024.1.5,Win32,59.52380952,6691931c2c63981b064e1f0c,6691bb6fc57d7fb5c45d56aa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,557.1458,563.5519,0.22037037,-0.189814815,1.0,0.0,0.0,0.4001,compass,0.0,4.0,4.0,29.0,1.0,SoundStimuli/OldTownRoad_LilNasX_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,35559,1,2024-07-12_19h26.05.837,experiment,2024.1.5,Win32,59.52380952,6691931c2c63981b064e1f0c,6691bb6fc57d7fb5c45d56aa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,563.5621,570.3519,-0.135185185,0.134259259,1.0,0.0,0.0,0.7836,compass,0.0,5.0,5.0,16.0,1.0,SoundStimuli/BohemianRhapsody_Queen_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,35559,1,2024-07-12_19h26.05.837,experiment,2024.1.5,Win32,59.52380952,6691931c2c63981b064e1f0c,6691bb6fc57d7fb5c45d56aa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,570.3612,576.7185,0.252777778,-0.203703704,1.0,0.0,0.0,0.3499,compass,0.0,6.0,6.0,17.0,1.0,SoundStimuli/Fallin_AliciaKeys_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,35559,1,2024-07-12_19h26.05.837,experiment,2024.1.5,Win32,59.52380952,6691931c2c63981b064e1f0c,6691bb6fc57d7fb5c45d56aa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,576.725,583.0851,-0.156481481,0.115740741,1.0,0.0,0.0,0.3501,compass,0.0,7.0,7.0,6.0,1.0,SoundStimuli/Levitating_DuaLipa_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,35559,1,2024-07-12_19h26.05.837,experiment,2024.1.5,Win32,59.52380952,6691931c2c63981b064e1f0c,6691bb6fc57d7fb5c45d56aa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,583.0934,590.5683,0.083333333,-0.167592593,1.0,0.0,0.0,1.4666,compass,0.0,8.0,8.0,15.0,1.0,SoundStimuli/TikTok_Kesha_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,35559,1,2024-07-12_19h26.05.837,experiment,2024.1.5,Win32,59.52380952,6691931c2c63981b064e1f0c,6691bb6fc57d7fb5c45d56aa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,590.575,597.0183,0.241666667,0.126851852,1.0,0.0,0.0,0.4332,compass,0.0,9.0,9.0,8.0,1.0,SoundStimuli/LikeAPrayer_Madonna_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,35559,1,2024-07-12_19h26.05.837,experiment,2024.1.5,Win32,59.52380952,6691931c2c63981b064e1f0c,6691bb6fc57d7fb5c45d56aa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,597.0256,603.5681,0.241666667,0.126851852,1.0,0.0,0.0,0.5329,compass,0.0,10.0,10.0,27.0,1.0,SoundStimuli/ShapeofYou_EdSheeran_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,35559,1,2024-07-12_19h26.05.837,experiment,2024.1.5,Win32,59.52380952,6691931c2c63981b064e1f0c,6691bb6fc57d7fb5c45d56aa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,603.5769,610.0518,0.19537037,-0.17037037,1.0,0.0,0.0,0.4657,compass,0.0,11.0,11.0,20.0,1.0,SoundStimuli/HeyYa_Outkast_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,35559,1,2024-07-12_19h26.05.837,experiment,2024.1.5,Win32,59.52380952,6691931c2c63981b064e1f0c,6691bb6fc57d7fb5c45d56aa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,610.0595,616.6351,0.260185185,0.219444444,1.0,0.0,0.0,0.5666,compass,0.0,12.0,12.0,22.0,1.0,SoundStimuli/RockWithYou_MichaelJackson_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
