welcome.started,welcome.stopped,space_to_continue.keys,space_to_continue.rt,space_to_continue.duration,participant,session,date,expName,psychopyVersion,OS,frameRate,STUDY_ID,SESSION_ID,consent.consent,consent.consent_recontact,consent_check.started,consent_check.stopped,calibration_ready.started,calibration_ready.stopped,cal_ready.keys,cal_ready.rt,cal_ready.duration,calibration.started,calibration.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,move_on.keys,move_on.rt,move_on.duration,run_cal.thisRepN,run_cal.thisTrialN,run_cal.thisN,run_cal.thisIndex,run_cal.ran,emotion_training_ready.started,emotion_training_ready.stopped,training_move_on.keys,training_move_on.rt,training_move_on.duration,examples.started,examples.stopped,emotion_scale.started,emotion_scale.stopped,scale_next.keys,scale_next.rt,scale_next.duration,instructions.started,instructions.stopped,next.keys,next.rt,next.duration,practice_task.started,practice_task.stopped,mouse_rating_2.x,mouse_rating_2.y,mouse_rating_2.leftButton,mouse_rating_2.midButton,mouse_rating_2.rightButton,mouse_rating_2.time,mouse_rating_2.clicked_name,ready.started,ready.stopped,key_resp.keys,key_resp.rt,key_resp.duration,set_group.started,set_group.stopped,task.started,task.stopped,mouse_rating.x,mouse_rating.y,mouse_rating.leftButton,mouse_rating.midButton,mouse_rating.rightButton,mouse_rating.time,mouse_rating.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,clip,short_break.started,short_break.stopped,space_to_move_on.keys,space_to_move_on.rt,space_to_move_on.duration,instruction_reminder.started,instruction_reminder.stopped,reminder_move_on.keys,reminder_move_on.rt,reminder_move_on.duration,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,block,post_survey.age,post_survey.musician,post_survey.music_making,post_survey.listen_time,post_survey.medium,post_survey.music_seeking,post_survey.music_choice,post_survey.activities,post_survey.question1.Folk/indie,post_survey.question1.A cappella,post_survey.question1.Hip hop,post_survey.question1.Latin,post_survey.question1.Alternative rock,post_survey.question1.Country,post_survey.question1.Metal,post_survey.question1.Classic rock,post_survey.question1.Ambient,post_survey.question1.Disco,post_survey.question1.Electronic (EDM),post_survey.question1.Reggae,post_survey.question1.Pop,post_survey.question1.R&B,post_survey.question1.Jazz,post_survey.other_genres,post_survey.genres_ranked.text1,post_survey.genres_ranked.text2,post_survey.genres_ranked.text3,post_survey.habit_change,post_survey.habits,show_exp.thisRepN,show_exp.thisTrialN,show_exp.thisN,show_exp.thisIndex,show_exp.ran,goodbye.started,goodbye.stopped
,,,,,101084,1,2024-07-12_15h54.48.801,experiment,2024.1.5,Win32,60.0240096,6691931c2c63981b064e1f0c,6691b3dbf8e4de298758b1e0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,461.443,467.696,0.145833333,0.118055556,1.0,0.0,0.0,0.248,compass,0.0,15.0,15.0,31.0,1.0,SoundStimuli/TossinAndTurnin_BobbyLewis_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,101084,1,2024-07-12_15h54.48.801,experiment,2024.1.5,Win32,60.0240096,6691931c2c63981b064e1f0c,6691b3dbf8e4de298758b1e0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,467.697,475.019,-0.175925926,-0.243055556,1.0,0.0,0.0,1.317,compass,0.0,16.0,16.0,23.0,1.0,SoundStimuli/IWalkTheLine_JohnnyCash_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,101084,1,2024-07-12_15h54.48.801,experiment,2024.1.5,Win32,60.0240096,6691931c2c63981b064e1f0c,6691b3dbf8e4de298758b1e0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,475.02,495.424,-0.637731481,0.333333333,1.0,0.0,0.0,4.838,compass,0.0,17.0,17.0,21.0,1.0,SoundStimuli/BridgeOverTroubledWater_SimonAndGarfunkel_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,101084,1,2024-07-12_15h54.48.801,experiment,2024.1.5,Win32,60.0240096,6691931c2c63981b064e1f0c,6691b3dbf8e4de298758b1e0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,495.427,501.779,0.275462963,0.298611111,1.0,0.0,0.0,0.348,compass,0.0,18.0,18.0,3.0,1.0,SoundStimuli/PartyRockAnthem_LMFAO_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,101084,1,2024-07-12_15h54.48.801,experiment,2024.1.5,Win32,60.0240096,6691931c2c63981b064e1f0c,6691b3dbf8e4de298758b1e0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,501.78,508.169,0.12037037,0.082175926,1.0,0.0,0.0,0.384,compass,0.0,19.0,19.0,24.0,1.0,SoundStimuli/Kiss_Prince_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,101084,1,2024-07-12_15h54.48.801,experiment,2024.1.5,Win32,60.0240096,6691931c2c63981b064e1f0c,6691b3dbf8e4de298758b1e0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,508.169,515.209,0.200231481,-0.268518519,1.0,0.0,0.0,1.029,compass,0.0,20.0,20.0,29.0,1.0,SoundStimuli/BetteDavisEyes_KimCarnes_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,101084,1,2024-07-12_15h54.48.801,experiment,2024.1.5,Win32,60.0240096,6691931c2c63981b064e1f0c,6691b3dbf8e4de298758b1e0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,515.209,521.399,-0.226851852,-0.267361111,1.0,0.0,0.0,0.184,compass,0.0,21.0,21.0,6.0,1.0,SoundStimuli/SaveYourTears_TheWeekndArianaGrande_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,101084,1,2024-07-12_15h54.48.801,experiment,2024.1.5,Win32,60.0240096,6691931c2c63981b064e1f0c,6691b3dbf8e4de298758b1e0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,521.399,527.788,-0.28125,0.201388889,1.0,0.0,0.0,0.385,compass,0.0,22.0,22.0,14.0,1.0,SoundStimuli/LikeARollingStone_BobDylan_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,101084,1,2024-07-12_15h54.48.801,experiment,2024.1.5,Win32,60.0240096,6691931c2c63981b064e1f0c,6691b3dbf8e4de298758b1e0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,527.791,538.182,0.173611111,-0.070601852,1.0,0.0,0.0,4.389,compass,0.0,23.0,23.0,15.0,1.0,SoundStimuli/CrazyInLove_BeyonceFtJayZ_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,101084,1,2024-07-12_15h54.48.801,experiment,2024.1.5,Win32,60.0240096,6691931c2c63981b064e1f0c,6691b3dbf8e4de298758b1e0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,538.183,544.404,-0.216435185,-0.262731481,1.0,0.0,0.0,0.217,compass,0.0,24.0,24.0,34.0,1.0,SoundStimuli/Irreplaceable_Beyonce_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
