welcome.started,welcome.stopped,space_to_continue.keys,space_to_continue.rt,space_to_continue.duration,participant,session,date,expName,psychopyVersion,OS,frameRate,STUDY_ID,SESSION_ID,consent.consent,consent.consent_recontact,consent_check.started,consent_check.stopped,calibration_ready.started,calibration_ready.stopped,cal_ready.keys,cal_ready.rt,cal_ready.duration,calibration.started,calibration.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,move_on.keys,move_on.rt,move_on.duration,run_cal.thisRepN,run_cal.thisTrialN,run_cal.thisN,run_cal.thisIndex,run_cal.ran,emotion_training_ready.started,emotion_training_ready.stopped,training_move_on.keys,training_move_on.rt,training_move_on.duration,examples.started,examples.stopped,emotion_scale.started,emotion_scale.stopped,scale_next.keys,scale_next.rt,scale_next.duration,instructions.started,instructions.stopped,next.keys,next.rt,next.duration,practice_task.started,practice_task.stopped,mouse_rating_2.x,mouse_rating_2.y,mouse_rating_2.leftButton,mouse_rating_2.midButton,mouse_rating_2.rightButton,mouse_rating_2.time,mouse_rating_2.clicked_name,ready.started,ready.stopped,key_resp.keys,key_resp.rt,key_resp.duration,set_group.started,set_group.stopped,task.started,task.stopped,mouse_rating.x,mouse_rating.y,mouse_rating.leftButton,mouse_rating.midButton,mouse_rating.rightButton,mouse_rating.time,mouse_rating.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,clip,short_break.started,short_break.stopped,space_to_move_on.keys,space_to_move_on.rt,space_to_move_on.duration,instruction_reminder.started,instruction_reminder.stopped,reminder_move_on.keys,reminder_move_on.rt,reminder_move_on.duration,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,block,post_survey.age,post_survey.musician,post_survey.music_making,post_survey.listen_time,post_survey.medium,post_survey.music_seeking,post_survey.music_choice,post_survey.activities,post_survey.question1.Electronic (EDM),post_survey.question1.Latin,post_survey.question1.Classical,post_survey.question1.Reggae,post_survey.question1.Hip hop,post_survey.question1.A cappella,post_survey.question1.Pop,post_survey.question1.Metal,post_survey.question1.Country,post_survey.question1.Ambient,post_survey.question1.Folk/indie,post_survey.question1.Alternative rock,post_survey.question1.Jazz,post_survey.question1.Disco,post_survey.question1.R&B,post_survey.question1.Classic rock,post_survey.other_genres,post_survey.genres_ranked.text1,post_survey.genres_ranked.text2,post_survey.genres_ranked.text3,post_survey.habit_change,show_exp.thisRepN,show_exp.thisTrialN,show_exp.thisN,show_exp.thisIndex,show_exp.ran,goodbye.started,goodbye.stopped
,,,,,740015,1,2024-07-12_18h18.48.003,experiment,2024.1.5,MacIntel,60.24096386,6691931c2c63981b064e1f0c,6691b99fb800d2ace2dde4f9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,869.4055,876.3984,-0.321935764,0.317842882,1.0,0.0,0.0,0.9834,compass,0.0,26.0,26.0,6.0,1.0,SoundStimuli/Levitating_DuaLipa_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,740015,1,2024-07-12_18h18.48.003,experiment,2024.1.5,MacIntel,60.24096386,6691931c2c63981b064e1f0c,6691b99fb800d2ace2dde4f9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,876.4077,882.664,0.12937934,0.124262153,1.0,0.0,0.0,0.2489,compass,0.0,27.0,27.0,4.0,1.0,SoundStimuli/GetUrFreakOn_MissyElliot_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,740015,1,2024-07-12_18h18.48.003,experiment,2024.1.5,MacIntel,60.24096386,6691931c2c63981b064e1f0c,6691b99fb800d2ace2dde4f9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,882.6723,888.9322,0.125598958,0.212057292,1.0,0.0,0.0,0.25,compass,0.0,28.0,28.0,3.0,1.0,SoundStimuli/NoScrubs_TLC_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,740015,1,2024-07-12_18h18.48.003,experiment,2024.1.5,MacIntel,60.24096386,6691931c2c63981b064e1f0c,6691b99fb800d2ace2dde4f9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,888.943,895.4658,-0.245664063,0.238667535,1.0,0.0,0.0,0.5166,compass,0.0,29.0,29.0,18.0,1.0,SoundStimuli/AnotherOneBitesTheDust_Queen_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,740015,1,2024-07-12_18h18.48.003,experiment,2024.1.5,MacIntel,60.24096386,6691931c2c63981b064e1f0c,6691b99fb800d2ace2dde4f9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,895.4772,902.8992,0.012005208,0.032621528,1.0,0.0,0.0,1.417,compass,0.0,30.0,30.0,21.0,1.0,SoundStimuli/GoodGollyMissMolly_LittleRichard_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,740015,1,2024-07-12_18h18.48.003,experiment,2024.1.5,MacIntel,60.24096386,6691931c2c63981b064e1f0c,6691b99fb800d2ace2dde4f9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,902.9106,909.1156,0.215256076,-0.227664931,1.0,0.0,0.0,0.2002,compass,0.0,31.0,31.0,12.0,1.0,SoundStimuli/IWillAlwaysLoveYou_WhitneyHouston_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,740015,1,2024-07-12_18h18.48.003,experiment,2024.1.5,MacIntel,60.24096386,6691931c2c63981b064e1f0c,6691b99fb800d2ace2dde4f9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,909.1253,915.4328,0.320572917,-0.314539931,1.0,0.0,0.0,0.3004,compass,0.0,32.0,32.0,15.0,1.0,SoundStimuli/TikTok_Kesha_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,740015,1,2024-07-12_18h18.48.003,experiment,2024.1.5,MacIntel,60.24096386,6691931c2c63981b064e1f0c,6691b99fb800d2ace2dde4f9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,915.4439,921.8491,0.152330729,-0.245052083,1.0,0.0,0.0,0.3985,compass,0.0,33.0,33.0,9.0,1.0,SoundStimuli/Despacito_LuisFonsiDaddyYankee_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,740015,1,2024-07-12_18h18.48.003,experiment,2024.1.5,MacIntel,60.24096386,6691931c2c63981b064e1f0c,6691b99fb800d2ace2dde4f9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,921.86,928.2666,0.315572917,0.315772569,1.0,0.0,0.0,0.3997,compass,0.0,34.0,34.0,24.0,1.0,SoundStimuli/UptownFunk_MarkRonson_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,740015,1,2024-07-12_18h18.48.003,experiment,2024.1.5,MacIntel,60.24096386,6691931c2c63981b064e1f0c,6691b99fb800d2ace2dde4f9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,928.2769,930.4329,space,2.1394,,930.433,932.0667,right,1.6181,,0.0,2.0,2.0,2.0,1.0,block_order/blockA.xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
