welcome.started,welcome.stopped,space_to_continue.keys,space_to_continue.rt,space_to_continue.duration,participant,session,date,expName,psychopyVersion,OS,frameRate,STUDY_ID,SESSION_ID,consent.consent,consent.consent_recontact,consent_check.started,consent_check.stopped,calibration_ready.started,calibration_ready.stopped,cal_ready.keys,cal_ready.rt,cal_ready.duration,calibration.started,calibration.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,move_on.keys,move_on.rt,move_on.duration,run_cal.thisRepN,run_cal.thisTrialN,run_cal.thisN,run_cal.thisIndex,run_cal.ran,emotion_training_ready.started,emotion_training_ready.stopped,training_move_on.keys,training_move_on.rt,training_move_on.duration,examples.started,examples.stopped,emotion_scale.started,emotion_scale.stopped,scale_next.keys,scale_next.rt,scale_next.duration,instructions.started,instructions.stopped,next.keys,next.rt,next.duration,practice_task.started,practice_task.stopped,mouse_rating_2.x,mouse_rating_2.y,mouse_rating_2.leftButton,mouse_rating_2.midButton,mouse_rating_2.rightButton,mouse_rating_2.time,mouse_rating_2.clicked_name,ready.started,ready.stopped,key_resp.keys,key_resp.rt,key_resp.duration,set_group.started,set_group.stopped,task.started,task.stopped,mouse_rating.x,mouse_rating.y,mouse_rating.leftButton,mouse_rating.midButton,mouse_rating.rightButton,mouse_rating.time,mouse_rating.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,clip,short_break.started,short_break.stopped,space_to_move_on.keys,space_to_move_on.rt,space_to_move_on.duration,instruction_reminder.started,instruction_reminder.stopped,reminder_move_on.keys,reminder_move_on.rt,reminder_move_on.duration,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,block,post_survey.age,post_survey.musician,post_survey.listen_time,post_survey.music_making,post_survey.medium,post_survey.music_seeking,post_survey.music_choice,post_survey.activities,post_survey.question1.A cappella,post_survey.question1.Latin,post_survey.question1.R&B,post_survey.question1.Classic rock,post_survey.question1.Ambient,post_survey.question1.Reggae,post_survey.question1.Metal,post_survey.question1.Pop,post_survey.question1.Jazz,post_survey.question1.Electronic (EDM),post_survey.question1.Folk/indie,post_survey.question1.Hip hop,post_survey.question1.Disco,post_survey.question1.Classical,post_survey.question1.Country,post_survey.question1.Alternative rock,post_survey.other_genres,post_survey.genres_ranked.text1,post_survey.genres_ranked.text2,post_survey.genres_ranked.text3,post_survey.habit_change,post_survey.habits,show_exp.thisRepN,show_exp.thisTrialN,show_exp.thisN,show_exp.thisIndex,show_exp.ran,goodbye.started,goodbye.stopped
,,,,,798641,1,2024-07-12_19h43.10.807,experiment,2024.1.5,Win32,60.60606061,6691931c2c63981b064e1f0c,6691bc46139b538a1a432b1c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,308.9719,315.4526,-0.137962935,-0.140740755,1.0,0.0,0.0,0.4625,compass,0.0,16.0,16.0,23.0,1.0,SoundStimuli/IWalkTheLine_JohnnyCash_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,798641,1,2024-07-12_19h43.10.807,experiment,2024.1.5,Win32,60.60606061,6691931c2c63981b064e1f0c,6691bc46139b538a1a432b1c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,315.4674,321.8385,0.137037065,-0.144444444,1.0,0.0,0.0,0.3675,compass,0.0,17.0,17.0,4.0,1.0,SoundStimuli/Dreams_FleetwoodMac_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,798641,1,2024-07-12_19h43.10.807,experiment,2024.1.5,Win32,60.60606061,6691931c2c63981b064e1f0c,6691bc46139b538a1a432b1c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,321.8504,328.1959,0.18148151,0.10370369,1.0,0.0,0.0,0.3408,compass,0.0,18.0,18.0,28.0,1.0,SoundStimuli/IWantToHoldYourHand_TheBeatles_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,798641,1,2024-07-12_19h43.10.807,experiment,2024.1.5,Win32,60.60606061,6691931c2c63981b064e1f0c,6691bc46139b538a1a432b1c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,328.2088,336.0813,0.188888889,0.105555556,1.0,0.0,0.0,1.8583,compass,0.0,19.0,19.0,27.0,1.0,SoundStimuli/EyeOfTheTiger_Survivor_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,798641,1,2024-07-12_19h43.10.807,experiment,2024.1.5,Win32,60.60606061,6691931c2c63981b064e1f0c,6691bc46139b538a1a432b1c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,336.0996,342.7229,0.127777778,-0.227777778,1.0,0.0,0.0,0.6134,compass,0.0,20.0,20.0,14.0,1.0,SoundStimuli/LikeARollingStone_BobDylan_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,798641,1,2024-07-12_19h43.10.807,experiment,2024.1.5,Win32,60.60606061,6691931c2c63981b064e1f0c,6691bc46139b538a1a432b1c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,342.735,349.1071,0.196296353,0.067592578,1.0,0.0,0.0,0.3686,compass,0.0,21.0,21.0,0.0,1.0,SoundStimuli/GimmeShelter_RollingStones_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,798641,1,2024-07-12_19h43.10.807,experiment,2024.1.5,Win32,60.60606061,6691931c2c63981b064e1f0c,6691bc46139b538a1a432b1c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349.1185,355.6563,-0.188888889,0.166666667,1.0,0.0,0.0,0.5334,compass,0.0,22.0,22.0,2.0,1.0,SoundStimuli/SmellsLikeTeenSpirit_Nirvana_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,798641,1,2024-07-12_19h43.10.807,experiment,2024.1.5,Win32,60.60606061,6691931c2c63981b064e1f0c,6691bc46139b538a1a432b1c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,355.6712,362.0404,0.178703732,0.142592578,1.0,0.0,0.0,0.352,compass,0.0,23.0,23.0,1.0,1.0,SoundStimuli/Smooth_SantanaRobThomas_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,798641,1,2024-07-12_19h43.10.807,experiment,2024.1.5,Win32,60.60606061,6691931c2c63981b064e1f0c,6691bc46139b538a1a432b1c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,362.0544,368.5352,0.174074131,-0.119444444,1.0,0.0,0.0,0.4648,compass,0.0,24.0,24.0,24.0,1.0,SoundStimuli/Kiss_Prince_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,798641,1,2024-07-12_19h43.10.807,experiment,2024.1.5,Win32,60.60606061,6691931c2c63981b064e1f0c,6691bc46139b538a1a432b1c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,368.547,374.9192,-0.222222222,-0.154629644,1.0,0.0,0.0,0.3683,compass,0.0,25.0,25.0,30.0,1.0,SoundStimuli/SomebodyThatIUsedtoKnow_Gotye_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
