welcome.started,welcome.stopped,space_to_continue.keys,space_to_continue.rt,space_to_continue.duration,participant,session,date,expName,psychopyVersion,OS,frameRate,STUDY_ID,SESSION_ID,consent.consent,consent.consent_recontact,consent_check.started,consent_check.stopped,calibration_ready.started,calibration_ready.stopped,cal_ready.keys,cal_ready.rt,cal_ready.duration,calibration.started,calibration.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,move_on.keys,move_on.rt,move_on.duration,run_cal.thisRepN,run_cal.thisTrialN,run_cal.thisN,run_cal.thisIndex,run_cal.ran,emotion_training_ready.started,emotion_training_ready.stopped,training_move_on.keys,training_move_on.rt,training_move_on.duration,examples.started,examples.stopped,emotion_scale.started,emotion_scale.stopped,scale_next.keys,scale_next.rt,scale_next.duration,instructions.started,instructions.stopped,next.keys,next.rt,next.duration,practice_task.started,practice_task.stopped,mouse_rating_2.x,mouse_rating_2.y,mouse_rating_2.leftButton,mouse_rating_2.midButton,mouse_rating_2.rightButton,mouse_rating_2.time,mouse_rating_2.clicked_name,ready.started,ready.stopped,key_resp.keys,key_resp.rt,key_resp.duration,set_group.started,set_group.stopped,task.started,task.stopped,mouse_rating.x,mouse_rating.y,mouse_rating.leftButton,mouse_rating.midButton,mouse_rating.rightButton,mouse_rating.time,mouse_rating.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,clip,short_break.started,short_break.stopped,space_to_move_on.keys,space_to_move_on.rt,space_to_move_on.duration,instruction_reminder.started,instruction_reminder.stopped,reminder_move_on.keys,reminder_move_on.rt,reminder_move_on.duration,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,block,post_survey.age,post_survey.musician,post_survey.music_making,post_survey.listen_time,post_survey.medium,post_survey.music_seeking,post_survey.music_choice,post_survey.activities,post_survey.question1.Ambient,post_survey.question1.Disco,post_survey.question1.Alternative rock,post_survey.question1.Jazz,post_survey.question1.Metal,post_survey.question1.Pop,post_survey.question1.A cappella,post_survey.question1.Reggae,post_survey.question1.Hip hop,post_survey.question1.Folk/indie,post_survey.question1.R&B,post_survey.question1.Electronic (EDM),post_survey.question1.Latin,post_survey.question1.Classical,post_survey.question1.Country,post_survey.question1.Classic rock,post_survey.other_genres,post_survey.genres_ranked.text1,post_survey.genres_ranked.text2,post_survey.genres_ranked.text3,post_survey.habit_change,post_survey.habits,show_exp.thisRepN,show_exp.thisTrialN,show_exp.thisN,show_exp.thisIndex,show_exp.ran,goodbye.started,goodbye.stopped
,,,,,623673,1,2024-07-12_16h24.38.157,experiment,2024.1.5,Win32,59.88023952,6691931c2c63981b064e1f0c,6691babb13d74dc8ea841808,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1024.7235,1032.2136,0.335185157,0.330555545,1.0,0.0,0.0,1.4668,compass,0.0,26.0,26.0,22.0,1.0,SoundStimuli/Happy_PharellWilliams_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,623673,1,2024-07-12_16h24.38.157,experiment,2024.1.5,Win32,59.88023952,6691931c2c63981b064e1f0c,6691babb13d74dc8ea841808,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1032.2219,1046.7879,-0.158333319,0.157407407,1.0,0.0,0.0,8.5653,compass,0.0,27.0,27.0,20.0,1.0,SoundStimuli/FlashdanceWhatAFeeling_IreneCara_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,623673,1,2024-07-12_16h24.38.157,experiment,2024.1.5,Win32,59.88023952,6691931c2c63981b064e1f0c,6691babb13d74dc8ea841808,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1046.7972,1055.8533,0.339814787,0.334259263,1.0,0.0,0.0,3.043,compass,0.0,28.0,28.0,3.0,1.0,SoundStimuli/PartyRockAnthem_LMFAO_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,623673,1,2024-07-12_16h24.38.157,experiment,2024.1.5,Win32,59.88023952,6691931c2c63981b064e1f0c,6691babb13d74dc8ea841808,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1055.862,1063.4423,0.164814843,-0.199074074,1.0,0.0,0.0,1.5669,compass,0.0,29.0,29.0,8.0,1.0,SoundStimuli/EndlessLove_DianaRossLionelRichie_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,623673,1,2024-07-12_16h24.38.157,experiment,2024.1.5,Win32,59.88023952,6691931c2c63981b064e1f0c,6691babb13d74dc8ea841808,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1063.4511,1072.2013,0.163888931,-0.170370384,1.0,0.0,0.0,2.7335,compass,0.0,30.0,30.0,16.0,1.0,SoundStimuli/ItsAllInTheGame_TommyEdwards_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,623673,1,2024-07-12_16h24.38.157,experiment,2024.1.5,Win32,59.88023952,6691931c2c63981b064e1f0c,6691babb13d74dc8ea841808,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1072.2105,1080.9001,-0.231481481,0.210185175,1.0,0.0,0.0,2.6832,compass,0.0,31.0,31.0,1.0,1.0,SoundStimuli/Smooth_SantanaRobThomas_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,623673,1,2024-07-12_16h24.38.157,experiment,2024.1.5,Win32,59.88023952,6691931c2c63981b064e1f0c,6691babb13d74dc8ea841808,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1080.9093,1087.6487,-0.175925926,-0.14907406,1.0,0.0,0.0,0.7332,compass,0.0,32.0,32.0,34.0,1.0,SoundStimuli/Irreplaceable_Beyonce_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,623673,1,2024-07-12_16h24.38.157,experiment,2024.1.5,Win32,59.88023952,6691931c2c63981b064e1f0c,6691babb13d74dc8ea841808,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1087.6578,1094.381,0.168518561,-0.168518561,1.0,0.0,0.0,0.7164,compass,0.0,33.0,33.0,13.0,1.0,SoundStimuli/Perfect_EdSheeran_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,623673,1,2024-07-12_16h24.38.157,experiment,2024.1.5,Win32,59.88023952,6691931c2c63981b064e1f0c,6691babb13d74dc8ea841808,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1094.3896,1103.5033,0.140740783,0.188888868,1.0,0.0,0.0,3.0999,compass,0.0,34.0,34.0,26.0,1.0,SoundStimuli/TheSign_AceOfBase_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,623673,1,2024-07-12_16h24.38.157,experiment,2024.1.5,Win32,59.88023952,6691931c2c63981b064e1f0c,6691babb13d74dc8ea841808,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1103.5035,1112.229,space,8.7005,,1112.229,1114.1317,right,1.8801,,0.0,2.0,2.0,2.0,1.0,block_order/blockD.xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
