welcome.started,welcome.stopped,space_to_continue.keys,space_to_continue.rt,space_to_continue.duration,participant,session,date,expName,psychopyVersion,OS,frameRate,STUDY_ID,SESSION_ID,consent.consent,consent.consent_recontact,consent_check.started,consent_check.stopped,calibration_ready.started,calibration_ready.stopped,cal_ready.keys,cal_ready.rt,cal_ready.duration,calibration.started,calibration.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,move_on.keys,move_on.rt,move_on.duration,run_cal.thisRepN,run_cal.thisTrialN,run_cal.thisN,run_cal.thisIndex,run_cal.ran,emotion_training_ready.started,emotion_training_ready.stopped,training_move_on.keys,training_move_on.rt,training_move_on.duration,examples.started,examples.stopped,emotion_scale.started,emotion_scale.stopped,scale_next.keys,scale_next.rt,scale_next.duration,instructions.started,instructions.stopped,next.keys,next.rt,next.duration,practice_task.started,practice_task.stopped,mouse_rating_2.x,mouse_rating_2.y,mouse_rating_2.leftButton,mouse_rating_2.midButton,mouse_rating_2.rightButton,mouse_rating_2.time,mouse_rating_2.clicked_name,ready.started,ready.stopped,key_resp.keys,key_resp.rt,key_resp.duration,set_group.started,set_group.stopped,task.started,task.stopped,mouse_rating.x,mouse_rating.y,mouse_rating.leftButton,mouse_rating.midButton,mouse_rating.rightButton,mouse_rating.time,mouse_rating.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,clip,short_break.started,short_break.stopped,space_to_move_on.keys,space_to_move_on.rt,space_to_move_on.duration,instruction_reminder.started,instruction_reminder.stopped,reminder_move_on.keys,reminder_move_on.rt,reminder_move_on.duration,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,block,post_survey.age,post_survey.musician,post_survey.music_making,post_survey.listen_time,post_survey.medium,post_survey.music_seeking,post_survey.music_choice,post_survey.activities,post_survey.question1.Folk/indie,post_survey.question1.Electronic (EDM),post_survey.question1.Reggae,post_survey.question1.Ambient,post_survey.question1.A cappella,post_survey.question1.R&B,post_survey.question1.Alternative rock,post_survey.question1.Classical,post_survey.question1.Metal,post_survey.question1.Disco,post_survey.question1.Classic rock,post_survey.question1.Pop,post_survey.question1.Country,post_survey.question1.Latin,post_survey.question1.Hip hop,post_survey.question1.Jazz,post_survey.other_genres,post_survey.genres_ranked.text1,post_survey.genres_ranked.text2,post_survey.genres_ranked.text3,post_survey.habit_change,post_survey.habits,show_exp.thisRepN,show_exp.thisTrialN,show_exp.thisN,show_exp.thisIndex,show_exp.ran,goodbye.started,goodbye.stopped
,,,,,875583,1,2024-07-12_18h23.31.694,experiment,2024.1.5,Win32,8.568980291,6691931c2c63981b064e1f0c,6691aca6457da644d17fb2e3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,373.5045,382.5925,0.335185157,0.26666666,1.0,0.0,0.0,3.0426,compass,0.0,16.0,16.0,6.0,1.0,SoundStimuli/Levitating_DuaLipa_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,875583,1,2024-07-12_18h23.31.694,experiment,2024.1.5,Win32,8.568980291,6691931c2c63981b064e1f0c,6691aca6457da644d17fb2e3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,382.6022,393.8773,0.318518603,0.062962956,1.0,0.0,0.0,5.1993,compass,0.0,17.0,17.0,31.0,1.0,SoundStimuli/TheBattleOfNewOrleans_JohnnyHorton_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,875583,1,2024-07-12_18h23.31.694,experiment,2024.1.5,Win32,8.568980291,6691931c2c63981b064e1f0c,6691aca6457da644d17fb2e3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,393.8849,402.4315,0.333333333,-0.281481496,1.0,0.0,0.0,2.4304,compass,0.0,18.0,18.0,33.0,1.0,SoundStimuli/StandByMe_BenEKing_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,875583,1,2024-07-12_18h23.31.694,experiment,2024.1.5,Win32,8.568980291,6691931c2c63981b064e1f0c,6691aca6457da644d17fb2e3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,402.4391,413.7978,0.10092594,0.286111108,1.0,0.0,0.0,5.2818,compass,0.0,19.0,19.0,28.0,1.0,SoundStimuli/ComeAndGetYourLove_Redbone_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,875583,1,2024-07-12_18h23.31.694,experiment,2024.1.5,Win32,8.568980291,6691931c2c63981b064e1f0c,6691aca6457da644d17fb2e3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,413.8056,422.8665,0.335185157,-0.334259245,1.0,0.0,0.0,3.0511,compass,0.0,20.0,20.0,27.0,1.0,SoundStimuli/ShapeofYou_EdSheeran_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,875583,1,2024-07-12_18h23.31.694,experiment,2024.1.5,Win32,8.568980291,6691931c2c63981b064e1f0c,6691aca6457da644d17fb2e3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,422.8754,432.8338,0.33148151,-0.268518519,1.0,0.0,0.0,3.8163,compass,0.0,21.0,21.0,22.0,1.0,SoundStimuli/RockWithYou_MichaelJackson_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,875583,1,2024-07-12_18h23.31.694,experiment,2024.1.5,Win32,8.568980291,6691931c2c63981b064e1f0c,6691aca6457da644d17fb2e3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,432.8432,440.7061,0.336111139,-0.312962991,1.0,0.0,0.0,1.7356,compass,0.0,22.0,22.0,19.0,1.0,SoundStimuli/LetsGetItOn_MarvinGaye_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,875583,1,2024-07-12_18h23.31.694,experiment,2024.1.5,Win32,8.568980291,6691931c2c63981b064e1f0c,6691aca6457da644d17fb2e3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,440.7148,450.6626,0.335185157,-0.214814857,1.0,0.0,0.0,3.8536,compass,0.0,23.0,23.0,17.0,1.0,SoundStimuli/Fallin_AliciaKeys_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,875583,1,2024-07-12_18h23.31.694,experiment,2024.1.5,Win32,8.568980291,6691931c2c63981b064e1f0c,6691aca6457da644d17fb2e3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,450.6715,460.6232,-0.419444437,-0.362963005,1.0,0.0,0.0,1.6627,compass,0.0,24.0,24.0,2.0,1.0,SoundStimuli/Mood_24kGoldnianndior_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,875583,1,2024-07-12_18h23.31.694,experiment,2024.1.5,Win32,8.568980291,6691931c2c63981b064e1f0c,6691aca6457da644d17fb2e3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,460.6313,471.3584,0.309259344,-0.039814808,1.0,0.0,0.0,4.6754,compass,0.0,25.0,25.0,7.0,1.0,SoundStimuli/NoOne_AliciaKeys_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,875583,1,2024-07-12_18h23.31.694,experiment,2024.1.5,Win32,8.568980291,6691931c2c63981b064e1f0c,6691aca6457da644d17fb2e3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,471.3691,480.5623,0.272222236,0.025000007,1.0,0.0,0.0,3.0602,compass,0.0,26.0,26.0,11.0,1.0,SoundStimuli/Superstition_StevieWonder_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,875583,1,2024-07-12_18h23.31.694,experiment,2024.1.5,Win32,8.568980291,6691931c2c63981b064e1f0c,6691aca6457da644d17fb2e3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,480.5698,488.9961,-0.060185185,-0.330555598,1.0,0.0,0.0,2.4045,compass,0.0,27.0,27.0,18.0,1.0,SoundStimuli/AnotherOneBitesTheDust_Queen_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,875583,1,2024-07-12_18h23.31.694,experiment,2024.1.5,Win32,8.568980291,6691931c2c63981b064e1f0c,6691aca6457da644d17fb2e3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,489.0038,495.5109,0.337962963,0.341666663,1.0,0.0,0.0,0.4436,compass,0.0,28.0,28.0,26.0,1.0,SoundStimuli/LivinOnAPrayer_BonJovi_Original5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,875583,1,2024-07-12_18h23.31.694,experiment,2024.1.5,Win32,8.568980291,6691931c2c63981b064e1f0c,6691aca6457da644d17fb2e3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,495.5184,505.9148,0.12962963,0.336111104,1.0,0.0,0.0,4.3036,compass,0.0,29.0,29.0,14.0,1.0,SoundStimuli/BlindingLights_TheWeeknd_Cover5S.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
